method,R@1,R@10,MRR,rescue@1,hurt@1,net@1,n
Dense_raw_canonical,0.3669,0.711,0.4738,,,,1540
BM25_raw_canonical,0.0344,0.0669,0.0445,,,,1540
BM25_entities_relations_keywords [NO triples],0.3935,0.6701,0.4849,245,204,41,1540
RRF_a=0.3_k=10,0.4084,0.7234,0.511,202,138,64,1540
RRF_a=0.3_k=30,0.4084,0.7227,0.5116,198,134,64,1540
RRF_a=0.3_k=60,0.4039,0.7253,0.5084,191,134,57,1540
RRF_a=0.5_k=10,0.4058,0.7805,0.5226,147,87,60,1540
RRF_a=0.5_k=30,0.4032,0.7786,0.5164,150,94,56,1540
RRF_a=0.5_k=60,0.4026,0.7649,0.5106,152,97,55,1540
RRF_a=0.7_k=10,0.4091,0.711,0.5095,113,48,65,1540
RRF_a=0.7_k=30,0.4019,0.711,0.5067,122,68,54,1540
RRF_a=0.7_k=60,0.3994,0.711,0.5043,123,73,50,1540
