category,method,n,R@1@10,R@1@50,R@1@100,R@1@200,R@10,MRR,cand_recall@10,cand_recall@50,cand_recall@100,cand_recall@200
cat1,KG-Native,282,0.11347517730496454,0.11347517730496454,0.11347517730496454,0.11347517730496454,0.375886524822695,0.1809777102330294,0.375886524822695,0.6595744680851063,0.8581560283687943,0.9539007092198581
cat1,KG-candidate-only,282,0.0425531914893617,0.0425531914893617,0.0425531914893617,0.0425531914893617,0.18439716312056736,0.07602020713722842,0.18439716312056736,0.6134751773049646,0.8404255319148937,0.9609929078014184
cat1,BM25,282,0.01773049645390071,0.01773049645390071,0.01773049645390071,0.01773049645390071,0.0425531914893617,0.022113869188337274,0.0425531914893617,0.0425531914893617,0.0425531914893617,0.0425531914893617
cat1,Dense-bge,282,0.26595744680851063,0.26595744680851063,0.26595744680851063,0.26595744680851063,0.7198581560283688,0.40136074524372395,0.7198581560283688,0.7198581560283688,0.7198581560283688,0.7198581560283688
cat1,GlobalKG-Prior,282,0.28368794326241137,0.28368794326241137,0.28368794326241137,0.28368794326241137,0.7198581560283688,0.41497664077451313,0.7198581560283688,0.7198581560283688,0.7198581560283688,0.7198581560283688
cat2,KG-Native,321,0.27102803738317754,0.27102803738317754,0.27102803738317754,0.27102803738317754,0.5264797507788161,0.3613323938090293,0.5264797507788161,0.660436137071651,0.778816199376947,0.8753894080996885
cat2,KG-candidate-only,321,0.009345794392523364,0.009345794392523364,0.009345794392523364,0.009345794392523364,0.059190031152647975,0.02114795035355783,0.059190031152647975,0.3364485981308411,0.6417445482866043,0.8691588785046729
cat2,BM25,321,0.040498442367601244,0.040498442367601244,0.040498442367601244,0.040498442367601244,0.06230529595015576,0.04781931464174455,0.06230529595015576,0.06230529595015576,0.06230529595015576,0.06230529595015576
cat2,Dense-bge,321,0.470404984423676,0.470404984423676,0.470404984423676,0.470404984423676,0.7445482866043613,0.5626625624289175,0.7445482866043613,0.7445482866043613,0.7445482866043613,0.7445482866043613
cat2,GlobalKG-Prior,321,0.4735202492211838,0.4735202492211838,0.4735202492211838,0.4735202492211838,0.7445482866043613,0.564411808337042,0.7445482866043613,0.7445482866043613,0.7445482866043613,0.7445482866043613
cat3,KG-Native,96,0.07291666666666667,0.07291666666666667,0.07291666666666667,0.07291666666666667,0.25,0.11627397486772487,0.25,0.5208333333333334,0.6979166666666666,0.7916666666666666
cat3,KG-candidate-only,96,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.09375,0.03699156746031746,0.09375,0.3333333333333333,0.65625,0.8020833333333334
cat3,BM25,96,0.03125,0.03125,0.03125,0.03125,0.041666666666666664,0.033854166666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
cat3,Dense-bge,96,0.1875,0.1875,0.1875,0.1875,0.4166666666666667,0.23941798941798942,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
cat3,GlobalKG-Prior,96,0.17708333333333334,0.17708333333333334,0.17708333333333334,0.17708333333333334,0.4375,0.23801669973544973,0.4375,0.4375,0.4375,0.4375
cat4,KG-Native,841,0.1403091557669441,0.1403091557669441,0.1403091557669441,0.1403091557669441,0.30677764565992865,0.19382726534926298,0.30677764565992865,0.45659928656361476,0.6135552913198573,0.7752675386444708
cat4,KG-candidate-only,841,0.008323424494649227,0.008323424494649227,0.008323424494649227,0.008323424494649227,0.04518430439952437,0.016290602646131778,0.04518430439952437,0.27110582639714625,0.5659928656361475,0.7883472057074911
cat4,BM25,841,0.04637336504161712,0.04637336504161712,0.04637336504161712,0.04637336504161712,0.07966706302021404,0.05922465696544175,0.07966706302021404,0.07966706302021404,0.07966706302021404,0.07966706302021404
cat4,Dense-bge,841,0.3816884661117717,0.3816884661117717,0.3816884661117717,0.3816884661117717,0.7288941736028538,0.4909551176792556,0.7288941736028538,0.7288941736028538,0.7288941736028538,0.7288941736028538
cat4,GlobalKG-Prior,841,0.3816884661117717,0.3816884661117717,0.3816884661117717,0.3816884661117717,0.7312722948870393,0.4913292943019459,0.7312722948870393,0.7312722948870393,0.7312722948870393,0.7312722948870393
