memory_id,salience_score,has_kg,temporal_flag,multi_entity
conv-26_session_13_D13:1,3.0,1,,
conv-26_session_14_D14:1,3.0,1,,
conv-26_session_4_D4:10,3.0,1,,
conv-26_session_4_D4:8,3.0,1,,
conv-26_session_9_D9:6,3.0,1,,
conv-30_session_17_D17:1,3.0,1,,
conv-41_session_18_D18:22,3.0,1,,
conv-41_session_21_D21:5,3.0,1,,
conv-41_session_22_D22:11,3.0,1,,
conv-41_session_23_D23:1,3.0,1,,
conv-41_session_26_D26:4,3.0,1,,
conv-41_session_8_D8:1,3.0,1,,
conv-42_session_1_D1:3,3.0,1,,
conv-42_session_21_D21:1,3.0,1,,
conv-42_session_27_D27:2,3.0,1,,
conv-42_session_2_D2:3,3.0,1,,
conv-43_session_15_D15:29,3.0,1,,
conv-44_session_18_D18:4,3.0,1,,
conv-44_session_25_D25:1,3.0,1,,
conv-47_session_15_D15:9,3.0,1,,
