method,candidate_display_name,R@1,R@10,MRR,avg_latency_ms,p95_latency_ms,source_file,source_script,scope,notes,usable_for_main_table,latency_missing,quality_missing
BM25,BM25 (sample-scoped),0.2649,0.5619,0.36,,,results/sample_scoped/sample_scoped_retrieval_summary.csv,locomo_retrieval_sample_scoped.py,sample_scoped,"cross_sample_rate=0, 5882 corpus, 1986 QA",True,True,
Dense-bge,Dense-bge (sample-scoped),0.3419,0.7009,0.4534,,,results/sample_scoped/sample_scoped_retrieval_summary.csv,locomo_retrieval_sample_scoped.py,sample_scoped,"cross_sample_rate=0, 5882 corpus, 1986 QA",True,True,
Dense-bge+GlobalKG,Dense-bge+GlobalKG (sample-scoped),0.3872,0.7095,0.4851,,,results/sample_scoped/sample_scoped_retrieval_summary.csv,locomo_retrieval_sample_scoped.py,sample_scoped,"cross_sample_rate=0, 5882 corpus, 1986 QA",True,True,
Dense-bge+QueryKG,Dense-bge+QueryKG (sample-scoped),0.3585,0.7185,0.4724,,,results/sample_scoped/sample_scoped_retrieval_summary.csv,locomo_retrieval_sample_scoped.py,sample_scoped,"cross_sample_rate=0, 5882 corpus, 1986 QA",True,True,
BM25,BM25 (global),0.216,0.4708,0.2947,,,results/locomo_bm25_results.csv,locomo_retrieval_*.py,global,"Global-corpus, cross-sample contamination possible",,True,
Cassandra-KG,Cassandra-KG 100K legacy scale sweep cold (NOT LoCoMo),,,,50.3,93.3,reports/sysaxis_scale_sweep_final/,scale_100k_legacy_clean_fixed.py,system_axis,"100K, clients=32, hop=2, wr=10%. Mixed read/write. Do NOT mix with LoCoMo.",,,True
Cassandra-KG,Cassandra-KG 100K legacy scale sweep warm (NOT LoCoMo),,,,50.1,92.3,reports/sysaxis_scale_sweep_final/,scale_100k_legacy_clean_fixed.py,system_axis,"100K, clients=32, hop=2, wr=10% warm. Do NOT mix with LoCoMo.",,,True
Cassandra-KG,Cassandra-KG 1M synthetic hop=2 cold latency (NOT LoCoMo),,,,15.4,32.7,reports/sysaxis_1m_hop_depth_final/,hop_cold_sweep.py,system_axis,"1M synthetic, clients=8, hop=2. Do NOT mix with LoCoMo quality.",,,True
Cassandra-KG,Cassandra-KG 1M synthetic hop=2 warm latency (NOT LoCoMo),,,,14.9,32.6,reports/sysaxis_1m_hop_depth_final/,hop_warm_sweep.py,system_axis,"1M synthetic, clients=8, hop=2 warm. Do NOT mix with LoCoMo quality.",,,True
Cassandra-KG,Cassandra-KG TF-IDF+KG boost (global),0.2638,0.4899,0.3358,,,results/locomo_cassandra_kg_results.csv,locomo_cassandra_retrieval.py,global,TF-IDF+Cassandra-KG boost=0.5. NOT pure KG. Identical to Neo4j (0 disagreements).,,True,
Cassandra-KG,Cassandra-KG pure KG signal (not in retrieval results),,,,,,results/e2_backend_fair_audit_summary.csv,audit_e2_backend_fair.py,unknown,"Pure KG only retrieval not run standalone. Audit: both_ok=973/1986, disagree=0.",,True,True
Dense+GlobalKG_best,Dense+GlobalKG_best (global),0.3389,0.6833,0.4438,,,results/locomo_dense_kg_boost_best_results.csv,locomo_retrieval_*.py,global,"Global-corpus, cross-sample contamination possible",,True,
Dense+QueryKG_best,Dense+QueryKG_best (global),0.3474,0.6803,0.4522,,,results/query_kg_rerank/dense_bge_query_kg_rerank_best_results.csv,locomo_retrieval_*.py,global,"Global-corpus, cross-sample contamination possible",,True,
Dense-bge,Dense-bge (global),0.3343,0.6803,0.4405,,,results/locomo_dense_bge_results.csv,locomo_retrieval_*.py,global,"Global-corpus, cross-sample contamination possible",,True,
Neo4j-KG,Neo4j-KG 100K legacy scale sweep cold (NOT LoCoMo),,,,64.9,160.1,reports/sysaxis_scale_sweep_final/,scale_100k_legacy_clean_fixed.py,system_axis,"100K, clients=32, hop=2, wr=10%.",,,True
Neo4j-KG,Neo4j-KG 100K legacy scale sweep warm (NOT LoCoMo),,,,64.2,154.2,reports/sysaxis_scale_sweep_final/,scale_100k_legacy_clean_fixed.py,system_axis,"100K, clients=32, hop=2, wr=10% warm.",,,True
Neo4j-KG,Neo4j-KG 1M synthetic hop=2 cold latency (NOT LoCoMo),,,,16.6,34.2,reports/sysaxis_1m_hop_depth_final/,hop_cold_sweep.py,system_axis,"1M synthetic, hop=2 cold.",,,True
Neo4j-KG,Neo4j-KG 1M synthetic hop=2 warm latency (NOT LoCoMo),,,,15.6,31.5,reports/sysaxis_1m_hop_depth_final/,hop_warm_sweep.py,system_axis,"1M synthetic, hop=2 warm.",,,True
Neo4j-KG,Neo4j-KG TF-IDF+KG boost (global),0.2638,0.4899,0.3358,,,results/locomo_neo4j_results.csv,locomo_neo4j_retrieval.py,global,Identical to Cassandra-KG TF-IDF+boost. 0 disagreements.,,True,
