Method,category,n,MRR,R@10,rF1,rEM,WrongAbst
MinMax_Linear,1,224,0.4422636763038549,0.7589285714285714,0.26495078883545664,0.05803571428571429,0.5
MinMax_Linear,2,239,0.6378412034269775,0.8117154811715481,0.12630457026223701,0.02092050209205021,0.6694560669456067
MinMax_Linear,3,75,0.2808306878306878,0.48,0.05655026455026455,0.04,0.8666666666666667
MinMax_Linear,4,612,0.5711173358232182,0.8513071895424836,0.549701082512433,0.37254901960784315,0.27450980392156865
Weighted_RRF_dev,1,224,0.4507670776643991,0.7544642857142857,0.28085823212040445,0.0625,0.4642857142857143
Weighted_RRF_dev,2,239,0.6272896327289632,0.8075313807531381,0.10043893809584187,0.012552301255230125,0.7154811715481172
Weighted_RRF_dev,3,75,0.24916402116402114,0.4666666666666667,0.04766137566137566,0.02666666666666667,0.8666666666666667
Weighted_RRF_dev,4,612,0.5406985942525158,0.8349673202614379,0.5382557699233572,0.35784313725490197,0.2761437908496732
ZScore_Linear,1,224,0.4472842261904762,0.7767857142857143,0.28214378333255524,0.07142857142857142,0.48214285714285715
ZScore_Linear,2,239,0.63752241482367,0.8158995815899581,0.10556280075108528,0.02092050209205021,0.6861924686192469
ZScore_Linear,3,75,0.28825925925925927,0.48,0.05305820105820106,0.02666666666666667,0.8533333333333334
ZScore_Linear,4,612,0.5783509700176367,0.8545751633986928,0.5378803045921043,0.35784313725490197,0.27450980392156865
