comparison,metric,mean_delta,ci_low,ci_high
ZScore_Linear - Weighted_RRF_dev,MRR,0.024035541752933057,0.01686521665544525,0.03658475308242498
ZScore_Linear - Weighted_RRF_dev,rF1,0.00146742936361746,-0.010114524869992016,0.012481115711949455
ZScore_Linear - Weighted_RRF_dev,rEM,0.0034782608695652175,-0.005249343832020997,0.012121518521922966
ZScore_Linear - Weighted_RRF_dev,WrongAbst,-0.004347826086956522,-0.016314779270633396,0.007288041386976776
ZScore_Linear - MinMax_Linear,MRR,0.00524568668046929,0.001489415965433054,0.009153772827457553
ZScore_Linear - MinMax_Linear,rF1,-0.0074802373869226335,-0.016771398121301764,0.0012174566069702085
ZScore_Linear - MinMax_Linear,rEM,-0.00608695652173913,-0.012234910277324634,0.0
ZScore_Linear - MinMax_Linear,WrongAbst,-0.0008695652173913044,-0.014443858697321144,0.014663497141502996
MinMax_Linear - Weighted_RRF_dev,MRR,0.01878985507246377,0.012078704223244679,0.030556010790745273
MinMax_Linear - Weighted_RRF_dev,rF1,0.008947666750540094,-0.002594343775864403,0.01960858276081791
MinMax_Linear - Weighted_RRF_dev,rEM,0.009565217391304347,-0.000826532011933747,0.018970481982645532
MinMax_Linear - Weighted_RRF_dev,WrongAbst,-0.0034782608695652175,-0.010506208213944603,0.006650041562759767
