comparison,metric,left_out_conversation,mean_delta
ZScore_Linear - Weighted_RRF_dev,MRR,conv-26,0.02530974647708115
ZScore_Linear - Weighted_RRF_dev,MRR,conv-30,0.019402126301097302
ZScore_Linear - Weighted_RRF_dev,MRR,conv-41,0.02543817794318796
ZScore_Linear - Weighted_RRF_dev,MRR,conv-43,0.024760353386896597
ZScore_Linear - Weighted_RRF_dev,MRR,conv-44,0.023318804964374582
ZScore_Linear - Weighted_RRF_dev,MRR,conv-47,0.02571388888888889
ZScore_Linear - Weighted_RRF_dev,MRR,conv-49,0.02402510299894606
ZScore_Linear - Weighted_RRF_dev,MRR,conv-50,0.024685979902713776
ZScore_Linear - Weighted_RRF_dev,rF1,conv-26,0.0007383221374669863
ZScore_Linear - Weighted_RRF_dev,rF1,conv-30,0.002491608693941463
ZScore_Linear - Weighted_RRF_dev,rF1,conv-41,0.0034893750869076927
ZScore_Linear - Weighted_RRF_dev,rF1,conv-43,0.001687819992476785
ZScore_Linear - Weighted_RRF_dev,rF1,conv-44,-0.0005134246860303734
ZScore_Linear - Weighted_RRF_dev,rF1,conv-47,0.0057122737767136165
ZScore_Linear - Weighted_RRF_dev,rF1,conv-49,0.000565068778680584
ZScore_Linear - Weighted_RRF_dev,rF1,conv-50,-0.002477007227303582
ZScore_Linear - Weighted_RRF_dev,rEM,conv-26,0.003006012024048096
ZScore_Linear - Weighted_RRF_dev,rEM,conv-30,0.002806361085126286
ZScore_Linear - Weighted_RRF_dev,rEM,conv-41,0.0070140280561122245
ZScore_Linear - Weighted_RRF_dev,rEM,conv-43,0.00411522633744856
ZScore_Linear - Weighted_RRF_dev,rEM,conv-44,0.0009737098344693282
ZScore_Linear - Weighted_RRF_dev,rEM,conv-47,0.005
ZScore_Linear - Weighted_RRF_dev,rEM,conv-49,0.0030181086519114686
ZScore_Linear - Weighted_RRF_dev,rEM,conv-50,0.0020161290322580645
ZScore_Linear - Weighted_RRF_dev,WrongAbst,conv-26,-0.00501002004008016
ZScore_Linear - Weighted_RRF_dev,WrongAbst,conv-30,-0.006548175865294668
ZScore_Linear - Weighted_RRF_dev,WrongAbst,conv-41,0.0
ZScore_Linear - Weighted_RRF_dev,WrongAbst,conv-43,-0.0051440329218107
ZScore_Linear - Weighted_RRF_dev,WrongAbst,conv-44,-0.0019474196689386564
ZScore_Linear - Weighted_RRF_dev,WrongAbst,conv-47,-0.008
