comparison,metric,conversation_id,n,mean_delta
ZScore_Linear - Weighted_RRF_dev,MRR,conv-26,152,0.01566938178780284
ZScore_Linear - Weighted_RRF_dev,MRR,conv-30,81,0.08518518518518518
ZScore_Linear - Weighted_RRF_dev,MRR,conv-41,152,0.014826127819548873
ZScore_Linear - Weighted_RRF_dev,MRR,conv-43,178,0.02007758159443553
ZScore_Linear - Weighted_RRF_dev,MRR,conv-44,123,0.03002000258097819
ZScore_Linear - Weighted_RRF_dev,MRR,conv-47,150,0.012846560846560849
ZScore_Linear - Weighted_RRF_dev,MRR,conv-49,156,0.02410205535205535
ZScore_Linear - Weighted_RRF_dev,MRR,conv-50,158,0.01995177817962628
ZScore_Linear - Weighted_RRF_dev,rF1,conv-26,152,0.0062545939142633475
ZScore_Linear - Weighted_RRF_dev,rF1,conv-30,81,-0.012049208958806729
ZScore_Linear - Weighted_RRF_dev,rF1,conv-41,152,-0.011808240582722344
ZScore_Linear - Weighted_RRF_dev,rF1,conv-43,178,0.00026394795209350673
ZScore_Linear - Weighted_RRF_dev,rF1,conv-44,123,0.018006755452953445
ZScore_Linear - Weighted_RRF_dev,rF1,conv-47,150,-0.026831533390356915
ZScore_Linear - Weighted_RRF_dev,rF1,conv-49,156,0.007217085911228068
ZScore_Linear - Weighted_RRF_dev,rF1,conv-50,158,0.026232499605349575
ZScore_Linear - Weighted_RRF_dev,rEM,conv-26,152,0.006578947368421052
ZScore_Linear - Weighted_RRF_dev,rEM,conv-30,81,0.012345679012345678
ZScore_Linear - Weighted_RRF_dev,rEM,conv-41,152,-0.019736842105263157
ZScore_Linear - Weighted_RRF_dev,rEM,conv-43,178,0.0
ZScore_Linear - Weighted_RRF_dev,rEM,conv-44,123,0.024390243902439025
ZScore_Linear - Weighted_RRF_dev,rEM,conv-47,150,-0.006666666666666667
ZScore_Linear - Weighted_RRF_dev,rEM,conv-49,156,0.00641025641025641
ZScore_Linear - Weighted_RRF_dev,rEM,conv-50,158,0.012658227848101266
ZScore_Linear - Weighted_RRF_dev,WrongAbst,conv-26,152,0.0
ZScore_Linear - Weighted_RRF_dev,WrongAbst,conv-30,81,0.024691358024691357
ZScore_Linear - Weighted_RRF_dev,WrongAbst,conv-41,152,-0.03289473684210526
ZScore_Linear - Weighted_RRF_dev,WrongAbst,conv-43,178,0.0
ZScore_Linear - Weighted_RRF_dev,WrongAbst,conv-44,123,-0.024390243902439025
ZScore_Linear - Weighted_RRF_dev,WrongAbst,conv-47,150,0.02
ZScore_Linear - Weighted_RRF_dev,WrongAbst,conv-49,156,0.0
ZScore_Linear - Weighted_RRF_dev,WrongAbst,conv-50,158,-0.012658227848101266
ZScore_Linear - MinMax_Linear,MRR,conv-26,152,0.0014541562238930652
ZScore_Linear - MinMax_Linear,MRR,conv-30,81,0.009979423868312758
ZScore_Linear - MinMax_Linear,MRR,conv-41,152,-0.0014645989974937342
ZScore_Linear - MinMax_Linear,MRR,conv-43,178,0.010948368111289459
ZScore_Linear - MinMax_Linear,MRR,conv-44,123,0.0069492837785520714
ZScore_Linear - MinMax_Linear,MRR,conv-47,150,0.0030026455026455024
ZScore_Linear - MinMax_Linear,MRR,conv-49,156,0.013390313390313392
ZScore_Linear - MinMax_Linear,MRR,conv-50,158,-0.0007409081776170389
ZScore_Linear - MinMax_Linear,rF1,conv-26,152,0.008718254296756819
ZScore_Linear - MinMax_Linear,rF1,conv-30,81,-0.029191455033748936
ZScore_Linear - MinMax_Linear,rF1,conv-41,152,0.010459788749262431
ZScore_Linear - MinMax_Linear,rF1,conv-43,178,-0.013974446277817064
ZScore_Linear - MinMax_Linear,rF1,conv-44,123,-0.0060956313467073866
ZScore_Linear - MinMax_Linear,rF1,conv-47,150,-0.027873015873015876
ZScore_Linear - MinMax_Linear,rF1,conv-49,156,-0.007663896845070119
ZScore_Linear - MinMax_Linear,rF1,conv-50,158,-0.0034119829009020552
ZScore_Linear - MinMax_Linear,rEM,conv-26,152,0.0
ZScore_Linear - MinMax_Linear,rEM,conv-30,81,-0.012345679012345678
ZScore_Linear - MinMax_Linear,rEM,conv-41,152,0.0
ZScore_Linear - MinMax_Linear,rEM,conv-43,178,0.0
ZScore_Linear - MinMax_Linear,rEM,conv-44,123,0.008130081300813009
ZScore_Linear - MinMax_Linear,rEM,conv-47,150,-0.02
ZScore_Linear - MinMax_Linear,rEM,conv-49,156,-0.01282051282051282
ZScore_Linear - MinMax_Linear,rEM,conv-50,158,-0.012658227848101266
ZScore_Linear - MinMax_Linear,WrongAbst,conv-26,152,-0.02631578947368421
ZScore_Linear - MinMax_Linear,WrongAbst,conv-30,81,0.037037037037037035
ZScore_Linear - MinMax_Linear,WrongAbst,conv-41,152,-0.02631578947368421
ZScore_Linear - MinMax_Linear,WrongAbst,conv-43,178,0.0
ZScore_Linear - MinMax_Linear,WrongAbst,conv-44,123,-0.016260162601626018
ZScore_Linear - MinMax_Linear,WrongAbst,conv-47,150,0.03333333333333333
ZScore_Linear - MinMax_Linear,WrongAbst,conv-49,156,0.00641025641025641
ZScore_Linear - MinMax_Linear,WrongAbst,conv-50,158,0.0
MinMax_Linear - Weighted_RRF_dev,MRR,conv-26,152,0.014215225563909773
MinMax_Linear - Weighted_RRF_dev,MRR,conv-30,81,0.07520576131687244
MinMax_Linear - Weighted_RRF_dev,MRR,conv-41,152,0.016290726817042606
