comparison,metric,mean_delta,ci_low,ci_high
ZScore_Linear - Weighted_RRF_dev,MRR,0.024035541752933057,0.014451492408557627,0.03385755693581781
ZScore_Linear - Weighted_RRF_dev,rF1,0.00146742936361746,-0.011338206388095523,0.014839635241679791
ZScore_Linear - Weighted_RRF_dev,rEM,0.0034782608695652175,-0.006956521739130435,0.014782608695652174
ZScore_Linear - Weighted_RRF_dev,WrongAbst,-0.004347826086956522,-0.021739130434782608,0.01391304347826087
ZScore_Linear - MinMax_Linear,MRR,0.00524568668046929,0.0002957039337474119,0.010233031400966182
ZScore_Linear - MinMax_Linear,rF1,-0.0074802373869226335,-0.01780447276633895,0.0030486074416737723
ZScore_Linear - MinMax_Linear,rEM,-0.00608695652173913,-0.01565217391304348,0.0034782608695652175
ZScore_Linear - MinMax_Linear,WrongAbst,-0.0008695652173913044,-0.01565217391304348,0.01391304347826087
MinMax_Linear - Weighted_RRF_dev,MRR,0.01878985507246377,0.009863319530710837,0.027418650793650794
MinMax_Linear - Weighted_RRF_dev,rF1,0.008947666750540094,-0.005021945191479236,0.023041910921909194
MinMax_Linear - Weighted_RRF_dev,rEM,0.009565217391304347,-0.0026086956521739132,0.021739130434782608
MinMax_Linear - Weighted_RRF_dev,WrongAbst,-0.0034782608695652175,-0.021739130434782608,0.014782608695652174
