method,query_id,error
ZScore_Linear,conv-26_qa_10,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_100,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_1,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_0,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_103,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_101,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_102,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_104,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_105,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_106,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_107,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_108,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_109,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_110,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_11,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_111,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_113,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
