method,qa_id,top10
ZScore_raw,conv-26_qa_0,conv-26_session_1_D1:3;conv-26_session_1_D1:7;conv-26_session_4_D4:13;conv-26_session_2_D2:12;conv-26_session_5_D5:1;conv-26_session_10_D10:3;conv-26_session_3_D3:2;conv-26_session_9_D9:11;conv-26_session_9_D9:2;conv-26_session_7_D7:1
ZScore_raw,conv-26_qa_1,conv-26_session_1_D1:14;conv-26_session_14_D14:6;conv-26_session_14_D14:7;conv-26_session_14_D14:3;conv-26_session_17_D17:12;conv-26_session_17_D17:13;conv-26_session_14_D14:30;conv-26_session_16_D16:8;conv-26_session_9_D9:15;conv-26_session_1_D1:13
ZScore_raw,conv-26_qa_10,conv-26_session_12_D12:14;conv-26_session_3_D3:13;conv-26_session_16_D16:15;conv-26_session_10_D10:6;conv-26_session_8_D8:38;conv-26_session_4_D4:1;conv-26_session_6_D6:1;conv-26_session_3_D3:11;conv-26_session_3_D3:15;conv-26_session_8_D8:27
ZScore_raw,conv-26_qa_100,conv-26_session_19_D19:5;conv-26_session_13_D13:15;conv-26_session_4_D4:11;conv-26_session_12_D12:18;conv-26_session_12_D12:20;conv-26_session_12_D12:6;conv-26_session_1_D1:11;conv-26_session_19_D19:4;conv-26_session_17_D17:22;conv-26_session_1_D1:10
ZScore_raw,conv-26_qa_101,conv-26_session_5_D5:7;conv-26_session_5_D5:8;conv-26_session_12_D12:5;conv-26_session_4_D4:5;conv-26_session_14_D14:3;conv-26_session_14_D14:28;conv-26_session_16_D16:9;conv-26_session_14_D14:18;conv-26_session_14_D14:4;conv-26_session_14_D14:22
ZScore_raw,conv-26_qa_102,conv-26_session_6_D6:8;conv-26_session_6_D6:9;conv-26_session_7_D7:10;conv-26_session_6_D6:7;conv-26_session_7_D7:9;conv-26_session_15_D15:27;conv-26_session_17_D17:22;conv-26_session_7_D7:15;conv-26_session_10_D10:15;conv-26_session_17_D17:10
ZScore_raw,conv-26_qa_103,conv-26_session_6_D6:9;conv-26_session_6_D6:10;conv-26_session_7_D7:10;conv-26_session_9_D9:9;conv-26_session_6_D6:8;conv-26_session_7_D7:9;conv-26_session_8_D8:36;conv-26_session_10_D10:20;conv-26_session_8_D8:15;conv-26_session_17_D17:10
ZScore_raw,conv-26_qa_104,conv-26_session_7_D7:10;conv-26_session_17_D17:10;conv-26_session_7_D7:11;conv-26_session_7_D7:27;conv-26_session_7_D7:8;conv-26_session_14_D14:3;conv-26_session_1_D1:4;conv-26_session_7_D7:9;conv-26_session_6_D6:9;conv-26_session_8_D8:22
ZScore_raw,conv-26_qa_105,conv-26_session_7_D7:11;conv-26_session_7_D7:12;conv-26_session_7_D7:8;conv-26_session_16_D16:15;conv-26_session_17_D17:10;conv-26_session_19_D19:15;conv-26_session_19_D19:7;conv-26_session_19_D19:8;conv-26_session_7_D7:14;conv-26_session_14_D14:2
ZScore_raw,conv-26_qa_106,conv-26_session_7_D7:18;conv-26_session_7_D7:20;conv-26_session_8_D8:10;conv-26_session_14_D14:18;conv-26_session_2_D2:1;conv-26_session_4_D4:2;conv-26_session_2_D2:5;conv-26_session_6_D6:2;conv-26_session_7_D7:19;conv-26_session_15_D15:10
ZScore_raw,conv-26_qa_107,conv-26_session_7_D7:21;conv-26_session_7_D7:23;conv-26_session_7_D7:22;conv-26_session_7_D7:20;conv-26_session_2_D2:5;conv-26_session_2_D2:1;conv-26_session_5_D5:5;conv-26_session_17_D17:6;conv-26_session_7_D7:19;conv-26_session_8_D8:28
