memory_id,conversation_id,representation,token_count
conv-26_session_1_D1:1,conv-26,,0
conv-26_session_1_D1:2,conv-26,"Entities: kids, melanie, work
Relations: manage
Keywords: anything, caroline, good, hey, kids, melanie, new, see, swamped, work",17
conv-26_session_1_D1:3,conv-26,"Entities: caroline, group, lgbtq, support
Relations: attend
Keywords: caroline, group, lgbtq, powerful, support, went, yesterday",15
conv-26_session_1_D1:4,conv-26,,0
conv-26_session_1_D1:5,conv-26,,0
conv-26_session_1_D1:6,conv-26,,0
conv-26_session_1_D1:7,conv-26,"Entities: accept, caroline
Relations: accept
Keywords: accept, accepted, caroline, courage, embrace, feel, given, group, made, support",16
conv-26_session_1_D1:8,conv-26,,0
conv-26_session_1_D1:9,conv-26,"Entities: caroline, plan
Relations: plan
Keywords: career, caroline, check, continue, edu, exciting, gonna, options, plan, pretty",16
conv-26_session_1_D1:10,conv-26,,0
conv-26_session_1_D1:11,conv-26,,0
conv-26_session_1_D1:12,conv-26,,0
conv-26_session_1_D1:13,conv-26,,0
conv-26_session_1_D1:14,conv-26,"Entities: lake, melanie, sunrise
Relations: paint
Keywords: lake, last, melanie, painted, special, sunrise, yeah, year",15
conv-26_session_1_D1:15,conv-26,,0
conv-26_session_1_D1:16,conv-26,"Entities: feelings, melanie
Relations: express
Keywords: caroline, creative, day, express, feelings, fun, get, great, long, melanie, painting, relax, thanks, way",20
conv-26_session_1_D1:17,conv-26,,0
conv-26_session_1_D1:18,conv-26,"Entities: go, melanie
Relations: go
Keywords: care, caroline, go, kids, melanie, soon, swimming, taking, talk, vital, yep",17
conv-26_session_10_D10:1,conv-26,,0
conv-26_session_10_D10:2,conv-26,,0
conv-26_session_10_D10:3,conv-26,"Entities: activist, called, caroline, connected, group, lgbtq, new
Relations: join
Keywords: activist, called, caroline, chatted, community, connected, cool, difference, fulfilling, giving, great, group, happened, hey, joined, know, last, lgbtq, lot, making",31
conv-26_session_10_D10:4,conv-26,,0
conv-26_session_10_D10:5,conv-26,"Entities: caroline, changes, positive
Relations: support
Keywords: activists, awesome, campaigns, caroline, changes, connected, events, get, group, investing, kinds, lgbtq, made, meetings, melanie, others, people, plan, platform, positive",27
conv-26_session_10_D10:6,conv-26,,0
conv-26_session_10_D10:7,conv-26,"Entities: caroline, parade, pride
Relations: participate
Keywords: alone, caroline, celebrating, change, city, diversity, equality, fight, flags, held, holding, inclusivity, last, love, many, marched, missed, parade, people, possible",27
conv-26_session_10_D10:8,conv-26,"Entities: beach, family, kids, melanie, trips
Relations: enjoy
Keywords: atmosphere, awesome, beach, bet, blast, caroline, family, fantastic, incredible, kids, melanie, oh, recently, trips, went, wow, yeah",26
conv-26_session_10_D10:9,conv-26,,0
conv-26_session_10_D10:10,conv-26,,0
conv-26_session_10_D10:11,conv-26,,0
conv-26_session_10_D10:12,conv-26,"Entities: camping, marshmallows, melanie, roast, trip
Relations: include
Keywords: always, around, campfire, camping, company, enjoy, family, forward, highlight, look, marshmallows, melanie, roast, stories, summer, tell, trip",26
conv-26_session_10_D10:13,conv-26,,0
conv-26_session_10_D10:14,conv-26,"Entities: melanie, meteor, perseid, shower
Relations: watch
Keywords: always, amazing, camping, felt, forget, last, light, lying, made, melanie, memory, meteor, never, one, perseid, remember, saw, shower, sky, streaks",28
conv-26_session_10_D10:15,conv-26,,0
conv-26_session_10_D10:16,conv-26,,0
conv-26_session_10_D10:17,conv-26,,0
conv-26_session_10_D10:18,conv-26,,0
conv-26_session_10_D10:19,conv-26,,0
conv-26_session_10_D10:20,conv-26,"Entities: child, melanie, memory, taking, youngest
Relations: treasure
Keywords: able, child, day, first, fleeting, forget, initial, into, life, lucky, melanie, memory, moments, never, perspective, put, really, seeing, share, steps",29
conv-26_session_10_D10:21,conv-26,,0
conv-26_session_10_D10:22,conv-26,,0
conv-26_session_10_D10:23,conv-26,,0
conv-26_session_10_D10:24,conv-26,,0
conv-26_session_11_D11:1,conv-26,"Entities: birthday, daughter, melanie, moments, special
Relations: celebrate, value
Keywords: amazing, awesome, birthday, breeze, caroline, celebrated, concert, daughter, hey, joy, kids, last, melanie, moments, music, night, seeing, smiles, special, summer",30
conv-26_session_11_D11:2,conv-26,,0
conv-26_session_11_D11:3,conv-26,,0
conv-26_session_11_D11:4,conv-26,"Entities: caroline, parade, pride
Relations: attend
Keywords: awesome, blast, caroline, concert, energy, equality, everywhere, friday, glad, happened, important, keep, last, lot, love, made, mel, much, parade, pride",27
conv-26_session_11_D11:5,conv-26,,0
conv-26_session_11_D11:6,conv-26,,0
conv-26_session_11_D11:7,conv-26,"Entities: appreciate, melanie, value
Relations: appreciate, value
Keywords: accepting, appreciate, artist, awesome, blast, caroline, cultivate, environment, everyone, important, inclusive, kids, last, like, looks, loving, melanie, night, pic, reminds",28
