system,clients,n,median_QPS,median_mean_ms,median_p50_ms,median_p95_ms,median_p99_ms,min_QPS,max_QPS,IQR_QPS,median_error_rate
cassandra_naive,1,5,21.4,46.747,37.898,80.455,264.342,21.178,23.555,0.777,0.0
cassandra_naive,8,5,406.396,19.697,14.01,47.776,122.191,395.882,490.22,20.357,0.0
cassandra_naive,32,5,796.362,40.205,30.196,82.148,242.395,792.62,800.262,0.677,0.0
cassandra_naive,64,5,833.006,77.012,59.028,143.144,454.433,831.29,837.634,3.572,0.0
cassandra_opt,1,5,40.488,24.703,22.312,39.125,49.993,39.444,43.709,0.956,0.0
cassandra_opt,8,5,506.217,15.805,12.63,35.508,51.059,504.35,520.754,1.642,0.0
cassandra_opt,32,5,615.996,51.992,46.009,89.082,110.06,609.123,617.61,3.626,0.0
cassandra_opt,64,5,601.057,106.601,99.838,153.507,182.304,586.109,616.103,9.318,0.0
neo4j,1,5,74.709,13.387,8.575,35.808,92.339,69.533,90.821,8.489,0.0
neo4j,8,5,481.173,16.628,12.426,35.245,111.478,477.257,489.682,2.915,0.0
neo4j,32,5,484.619,66.188,47.698,161.047,446.717,483.838,486.79,1.443,0.0
neo4j,64,5,470.137,136.859,97.749,352.194,918.456,468.271,472.713,1.564,0.0
