system,clients,mode,n,median_QPS,median_mean_ms,median_p50_ms,median_p95_ms,median_p99_ms,min_QPS,max_QPS,IQR_QPS
cassandra_naive,1,cold,5,21.4,46.747,37.898,80.455,264.342,21.178,23.555,0.777
cassandra_naive,8,cold,5,406.396,19.697,14.01,47.776,122.191,395.882,490.22,20.357
cassandra_naive,32,cold,5,796.362,40.205,30.196,82.148,242.395,792.62,800.262,0.677
cassandra_naive,64,cold,5,833.006,77.012,59.028,143.144,454.433,831.29,837.634,3.572
cassandra_opt,1,cold,5,40.488,24.703,22.312,39.125,49.993,39.444,43.709,0.956
cassandra_opt,8,cold,5,506.217,15.805,12.63,35.508,51.059,504.35,520.754,1.642
cassandra_opt,32,cold,5,615.996,51.992,46.009,89.082,110.06,609.123,617.61,3.626
cassandra_opt,64,cold,5,601.057,106.601,99.838,153.507,182.304,586.109,616.103,9.318
neo4j,1,cold,5,74.709,13.387,8.575,35.808,92.339,69.533,90.821,8.489
neo4j,8,cold,5,481.173,16.628,12.426,35.245,111.478,477.257,489.682,2.915
neo4j,32,cold,5,484.619,66.188,47.698,161.047,446.717,483.838,486.79,1.443
neo4j,64,cold,5,470.137,136.859,97.749,352.194,918.456,468.271,472.713,1.564
cassandra_naive,1,warm,5,16.977,59.002,47.366,90.056,330.213,16.667,17.511,0.2
cassandra_naive,8,warm,5,467.524,17.134,12.398,44.48,107.91,431.396,497.918,29.517
cassandra_naive,32,warm,5,739.375,43.357,32.803,89.501,263.703,666.053,795.833,114.725
cassandra_naive,64,warm,5,598.176,107.4,82.943,215.517,617.022,558.863,640.943,36.26
cassandra_opt,1,warm,5,31.244,32.026,31.194,43.65,52.38,31.111,31.467,0.155
cassandra_opt,8,warm,5,515.057,15.537,12.273,33.085,49.669,462.168,560.169,7.967
cassandra_opt,32,warm,5,574.137,55.853,49.676,96.029,118.729,524.328,615.694,27.953
cassandra_opt,64,warm,5,516.903,124.093,117.743,173.125,189.16,440.2,554.381,66.994
neo4j,1,warm,5,124.777,8.015,5.412,25.269,49.721,107.931,136.51,16.334
neo4j,8,warm,5,485.904,16.468,12.356,35.189,109.453,446.773,493.774,7.242
neo4j,32,warm,5,455.361,70.42,50.869,175.478,478.623,332.749,475.584,93.777
neo4j,64,warm,5,327.218,197.324,162.261,488.2,1474.321,272.254,333.88,39.853
