system,clients,n,median_QPS,median_mean_ms,median_p50_ms,median_p95_ms,median_p99_ms,min_QPS,max_QPS,IQR_QPS,median_error_rate
cassandra_naive,1,5,16.977,59.002,47.366,90.056,330.213,16.667,17.511,0.2,0.0
cassandra_naive,8,5,467.524,17.134,12.398,44.48,107.91,431.396,497.918,29.517,0.0
cassandra_naive,32,5,739.375,43.357,32.803,89.501,263.703,666.053,795.833,114.725,0.0
cassandra_naive,64,5,598.176,107.4,82.943,215.517,617.022,558.863,640.943,36.26,0.0
cassandra_opt,1,5,31.244,32.026,31.194,43.65,52.38,31.111,31.467,0.155,0.0
cassandra_opt,8,5,515.057,15.537,12.273,33.085,49.669,462.168,560.169,7.967,0.0
cassandra_opt,32,5,574.137,55.853,49.676,96.029,118.729,524.328,615.694,27.953,0.0
cassandra_opt,64,5,516.903,124.093,117.743,173.125,189.16,440.2,554.381,66.994,0.0
neo4j,1,5,124.777,8.015,5.412,25.269,49.721,107.931,136.51,16.334,0.0
neo4j,8,5,485.904,16.468,12.356,35.189,109.453,446.773,493.774,7.242,0.0
neo4j,32,5,455.361,70.42,50.869,175.478,478.623,332.749,475.584,93.777,0.0
neo4j,64,5,327.218,197.324,162.261,488.2,1474.321,272.254,333.88,39.853,0.0
