mode,system,hop,n,median_QPS,median_mean_ms,median_p50_ms,median_p95_ms,median_p99_ms,median_round_trips_mean,median_round_trips_p95,median_raw_rows_mean,median_raw_rows_p95,median_result_paths_mean,median_result_paths_p95,min_QPS,max_QPS,IQR_QPS,median_error_rate
cold,cassandra_opt,1,5,1406.498,5.687,3.939,15.812,24.016,1.0,1.0,21.5,20.0,2.0,4.0,1306.76,1507.696,120.359,0.0
cold,cassandra_opt,2,5,520.775,15.362,12.132,32.69,51.849,3.5,3.0,88.9,60.0,4.6,20.0,497.039,533.143,19.469,0.0
cold,cassandra_opt,3,5,274.977,29.104,24.903,57.895,79.355,7.5,8.0,170.8,120.0,6.8,26.0,206.598,298.086,22.903,0.0
cold,cassandra_opt,4,5,137.931,58.018,49.059,112.954,150.911,15.4,12.0,366.8,180.0,12.5,58.0,132.087,151.063,14.485,0.0
cold,neo4j,1,5,1747.753,4.576,4.249,7.042,9.475,1.0,1.0,2.0,2.0,2.0,4.0,1668.181,1897.534,27.857,0.0
cold,neo4j,2,5,482.439,16.586,12.797,34.178,111.759,3.5,3.0,8.0,6.0,4.6,20.0,463.464,485.708,3.24,0.0
cold,neo4j,3,5,217.264,36.829,29.546,79.437,225.522,7.5,5.0,14.9,5.0,6.8,26.0,213.083,246.933,10.978,0.0
cold,neo4j,4,5,107.599,74.411,44.742,268.325,455.13,15.8,20.0,31.4,31.0,12.5,58.0,100.91,115.777,4.293,0.0
warm,cassandra_opt,1,5,1362.233,5.871,4.146,16.106,26.794,1.0,1.0,21.5,20.0,2.0,4.0,1262.563,1376.091,55.497,0.0
warm,cassandra_opt,2,5,537.386,14.887,11.658,32.628,49.453,3.5,3.0,88.6,60.0,4.6,20.0,512.218,549.04,12.052,0.0
warm,cassandra_opt,3,5,300.663,26.612,22.679,53.859,73.881,7.5,4.0,170.6,60.0,6.8,26.0,294.017,303.131,1.447,0.0
warm,cassandra_opt,4,5,152.354,52.614,45.434,104.696,141.919,15.7,20.0,373.3,280.0,12.5,58.0,133.088,153.263,2.518,0.0
warm,neo4j,1,5,1716.456,4.66,4.275,7.54,11.402,1.0,1.0,2.0,2.0,2.0,4.0,1627.342,1778.337,80.152,0.0
warm,neo4j,2,5,511.64,15.636,12.273,31.484,104.52,3.5,4.0,7.9,7.0,4.6,20.0,488.309,519.573,1.627,0.0
warm,neo4j,3,5,249.13,32.125,26.472,66.684,203.571,7.5,5.0,14.9,8.0,6.8,26.0,247.55,252.373,0.551,0.0
warm,neo4j,4,5,113.888,70.334,43.047,252.314,424.829,15.8,8.0,31.3,10.0,12.5,58.0,98.176,117.444,9.379,0.0
