run_id,system,hop,mode,clients,repeat,measurement_seconds,completed_reads,QPS,mean_ms,p50_ms,p95_ms,p99_ms,round_trips_mean,round_trips_p95,raw_rows_mean,raw_rows_p95,result_paths_mean,result_paths_p95,read_error_count,spotcheck_10_10
20260709,neo4j,1,warm,8,1,45.001,78945,1754.312,4.559,4.159,7.423,11.563,1,1,2.0,2,2,4,0,True
20260709,cassandra_opt,1,warm,8,1,45.0,61301,1362.233,5.871,4.051,15.972,24.187,1,1,21.5,20,2,4,0,True
20260709,neo4j,1,warm,8,2,45.002,75340,1674.16,4.778,4.389,7.691,11.183,1,1,2.0,1,2,4,0,True
20260709,cassandra_opt,1,warm,8,2,45.001,59031,1311.764,6.098,4.244,16.106,28.48,1,1,21.5,20,2,4,0,True
20260709,cassandra_opt,1,warm,8,3,45.001,61925,1376.091,5.813,4.093,15.539,26.794,1,1,21.5,20,2,4,0,True
20260709,neo4j,1,warm,8,3,45.001,73232,1627.342,4.915,4.506,8.019,11.402,1,1,2.0,1,2,4,0,True
20260709,neo4j,1,warm,8,4,45.001,80027,1778.337,4.498,4.11,7.248,12.11,1,1,2.0,2,2,4,0,True
20260709,cassandra_opt,1,warm,8,4,45.001,56817,1262.563,6.335,4.359,16.524,27.008,1,1,21.5,20,2,4,0,True
20260709,neo4j,1,warm,8,5,45.0,77241,1716.456,4.66,4.275,7.54,11.002,1,1,2.0,5,2,4,0,True
20260709,cassandra_opt,1,warm,8,5,45.001,61528,1367.261,5.851,4.146,16.149,23.767,1,1,21.5,20,2,4,0,True
20260709,neo4j,2,warm,8,1,45.0,21974,488.309,16.386,12.642,34.036,109.044,3.5,6,8.0,42,4.6,20,0,True
20260709,cassandra_opt,2,warm,8,1,45.001,24183,537.386,14.887,11.658,32.93,51.577,3.5,3,88.9,40,4.6,20,0,True
20260709,neo4j,2,warm,8,2,45.0,23062,512.485,15.614,12.234,31.484,104.057,3.5,4,7.9,41,4.6,20,0,True
20260709,cassandra_opt,2,warm,8,2,45.0,24707,549.04,14.572,11.524,31.092,47.795,3.5,3,88.4,60,4.6,20,0,True
20260709,neo4j,2,warm,8,3,45.0,23381,519.573,15.398,12.045,30.812,103.268,3.5,3,7.9,4,4.6,20,0,True
20260709,cassandra_opt,2,warm,8,3,45.0,24048,534.395,14.973,11.841,32.628,47.932,3.5,6,89.0,100,4.6,20,0,True
