system,write_ratio,mode,n,median_read_QPS,median_write_QPS,median_total_ops_QPS,median_read_mean_ms,median_read_p95_ms,median_read_p99_ms,median_write_mean_ms,median_write_p95_ms,median_write_p99_ms,median_actual_write_ratio,min_total_ops_QPS,max_total_ops_QPS,IQR_total_ops_QPS
cassandra,0,cold,5,463.778,,463.778,69.073,118.862,153.004,,,,0.0,424.4,483.467,40.444
cassandra,10,cold,5,424.511,47.089,471.6,71.172,137.129,173.639,38.96,97.732,115.777,10.0,437.022,653.844,25.155
cassandra,30,cold,5,441.222,188.978,630.2,56.819,99.341,129.187,36.559,70.463,87.141,30.0,590.822,743.511,30.8
neo4j,0,cold,5,293.556,,293.556,109.307,276.672,764.893,,,,0.0,244.222,311.044,24.8
neo4j,10,cold,5,322.467,35.822,358.289,97.712,241.882,696.702,15.857,28.204,45.952,10.0,319.044,411.044,39.4
neo4j,30,cold,5,343.222,146.822,490.044,87.767,222.326,606.327,13.106,21.872,32.887,30.0,446.733,568.6,94.6
cassandra,0,warm,5,636.6,,636.6,50.285,84.625,105.05,,,,0.0,633.422,639.267,3.134
cassandra,10,warm,5,586.222,65.156,651.378,51.425,86.359,105.211,28.894,57.989,66.801,10.0,633.511,674.6,27.222
cassandra,30,warm,5,486.822,208.556,695.378,51.441,90.633,115.933,33.635,61.994,76.357,30.0,283.533,745.889,96.089
neo4j,0,warm,5,460.933,,460.933,69.489,171.528,486.609,,,,0.0,443.8,474.644,5.911
neo4j,10,warm,5,427.578,47.422,475.0,73.836,171.035,488.27,10.801,18.187,27.153,10.0,426.844,507.4,40.066
neo4j,30,warm,5,408.244,174.933,583.178,73.457,180.034,496.978,11.806,20.594,28.711,30.0,337.311,597.6,36.2
