run_id,system,graph_id,write_graph_id,clients,hop,fanout,cycle_policy,target_write_ratio,actual_write_ratio,repeat,mode,cold_mode,warmup_seconds,measurement_seconds,completed_reads,completed_writes,read_QPS,write_QPS,total_ops_QPS,read_mean_ms,read_p50_ms,read_p95_ms,read_p99_ms,write_mean_ms,write_p50_ms,write_p95_ms,write_p99_ms,read_error_count,write_error_count,total_error_rate,cache_enabled,cache_hit_rate,effective_latency_ms,frontier_workers,relation_index_enabled,backend_state,read_hash_spotcheck_passed,write_validation_passed,logical_writes_validated,physical_writes_per_logical_write
20260708,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w10_r3_cold_20260708,32,2,20,path,10,10.0,3,cold,process_cold,0,45.0,14557,1616,323.489,35.911,359.4,97.491,68.775,245.577,705.109,14.169,13.39,24.403,32.098,0,0,0.0,False,,,0,False,process_cold,True,True,20/20,1
20260708,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w0_r1_cold_20260708,32,2,20,path,0,0.0,1,cold,process_cold,0,45.0,13997,0,311.044,,311.044,103.165,72.286,255.44,756.724,,,,,0,0,0.0,False,,,0,False,process_cold,True,,,1
20260708,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w10_r3_cold_20260708,32,2,20,path,10,10.0,3,cold,process_cold,0,45.0,19214,2134,426.978,47.422,474.4,70.611,62.802,121.983,158.219,39.868,35.695,80.26,107.255,0,0,0.0,False,,,16,False,process_cold,True,True,20/20,4
20260708,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w0_r1_cold_20260708,32,2,20,path,0,0.0,1,cold,process_cold,0,45.0,21756,0,483.467,,483.467,66.279,58.736,115.449,137.162,,,,,0,0,0.0,False,,,16,False,process_cold,True,,,4
20260708,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w10_r4_cold_20260708,32,2,20,path,10,10.0,4,cold,process_cold,0,45.0,19400,2155,431.111,47.889,479.0,69.975,63.06,123.65,148.167,39.023,35.954,73.652,96.734,0,0,0.0,False,,,16,False,process_cold,True,True,20/20,4
20260708,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w0_r2_cold_20260708,32,2,20,path,0,0.0,2,cold,process_cold,0,45.0,13401,0,297.8,,297.8,107.667,82.651,230.826,695.499,,,,,0,0,0.0,False,,,0,False,process_cold,True,,,1
20260708,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w10_r4_cold_20260708,32,2,20,path,10,10.0,4,cold,process_cold,0,45.0,13132,1460,291.822,32.444,324.267,108.122,77.722,271.233,756.929,15.739,14.754,26.275,35.423,0,0,0.0,False,,,0,False,process_cold,True,True,20/20,1
20260708,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w0_r2_cold_20260708,32,2,20,path,0,0.0,2,cold,process_cold,0,45.0,19231,0,427.356,,427.356,74.982,67.423,127.017,167.899,,,,,0,0,0.0,False,,,16,False,process_cold,True,,,4
20260708,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w10_r5_cold_20260708,32,2,20,path,10,10.0,5,cold,process_cold,0,45.0,12510,1387,278.0,30.822,308.822,112.6,87.581,226.432,698.184,24.36,26.274,35.95,50.611,0,0,0.0,False,,,0,False,process_cold,True,True,20/20,1
20260708,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w0_r3_cold_20260708,32,2,20,path,0,0.0,3,cold,process_cold,0,45.0,20870,0,463.778,,463.778,69.073,61.814,116.964,148.219,,,,,0,0,0.0,False,,,16,False,process_cold,True,,,4
20260708,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w10_r5_cold_20260708,32,2,20,path,10,10.0,5,cold,process_cold,0,45.0,15243,1694,338.733,37.644,376.378,89.114,80.03,176.658,237.894,49.147,47.331,80.491,161.773,0,0,0.0,False,,,16,False,process_cold,True,True,20/20,4
20260708,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w0_r3_cold_20260708,32,2,20,path,0,0.0,3,cold,process_cold,0,45.0,10990,0,244.222,,244.222,131.533,92.653,337.26,906.842,,,,,0,0,0.0,False,,,0,False,process_cold,True,,,1
20260708,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w30_r1_cold_20260708,32,2,20,path,30,30.0,1,cold,process_cold,0,45.0,12005,5139,266.778,114.2,380.978,113.125,80.206,295.4,795.399,16.474,15.44,27.946,43.299,0,0,0.0,False,,,0,False,process_cold,True,True,20/20,1
20260708,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w0_r4_cold_20260708,32,2,20,path,0,0.0,4,cold,process_cold,0,45.0,13210,0,293.556,,293.556,109.307,77.976,276.672,764.893,,,,,0,0,0.0,False,,,0,False,process_cold,True,,,1
20260708,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w30_r1_cold_20260708,32,2,20,path,30,30.0,1,cold,process_cold,0,45.0,15950,6829,354.444,151.756,506.2,70.364,62.435,132.293,190.477,46.677,41.125,85.248,139.547,0,0,0.0,False,,,16,False,process_cold,True,True,20/20,4
20260708,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w0_r4_cold_20260708,32,2,20,path,0,0.0,4,cold,process_cold,0,45.0,19098,0,424.4,,424.4,75.515,67.586,140.415,191.193,,,,,0,0,0.0,False,,,16,False,process_cold,True,,,4
20260708,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w30_r2_cold_20260708,32,2,20,path,30,30.0,2,cold,process_cold,0,45.0,11119,4758,247.089,105.733,352.822,121.2,86.624,316.792,790.648,20.864,16.821,31.985,62.144,0,0,0.0,False,,,0,False,process_cold,True,True,20/20,1
20260708,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w0_r5_cold_20260708,32,2,20,path,0,0.0,5,cold,process_cold,0,45.0,12285,0,273.0,,273.0,117.417,82.202,300.628,829.761,,,,,0,0,0.0,False,,,0,False,process_cold,True,,,1
