axis,scale_label,actual_edges,graph_id,graph_type,mode,system,clients,hop,write_ratio,n,read_QPS,write_QPS,mean_ms,p50_ms,p95_ms,p99_ms,write_mean_ms,write_p95_ms,write_p99_ms,cache_enabled,cache_hit_rate,effective_latency_ms,correctness_status,source_summary_file,notes
write_ratio,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,cassandra,32,2,0.0,5,463.778,0,69.073,,118.862,153.004,0,0,0,False,0,69.073,PASS,reports/sysaxis_1m_write_ratio_final/final_write_ratio_summary_cold_warm.csv,wr=0
write_ratio,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,cassandra,32,2,10.0,5,424.511,47.089,71.172,,137.129,173.639,38.96,97.732,115.777,False,0,71.172,PASS,reports/sysaxis_1m_write_ratio_final/final_write_ratio_summary_cold_warm.csv,wr=10
write_ratio,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,cassandra,32,2,30.0,5,441.222,188.978,56.819,,99.341,129.187,36.559,70.463,87.141,False,0,56.819,PASS,reports/sysaxis_1m_write_ratio_final/final_write_ratio_summary_cold_warm.csv,wr=30
write_ratio,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,neo4j,32,2,0.0,5,293.556,0,109.307,,276.672,764.893,0,0,0,False,0,109.307,PASS,reports/sysaxis_1m_write_ratio_final/final_write_ratio_summary_cold_warm.csv,wr=0
write_ratio,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,neo4j,32,2,10.0,5,322.467,35.822,97.712,,241.882,696.702,15.857,28.204,45.952,False,0,97.712,PASS,reports/sysaxis_1m_write_ratio_final/final_write_ratio_summary_cold_warm.csv,wr=10
write_ratio,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,neo4j,32,2,30.0,5,343.222,146.822,87.767,,222.326,606.327,13.106,21.872,32.887,False,0,87.767,PASS,reports/sysaxis_1m_write_ratio_final/final_write_ratio_summary_cold_warm.csv,wr=30
write_ratio,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,cassandra,32,2,0.0,5,636.6,0,50.285,,84.625,105.05,0,0,0,False,0,50.285,PASS,reports/sysaxis_1m_write_ratio_final/final_write_ratio_summary_cold_warm.csv,wr=0
write_ratio,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,cassandra,32,2,10.0,5,586.222,65.156,51.425,,86.359,105.211,28.894,57.989,66.801,False,0,51.425,PASS,reports/sysaxis_1m_write_ratio_final/final_write_ratio_summary_cold_warm.csv,wr=10
write_ratio,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,cassandra,32,2,30.0,5,486.822,208.556,51.441,,90.633,115.933,33.635,61.994,76.357,False,0,51.441,PASS,reports/sysaxis_1m_write_ratio_final/final_write_ratio_summary_cold_warm.csv,wr=30
write_ratio,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,neo4j,32,2,0.0,5,460.933,0,69.489,,171.528,486.609,0,0,0,False,0,69.489,PASS,reports/sysaxis_1m_write_ratio_final/final_write_ratio_summary_cold_warm.csv,wr=0
write_ratio,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,neo4j,32,2,10.0,5,427.578,47.422,73.836,,171.035,488.27,10.801,18.187,27.153,False,0,73.836,PASS,reports/sysaxis_1m_write_ratio_final/final_write_ratio_summary_cold_warm.csv,wr=10
write_ratio,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,neo4j,32,2,30.0,5,408.244,174.933,73.457,,180.034,496.978,11.806,20.594,28.711,False,0,73.457,PASS,reports/sysaxis_1m_write_ratio_final/final_write_ratio_summary_cold_warm.csv,wr=30
concurrency,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,cassandra_naive,1,2,0,5,21.4,,46.747,37.898,80.455,264.342,,,,False,0,46.747,PASS,reports/sysaxis_1m_concurrency_final/final_concurrency_summary_cold_warm.csv,
concurrency,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,cassandra_naive,8,2,0,5,406.396,,19.697,14.01,47.776,122.191,,,,False,0,19.697,PASS,reports/sysaxis_1m_concurrency_final/final_concurrency_summary_cold_warm.csv,
concurrency,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,cassandra_naive,32,2,0,5,796.362,,40.205,30.196,82.148,242.395,,,,False,0,40.205,PASS,reports/sysaxis_1m_concurrency_final/final_concurrency_summary_cold_warm.csv,
concurrency,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,cassandra_naive,64,2,0,5,833.006,,77.012,59.028,143.144,454.433,,,,False,0,77.012,PASS,reports/sysaxis_1m_concurrency_final/final_concurrency_summary_cold_warm.csv,
