method,qa_id,query_sample_id,top10_memory_ids,top10_count,top10_cross_sample_count,top10_cross_sample_rate
Dense-bge,conv-26_qa_0,conv-26,conv-26_session_1_D1:3;conv-26_session_4_D4:13;conv-26_session_5_D5:1;conv-26_session_3_D3:2;conv-26_session_9_D9:11;conv-26_session_9_D9:2;conv-26_session_7_D7:1;conv-26_session_2_D2:12;conv-26_session_10_D10:3;conv-26_session_11_D11:6,10,0,0.0
Dense-bge,conv-26_qa_1,conv-26,conv-26_session_1_D1:14;conv-26_session_14_D14:7;conv-26_session_14_D14:6;conv-48_session_25_D25:12;conv-26_session_16_D16:8;conv-26_session_9_D9:15;conv-26_session_17_D17:12;conv-26_session_14_D14:8;conv-26_session_17_D17:13;conv-26_session_8_D8:6,10,1,0.1
Dense-bge,conv-26_qa_2,conv-26,conv-26_session_1_D1:9;conv-26_session_1_D1:10;conv-26_session_4_D4:11;conv-26_session_1_D1:11;conv-26_session_7_D7:5;conv-26_session_6_D6:3;conv-26_session_12_D12:20;conv-48_session_5_D5:9;conv-26_session_6_D6:7;conv-48_session_19_D19:6,10,2,0.2
Dense-bge,conv-26_qa_3,conv-26,conv-26_session_10_D10:15;conv-26_session_4_D4:11;conv-26_session_7_D7:21;conv-26_session_12_D12:6;conv-26_session_6_D6:7;conv-26_session_15_D15:10;conv-26_session_6_D6:3;conv-26_session_7_D7:13;conv-26_session_14_D14:18;conv-26_session_4_D4:15,10,0,0.0
Dense-bge,conv-26_qa_4,conv-26,conv-26_session_11_D11:12;conv-26_session_11_D11:10;conv-26_session_15_D15:15;conv-26_session_16_D16:13;conv-26_session_10_D10:15;conv-26_session_19_D19:7;conv-26_session_4_D4:2;conv-26_session_17_D17:22;conv-26_session_13_D13:13;conv-26_session_8_D8:25,10,0,0.0
Dense-bge,conv-26_qa_5,conv-26,conv-26_session_2_D2:1;conv-26_session_2_D2:2;conv-26_session_10_D10:6;conv-26_session_14_D14:11;conv-26_session_2_D2:3;conv-26_session_19_D19:11;conv-41_session_10_D10:10;conv-26_session_4_D4:16;conv-26_session_4_D4:15;conv-26_session_19_D19:6,10,1,0.1
Dense-bge,conv-26_qa_6,conv-26,conv-26_session_10_D10:12;conv-26_session_2_D2:7;conv-26_session_18_D18:19;conv-26_session_4_D4:6;conv-26_session_4_D4:8;conv-26_session_9_D9:1;conv-26_session_10_D10:14;conv-26_session_18_D18:21;conv-26_session_8_D8:32;conv-26_session_12_D12:18,10,0,0.0
Dense-bge,conv-26_qa_7,conv-26,conv-26_session_9_D9:7;conv-26_session_16_D16:15;conv-26_session_3_D3:13;conv-26_session_4_D4:1;conv-26_session_8_D8:22;conv-26_session_19_D19:7;conv-26_session_4_D4:11;conv-26_session_3_D3:15;conv-26_session_3_D3:22;conv-26_session_7_D7:5,10,0,0.0
Dense-bge,conv-26_qa_8,conv-26,conv-26_session_3_D3:1;conv-26_session_8_D8:19;conv-26_session_17_D17:21;conv-26_session_8_D8:14;conv-26_session_10_D10:15;conv-26_session_5_D5:14;conv-26_session_8_D8:15;conv-26_session_15_D15:11;conv-26_session_10_D10:6;conv-26_session_3_D3:3,10,0,0.0
Dense-bge,conv-26_qa_9,conv-26,conv-26_session_8_D8:19;conv-26_session_3_D3:11;conv-26_session_9_D9:4;conv-26_session_8_D8:23;conv-26_session_7_D7:2;conv-26_session_9_D9:2;conv-26_session_8_D8:14;conv-26_session_5_D5:1;conv-26_session_16_D16:15;conv-26_session_10_D10:6,10,0,0.0
Dense-bge,conv-26_qa_10,conv-26,conv-26_session_12_D12:14;conv-26_session_3_D3:13;conv-26_session_8_D8:38;conv-26_session_16_D16:15;conv-26_session_12_D12:13;conv-26_session_4_D4:1;conv-26_session_10_D10:6;conv-26_session_15_D15:15;conv-26_session_6_D6:14;conv-26_session_6_D6:1,10,0,0.0
Dense-bge,conv-26_qa_11,conv-26,conv-26_session_8_D8:29;conv-26_session_3_D3:13;conv-26_session_17_D17:2;conv-26_session_6_D6:2;conv-26_session_8_D8:22;conv-26_session_8_D8:27;conv-26_session_4_D4:1;conv-26_session_10_D10:2;conv-26_session_10_D10:1;conv-26_session_3_D3:16,10,0,0.0
Dense-bge,conv-26_qa_12,conv-26,conv-26_session_4_D4:5;conv-26_session_11_D11:1;conv-26_session_3_D3:16;conv-26_session_3_D3:15;conv-26_session_4_D4:1;conv-26_session_6_D6:2;conv-26_session_8_D8:14;conv-26_session_8_D8:22;conv-26_session_16_D16:7;conv-26_session_15_D15:21,10,0,0.0
Dense-bge,conv-26_qa_13,conv-26,conv-26_session_1_D1:9;conv-26_session_4_D4:11;conv-26_session_1_D1:10;conv-48_session_4_D4:8;conv-26_session_1_D1:11;conv-26_session_7_D7:5;conv-26_session_6_D6:3;conv-26_session_7_D7:7;conv-26_session_4_D4:18;conv-26_session_12_D12:20,10,1,0.1
Dense-bge,conv-26_qa_14,conv-26,conv-26_session_7_D7:7;conv-26_session_4_D4:11;conv-26_session_1_D1:11;conv-26_session_7_D7:5;conv-26_session_4_D4:15;conv-26_session_4_D4:14;conv-26_session_6_D6:3;conv-26_session_19_D19:9;conv-26_session_19_D19:7;conv-26_session_6_D6:15,10,0,0.0
Dense-bge,conv-26_qa_15,conv-26,conv-26_session_2_D2:5;conv-26_session_8_D8:34;conv-26_session_12_D12:6;conv-26_session_1_D1:16;conv-26_session_10_D10:12;conv-26_session_15_D15:18;conv-48_session_19_D19:14;conv-26_session_16_D16:8;conv-26_session_3_D3:22;conv-26_session_7_D7:12,10,1,0.1
Dense-bge,conv-26_qa_16,conv-26,conv-26_session_5_D5:4;conv-26_session_5_D5:12;conv-26_session_14_D14:4;conv-26_session_16_D16:8;conv-26_session_5_D5:10;conv-26_session_8_D8:2;conv-26_session_5_D5:5;conv-26_session_5_D5:6;conv-26_session_12_D12:3;conv-26_session_16_D16:9,10,0,0.0
Dense-bge,conv-26_qa_17,conv-26,conv-26_session_5_D5:13;conv-26_session_7_D7:1;conv-26_session_3_D3:3;conv-26_session_3_D3:2;conv-26_session_9_D9:6;conv-26_session_3_D3:4;conv-26_session_4_D4:13;conv-26_session_14_D14:12;conv-26_session_3_D3:1;conv-26_session_1_D1:5,10,0,0.0
Dense-bge,conv-26_qa_18,conv-26,conv-43_session_20_D20:35;conv-26_session_10_D10:12;conv-26_session_18_D18:19;conv-26_session_4_D4:6;conv-26_session_4_D4:8;conv-26_session_18_D18:21;conv-26_session_8_D8:32;conv-26_session_10_D10:13;conv-26_session_2_D2:7;conv-26_session_9_D9:1,10,1,0.1
Dense-bge,conv-26_qa_19,conv-26,conv-26_session_15_D15:2;conv-26_session_10_D10:12;conv-26_session_11_D11:1;conv-26_session_2_D2:7;conv-26_session_19_D19:4;conv-26_session_19_D19:5;conv-26_session_8_D8:2;conv-26_session_3_D3:22;conv-26_session_10_D10:10;conv-26_session_4_D4:8,10,0,0.0
Dense-bge,conv-26_qa_20,conv-26,conv-26_session_6_D6:4;conv-26_session_6_D6:6;conv-26_session_15_D15:2;conv-26_session_12_D12:8;conv-26_session_8_D8:2;conv-26_session_4_D4:5;conv-26_session_11_D11:1;conv-26_session_14_D14:22;conv-26_session_9_D9:9;conv-26_session_17_D17:26,10,0,0.0
Dense-bge,conv-26_qa_21,conv-26,conv-26_session_8_D8:14;conv-41_session_24_D24:6;conv-44_session_11_D11:2;conv-26_session_8_D8:15;conv-26_session_10_D10:11;conv-26_session_8_D8:19;conv-26_session_12_D12:18;conv-26_session_11_D11:1;conv-44_session_11_D11:1;conv-26_session_10_D10:15,10,3,0.3
Dense-bge,conv-26_qa_22,conv-26,conv-26_session_6_D6:9;conv-26_session_6_D6:7;conv-26_session_6_D6:8;conv-48_session_29_D29:19;conv-48_session_4_D4:19;conv-48_session_4_D4:20;conv-48_session_26_D26:21;conv-48_session_2_D2:17;conv-26_session_7_D7:10;conv-43_session_20_D20:19,10,6,0.6
Dense-bge,conv-26_qa_23,conv-26,conv-26_session_7_D7:10;conv-26_session_6_D6:8;conv-48_session_26_D26:21;conv-26_session_6_D6:10;conv-26_session_7_D7:9;conv-26_session_7_D7:11;conv-48_session_4_D4:20;conv-44_session_20_D20:24;conv-26_session_2_D2:5;conv-42_session_19_D19:14,10,4,0.4
