Cell,Update rate (/s),Total arrival rate (/s),Pipeline p95 ms,FreshHit@10 50ms,FreshHit@10 100ms,FreshHit@10 250ms,FreshHit@10 500ms,FreshHit@10 1s,Pipeline visible @1s,Final Hit@10,Update backlog peak,Backlog drain ms,Timeout rate (>5s),Error rate,Missed update rate,Duplicate update rate,Stale-result rate @1s,SLO pass
cassandra-base,1.0,20.0,168.176,0.0,0.0,0.7,0.7,0.7,1.0,0.7,1,172.124,0.0,0.0,0.0,0.0,0.0,1
cassandra-base,2.0,40.0,183.849,0.0,0.0,0.725,0.725,0.725,1.0,0.725,1,174.025,0.0,0.0,0.0,0.0,0.0,1
cassandra-base,5.0,100.0,178.977,0.0,0.275,0.725,0.725,0.725,1.0,0.725,2,159.92,0.0,0.0,0.0,0.0,0.0,1
cassandra-base,10.0,200.0,366.024,0.0,0.1625,0.625,0.7625,0.7625,1.0,0.7625,5,189.585,0.0,0.0,0.0,0.0,0.0,1
cassandra-materialized,1.0,20.0,170.365,0.0,0.025,0.7,0.7,0.7,1.0,0.7,1,142.031,0.0,0.0,0.0,0.0,0.0,1
cassandra-materialized,2.0,40.0,137.164,0.0,0.25,0.725,0.725,0.725,1.0,0.725,1,136.6,0.0,0.0,0.0,0.0,0.0,1
cassandra-materialized,5.0,100.0,163.278,0.0,0.525,0.725,0.725,0.725,1.0,0.725,2,132.264,0.0,0.0,0.0,0.0,0.0,1
cassandra-materialized,10.0,200.0,376.475,0.0,0.225,0.6,0.75,0.7625,1.0,0.7625,6,141.429,0.0,0.0,0.0,0.0,0.0,1
neo4j-native,1.0,20.0,137.557,0.0,0.4,0.7,0.7,0.7,1.0,0.7,1,85.805,0.0,0.0,0.0,0.0,0.0,1
neo4j-native,2.0,40.0,4480.438,0.0,0.025,0.075,0.1,0.15,0.175,0.725,8,4034.446,0.0,0.0,0.0,0.0,0.825,0
neo4j-native,5.0,100.0,16574.197,0.0,0.0,0.0,0.0,0.0,0.0,0.725,29,17106.488,0.775,0.0,0.0,0.0,1.0,0
neo4j-native,10.0,200.0,41235.23,0.0,0.0,0.0,0.0,0.0,0.0,0.7625,69,42459.856,0.9,0.0,0.0,0.0,1.0,0
neo4j-materialized,1.0,20.0,141.443,0.0,0.4,0.7,0.7,0.7,1.0,0.7,1,81.459,0.0,0.0,0.0,0.0,0.0,1
neo4j-materialized,2.0,40.0,5313.437,0.0,0.025,0.075,0.1,0.125,0.175,0.725,9,4920.323,0.1,0.0,0.0,0.0,0.825,0
neo4j-materialized,5.0,100.0,17605.288,0.0,0.0,0.0,0.0,0.0,0.0,0.725,29,17958.213,0.775,0.0,0.0,0.0,1.0,0
neo4j-materialized,10.0,200.0,44583.025,0.0,0.0,0.0,0.0,0.0,0.0,0.7625,70,46006.43,0.9125,0.0,0.0,0.0,1.0,0
