qa_id,evidence_id,memory_id,sample_id
conv-26_qa_0,D1:3,conv-26_session_1_D1:3,conv-26
conv-26_qa_1,D1:12,conv-26_session_1_D1:12,conv-26
conv-26_qa_2,D1:9,conv-26_session_1_D1:9,conv-26
conv-26_qa_2,D1:11,conv-26_session_1_D1:11,conv-26
conv-26_qa_3,D2:8,conv-26_session_2_D2:8,conv-26
conv-26_qa_4,D1:5,conv-26_session_1_D1:5,conv-26
conv-26_qa_5,D2:1,conv-26_session_2_D2:1,conv-26
conv-26_qa_6,D2:7,conv-26_session_2_D2:7,conv-26
conv-26_qa_7,D3:13,conv-26_session_3_D3:13,conv-26
conv-26_qa_7,D2:14,conv-26_session_2_D2:14,conv-26
conv-26_qa_8,D3:1,conv-26_session_3_D3:1,conv-26
conv-26_qa_9,D3:11,conv-26_session_3_D3:11,conv-26
conv-26_qa_10,D3:13,conv-26_session_3_D3:13,conv-26
conv-26_qa_11,D3:13,conv-26_session_3_D3:13,conv-26
conv-26_qa_11,D4:3,conv-26_session_4_D4:3,conv-26
conv-26_qa_12,D4:5,conv-26_session_4_D4:5,conv-26
conv-26_qa_13,D4:13,conv-26_session_4_D4:13,conv-26
conv-26_qa_13,D1:11,conv-26_session_1_D1:11,conv-26
conv-26_qa_14,D4:15,conv-26_session_4_D4:15,conv-26
conv-26_qa_14,D3:5,conv-26_session_3_D3:5,conv-26
conv-26_qa_15,D5:4,conv-26_session_5_D5:4,conv-26
conv-26_qa_15,D9:1,conv-26_session_9_D9:1,conv-26
conv-26_qa_15,D1:12,conv-26_session_1_D1:12,conv-26
conv-26_qa_15,D1:18,conv-26_session_1_D1:18,conv-26
conv-26_qa_16,D5:4,conv-26_session_5_D5:4,conv-26
conv-26_qa_17,D5:13,conv-26_session_5_D5:13,conv-26
conv-26_qa_18,D6:16,conv-26_session_6_D6:16,conv-26
conv-26_qa_18,D4:6,conv-26_session_4_D4:6,conv-26
conv-26_qa_18,D8:32,conv-26_session_8_D8:32,conv-26
conv-26_qa_19,D6:6,conv-26_session_6_D6:6,conv-26
conv-26_qa_19,D4:8,conv-26_session_4_D4:8,conv-26
conv-26_qa_20,D6:4,conv-26_session_6_D6:4,conv-26
conv-26_qa_21,D6:11,conv-26_session_6_D6:11,conv-26
conv-26_qa_22,D6:9,conv-26_session_6_D6:9,conv-26
conv-26_qa_23,D7:8,conv-26_session_7_D7:8,conv-26
conv-26_qa_23,D6:10,conv-26_session_6_D6:10,conv-26
conv-26_qa_24,D7:22,conv-26_session_7_D7:22,conv-26
conv-26_qa_24,D5:4,conv-26_session_5_D5:4,conv-26
conv-26_qa_25,D7:1,conv-26_session_7_D7:1,conv-26
conv-26_qa_26,D7:8,conv-26_session_7_D7:8,conv-26
conv-26_qa_27,D7:5,conv-26_session_7_D7:5,conv-26
