method,boost,category,n,R@1,R@5,R@10,MRR
TF-IDF,0.0,1,282,0.0745,0.1879,0.2589,0.1232
TF-IDF,0.0,2,321,0.2430,0.4548,0.5265,0.3359
TF-IDF,0.0,3,96,0.0729,0.1875,0.2396,0.1233
TF-IDF,0.0,4,841,0.2057,0.4150,0.4946,0.2923
TF-IDF,0.0,5,446,0.2332,0.4058,0.5179,0.3086
Cassandra-KG (0.25),0.25,1,282,0.1206,0.2730,0.3546,0.1876
Cassandra-KG (0.25),0.25,2,321,0.3676,0.5452,0.5919,0.4496
Cassandra-KG (0.25),0.25,3,96,0.0833,0.2500,0.3021,0.1536
Cassandra-KG (0.25),0.25,4,841,0.2747,0.4602,0.5172,0.3520
Cassandra-KG (0.25),0.25,5,446,0.2937,0.4843,0.5404,0.3690
Cassandra-KG (0.5),0.5,1,282,0.1206,0.2730,0.3546,0.1882
Cassandra-KG (0.5),0.5,2,321,0.3614,0.5265,0.5732,0.4382
Cassandra-KG (0.5),0.5,3,96,0.0938,0.2396,0.2917,0.1542
Cassandra-KG (0.5),0.5,4,841,0.2759,0.4518,0.5006,0.3482
Cassandra-KG (0.5),0.5,5,446,0.2982,0.4843,0.5381,0.3714
Cassandra-KG (1.0),1.0,1,282,0.1170,0.2730,0.3511,0.1848
Cassandra-KG (1.0),1.0,2,321,0.3583,0.5234,0.5701,0.4350
Cassandra-KG (1.0),1.0,3,96,0.0938,0.2396,0.2917,0.1542
Cassandra-KG (1.0),1.0,4,841,0.2771,0.4518,0.5006,0.3488
Cassandra-KG (1.0),1.0,5,446,0.2982,0.4843,0.5381,0.3714
Neo4j (0.5),0.5,1,282,0.1099,0.2518,0.3475,0.1756
Neo4j (0.5),0.5,2,321,0.3489,0.5016,0.5452,0.4187
Neo4j (0.5),0.5,3,96,0.0938,0.2188,0.2812,0.1452
Neo4j (0.5),0.5,4,841,0.2616,0.4269,0.4780,0.3311
Neo4j (0.5),0.5,5,446,0.2848,0.4619,0.5157,0.3561
