method,setting,setting_label,category,category_name,n,correct,j_score,j_percent
BM25,a_unified,Cat.✗,4,Single-Hop,841,491,0.5838287752675386,58.382877526753866
BM25,a_unified,Cat.✗,1,Multi-Hop,282,81,0.2872340425531915,28.72340425531915
BM25,a_unified,Cat.✗,2,Temporal,321,137,0.42679127725856697,42.679127725856695
BM25,a_unified,Cat.✗,3,Open-Domain,96,26,0.2708333333333333,27.083333333333332
BM25,a_unified,Cat.✗,5,Adversarial,446,187,0.4192825112107623,41.92825112107624
BM25,a_unified,Cat.✗,Overall,Overall,1986,922,0.46424974823766363,46.42497482376636
BM25,b_category,Cat.✓,4,Single-Hop,841,489,0.5814506539833532,58.14506539833531
BM25,b_category,Cat.✓,1,Multi-Hop,282,83,0.29432624113475175,29.43262411347518
BM25,b_category,Cat.✓,2,Temporal,321,162,0.5046728971962616,50.467289719626166
BM25,b_category,Cat.✓,3,Open-Domain,96,32,0.3333333333333333,33.333333333333336
BM25,b_category,Cat.✓,5,Adversarial,446,392,0.8789237668161435,87.89237668161435
BM25,b_category,Cat.✓,Overall,Overall,1986,1158,0.5830815709969789,58.30815709969789
Dense-bge,a_unified,Cat.✗,4,Single-Hop,841,611,0.7265160523186682,72.65160523186682
Dense-bge,a_unified,Cat.✗,1,Multi-Hop,282,150,0.5319148936170213,53.191489361702125
Dense-bge,a_unified,Cat.✗,2,Temporal,321,169,0.5264797507788161,52.64797507788162
Dense-bge,a_unified,Cat.✗,3,Open-Domain,96,41,0.4270833333333333,42.708333333333336
Dense-bge,a_unified,Cat.✗,5,Adversarial,446,173,0.38789237668161436,38.789237668161434
Dense-bge,a_unified,Cat.✗,Overall,Overall,1986,1144,0.5760322255790534,57.60322255790534
Dense-bge,b_category,Cat.✓,4,Single-Hop,841,615,0.7312722948870393,73.12722948870392
Dense-bge,b_category,Cat.✓,1,Multi-Hop,282,153,0.5425531914893617,54.255319148936174
Dense-bge,b_category,Cat.✓,2,Temporal,321,205,0.6386292834890965,63.862928348909655
Dense-bge,b_category,Cat.✓,3,Open-Domain,96,41,0.4270833333333333,42.708333333333336
Dense-bge,b_category,Cat.✓,5,Adversarial,446,389,0.8721973094170403,87.21973094170404
Dense-bge,b_category,Cat.✓,Overall,Overall,1986,1403,0.7064451158106747,70.64451158106748
RRF_compact,a_unified,Cat.✗,4,Single-Hop,841,650,0.7728894173602854,77.28894173602853
RRF_compact,a_unified,Cat.✗,1,Multi-Hop,282,157,0.5567375886524822,55.673758865248224
RRF_compact,a_unified,Cat.✗,2,Temporal,321,174,0.5420560747663551,54.205607476635514
RRF_compact,a_unified,Cat.✗,3,Open-Domain,96,39,0.40625,40.625
RRF_compact,a_unified,Cat.✗,5,Adversarial,446,185,0.4147982062780269,41.47982062780269
RRF_compact,a_unified,Cat.✗,Overall,Overall,1986,1205,0.6067472306143001,60.67472306143001
RRF_compact,b_category,Cat.✓,4,Single-Hop,841,652,0.7752675386444708,77.52675386444709
RRF_compact,b_category,Cat.✓,1,Multi-Hop,282,158,0.5602836879432624,56.02836879432624
RRF_compact,b_category,Cat.✓,2,Temporal,321,211,0.6573208722741433,65.73208722741433
RRF_compact,b_category,Cat.✓,3,Open-Domain,96,44,0.4583333333333333,45.833333333333336
RRF_compact,b_category,Cat.✓,5,Adversarial,446,387,0.8677130044843049,86.7713004484305
RRF_compact,b_category,Cat.✓,Overall,Overall,1986,1452,0.7311178247734139,73.1117824773414
Dense+GlobalKG,a_unified,Cat.✗,4,Single-Hop,841,616,0.7324613555291319,73.2461355529132
Dense+GlobalKG,a_unified,Cat.✗,1,Multi-Hop,282,144,0.5106382978723404,51.06382978723404
Dense+GlobalKG,a_unified,Cat.✗,2,Temporal,321,168,0.5233644859813084,52.33644859813084
Dense+GlobalKG,a_unified,Cat.✗,3,Open-Domain,96,39,0.40625,40.625
Dense+GlobalKG,a_unified,Cat.✗,5,Adversarial,446,173,0.38789237668161436,38.789237668161434
Dense+GlobalKG,a_unified,Cat.✗,Overall,Overall,1986,1140,0.5740181268882175,57.40181268882175
Dense+GlobalKG,b_category,Cat.✓,4,Single-Hop,841,614,0.7300832342449465,73.00832342449465
Dense+GlobalKG,b_category,Cat.✓,1,Multi-Hop,282,146,0.5177304964539007,51.773049645390074
Dense+GlobalKG,b_category,Cat.✓,2,Temporal,321,212,0.660436137071651,66.04361370716511
Dense+GlobalKG,b_category,Cat.✓,3,Open-Domain,96,41,0.4270833333333333,42.708333333333336
Dense+GlobalKG,b_category,Cat.✓,5,Adversarial,446,392,0.8789237668161435,87.89237668161435
Dense+GlobalKG,b_category,Cat.✓,Overall,Overall,1986,1405,0.7074521651560927,70.74521651560927
ZScore-Raw,a_unified,Cat.✗,4,Single-Hop,841,635,0.7550535077288941,75.50535077288941
ZScore-Raw,a_unified,Cat.✗,1,Multi-Hop,282,148,0.524822695035461,52.4822695035461
ZScore-Raw,a_unified,Cat.✗,2,Temporal,321,173,0.5389408099688473,53.89408099688473
ZScore-Raw,a_unified,Cat.✗,3,Open-Domain,96,45,0.46875,46.875
ZScore-Raw,a_unified,Cat.✗,5,Adversarial,446,175,0.3923766816143498,39.237668161434975
ZScore-Raw,a_unified,Cat.✗,Overall,Overall,1986,1176,0.5921450151057401,59.21450151057402
ZScore-Raw,b_category,Cat.✓,4,Single-Hop,841,636,0.7562425683709869,75.6242568370987
ZScore-Raw,b_category,Cat.✓,1,Multi-Hop,282,148,0.524822695035461,52.4822695035461
ZScore-Raw,b_category,Cat.✓,2,Temporal,321,211,0.6573208722741433,65.73208722741433
ZScore-Raw,b_category,Cat.✓,3,Open-Domain,96,40,0.4166666666666667,41.666666666666664
ZScore-Raw,b_category,Cat.✓,5,Adversarial,446,388,0.8699551569506726,86.99551569506727
ZScore-Raw,b_category,Cat.✓,Overall,Overall,1986,1423,0.716515609264854,71.6515609264854
ZScore-RawERK,a_unified,Cat.✗,4,Single-Hop,841,648,0.7705112960760999,77.05112960761
ZScore-RawERK,a_unified,Cat.✗,1,Multi-Hop,282,157,0.5567375886524822,55.673758865248224
ZScore-RawERK,a_unified,Cat.✗,2,Temporal,321,178,0.5545171339563862,55.45171339563863
ZScore-RawERK,a_unified,Cat.✗,3,Open-Domain,96,39,0.40625,40.625
ZScore-RawERK,a_unified,Cat.✗,5,Adversarial,446,178,0.3991031390134529,39.91031390134529
ZScore-RawERK,a_unified,Cat.✗,Overall,Overall,1986,1200,0.6042296072507553,60.42296072507553
ZScore-RawERK,b_category,Cat.✓,4,Single-Hop,841,650,0.7728894173602854,77.28894173602853
ZScore-RawERK,b_category,Cat.✓,1,Multi-Hop,282,158,0.5602836879432624,56.02836879432624
ZScore-RawERK,b_category,Cat.✓,2,Temporal,321,217,0.67601246105919,67.601246105919
ZScore-RawERK,b_category,Cat.✓,3,Open-Domain,96,44,0.4583333333333333,45.833333333333336
ZScore-RawERK,b_category,Cat.✓,5,Adversarial,446,383,0.8587443946188341,85.87443946188341
ZScore-RawERK,b_category,Cat.✓,Overall,Overall,1986,1452,0.7311178247734139,73.1117824773414
