method,setting,setting_label,single_hop_j,multi_hop_j,temporal_j,open_domain_j,adversarial_j,overall_j
BM25,a_unified,Cat.✗,58.382877526753866,28.72340425531915,42.679127725856695,27.083333333333332,41.92825112107624,46.42497482376636
BM25,b_category,Cat.✓,58.14506539833531,29.43262411347518,50.467289719626166,33.333333333333336,87.89237668161435,58.30815709969789
Dense-bge,a_unified,Cat.✗,72.65160523186682,53.191489361702125,52.64797507788162,42.708333333333336,38.789237668161434,57.60322255790534
Dense-bge,b_category,Cat.✓,73.12722948870392,54.255319148936174,63.862928348909655,42.708333333333336,87.21973094170404,70.64451158106748
RRF_compact,a_unified,Cat.✗,77.28894173602853,55.673758865248224,54.205607476635514,40.625,41.47982062780269,60.67472306143001
RRF_compact,b_category,Cat.✓,77.52675386444709,56.02836879432624,65.73208722741433,45.833333333333336,86.7713004484305,73.1117824773414
Dense+GlobalKG,a_unified,Cat.✗,73.2461355529132,51.06382978723404,52.33644859813084,40.625,38.789237668161434,57.40181268882175
Dense+GlobalKG,b_category,Cat.✓,73.00832342449465,51.773049645390074,66.04361370716511,42.708333333333336,87.89237668161435,70.74521651560927
ZScore-Raw,a_unified,Cat.✗,75.50535077288941,52.4822695035461,53.89408099688473,46.875,39.237668161434975,59.21450151057402
ZScore-Raw,b_category,Cat.✓,75.6242568370987,52.4822695035461,65.73208722741433,41.666666666666664,86.99551569506727,71.6515609264854
ZScore-RawERK,a_unified,Cat.✗,77.05112960761,55.673758865248224,55.45171339563863,40.625,39.91031390134529,60.42296072507553
ZScore-RawERK,b_category,Cat.✓,77.28894173602853,56.02836879432624,67.601246105919,45.833333333333336,85.87443946188341,73.1117824773414
