query_id,category,setting,old_prompt_sha256,new_prompt_sha256,prompt_identical,action,old_ranking_sha256,new_ranking_sha256
conv-26_qa_0,2,b_category,94f3549840673da16e52bfec7351c21144beae83aaf2f03ae6f5dd368c313ec4,1de35a1ec14498ccdb8655dac8fffe5b7a8f7571296fd40c974c9cb44e8b17b5,0,regenerate,c4901332a515f3dbac0f7f4eb6caaa6f03ef197929ae5ab702374cef590d490b,f6aa60a13606071a74b6bd0fdd3fee93884981a440183106f9357d03b8789a90
conv-26_qa_1,2,b_category,ceae0ee18497a00ad185b0a10c33a5872999c7067559ce1e9e216fc69c5ff855,432e1f5bbc040c49d2ddff3c6c7a27e4ed9171d32910ae383be0db8a6b3c298b,0,regenerate,4ea791c4f935c04f563fe5b79c70e890827cec43ec7d7485413d9f969fe03fde,9ba5de8769ffb34ad87cf1cf1558c2865810a69f0cf2b48271a7e61311bc41a7
conv-26_qa_10,2,b_category,2a365c444b63cdfefe9fd3ca019511efdfb646410691aa15f1cd1f1d5684a1dc,2f76c524bde1631290cdc7a4c7cd2abd10f017c738e24b678ad027c08fd0124b,0,regenerate,e6cfae50bf67272386573543efc877100b247c798ae27f990ca74c72563c364c,d4ed888e3b5cfdba2c29b83d5d1696de50c453497a35f472277300fb7eca0afd
conv-26_qa_100,4,b_category,36e4aef6b41a33d9655742d7be2f80118e75b43f30aca9e15f6065fd5cd739a9,84cdcdd4d564f908e5ed99ea3c26774f2cf47f3f8d70d3bfcbe1af2dc18baeb4,0,regenerate,dba1dda800f5d1f7534f5a16c7fb56c8188104b3d92f8931ad493d1d06e59724,3d948730be297325757cf5c534c881778ae94117e7d9eec04deb744d06ace4a4
conv-26_qa_101,4,b_category,78b7bab519857ca7b426eabba429c9c3b0ed3c374b4419b1d426d1e0b7c8a5cf,d75d11518a9978f3d97a9f0115c6f0a97dcf7e7c3f545c84cdb35f0ba63c9677,0,regenerate,f81f0f9c4a03a784ba81936e758a50bc5a9858caf41bdc4bbe9dbede3b3b5e36,84ead5d41e869a21ef6321cd69d37e20c416b71ccf598a4225603e4f09b5ad8e
conv-26_qa_102,4,b_category,efe52fc721713b2f73a993f705ba2de5c62a90e36ea66ae8ea7083c32c6d5378,e60be1c0481369dcdeb03b5496dd0d9a41900ccd5f24911b93f5a098efb63e3d,0,regenerate,02af9bd104189a3c456a5e7a747d86191ce6b49413ceecfc6395ece823b7639a,9c2f701d308fd424b267edde73066f22154b58027569e46d649370643165219d
conv-26_qa_103,4,b_category,f36489ca1e2cd15babd8d52f3e3eb507d435d7268ed14865be4fcc245c1676eb,8aedcc67dcb8cc2848b5ff9a0d294c1cefc614899352798cc032f7c86386274c,0,regenerate,2ad680d0ae5f982d499ceed59e9afeabc206b70131e363832b9712af5ab3afc2,246433e4ac41f21d3cf95f64885d47b37b792f3ca0bd95fcc6d9f588edfef4df
conv-26_qa_104,4,b_category,7f1fd43d9ece19e8dd2c240141b02c00d66481d5f8ddd3db37dd63dcc70e6213,5d4a16c3f05980612b9fe457ac877c116b013d9ff262bfa73952a9acefe0a9e1,0,regenerate,2fcfbfefad00b9eab5285fd27a2e6f575801ef90b3d7fcb3244dfe1700ec3a16,50e20eb35fc6df606c93957636c7712ddcc29ba9630103613ef2fcce96025f2a
conv-26_qa_105,4,b_category,81163d68e5c2457900b68dc17000d771e9544d206cc21534d64da4808f7a271d,51abd524632fe9d948ee6f29418874e34a5a0e3c46a65d743c46892878b7aa97,0,regenerate,3d6e00d3dedbe73129f2a7865d5c9a17b242a60ef32c7e3ac551297b13ccc3fd,375494c4618d9b7a823e953c407fae9b646f90a9be1b5b2a54428f4cb66a0fdb
conv-26_qa_106,4,b_category,f93ebab65f77e627552f78fa62e94c033d8b25ebc9c930d2f56fe3e6e772ac1f,1db8f3c7780a4768f34fd89fcf7d0e23f95146b7003ddf56fed6f62b1886213b,0,regenerate,de1ecf426daf40c6a8d4041594430efe4f93345a1a32ade914e69fd06a57394b,6c31400b9e147195a90d9bc5f09168df6413e5e6f3efc8ad3d3caa21884406a9
conv-26_qa_107,4,b_category,b4427cca7dd427d45a7744fac5810a0a5a26b235c339ffae077b15ed24e7dae4,cac8f7aeacda7e4e5b8725e0e5582d98b8aa37e5cedbcc9368057858722e025b,0,regenerate,6b6b00b03cd402f0256ddaad6c997431f3318b2f3dd9d17216a7486fa55ae672,de7531201c3c6305819559a238ad1dab592d9ce236abd819c93bf5172911166e
conv-26_qa_108,4,b_category,be2082cad05a3a255d690c7a8c31c1763cb1dc115a0a3591af2e5758fbe15268,4f155deaece9330a4be2e0c6cad9d454d4ea0fb342028923fad951932888b152,0,regenerate,126645efbc952c1f5b20df02de388eea614c777e4964ee32a22b1c59f4d02888,914fe96c09391005292f45f3620fcb4027803bbfeea70a004c9854b50a10b242
conv-26_qa_109,4,b_category,31e8561aef19270eb520017d9792e83333245c06d2c5b6685bcba52a3f70ff50,7a0859011d26401300eb5b861b033b4faf6b1aab6bd19f933143c1067cf3c5e4,0,regenerate,9a7b2c3a724cd7ea40192f9ef7c739d6fc6d47824d3a2013377389bb287ab2be,15244d6a9cade8be686ba2aa6b54b6fae038f980c6b0fb784ad7f725390fa358
conv-26_qa_11,1,b_category,93f724dd0414324c664e0554cce62419b648464b0d98541ca8a166f471565ea3,09d82b5c7899b5e251137bc9e04069653b957a7b0048234d9eda63bc0c8822e7,0,regenerate,b613ea069cfa3748a7eec436e7e49ef1bb0a6af8632d593270d6bfadc9cd5bcf,4c635bd6221f420901dae001ea3cc5ee04c41e5fe6a13cb5e152dd282d6d8a79
