method,setting,setting_label,category,n,f1,bleu1
BM25,a_unified,Cat.x,1,282,0.1959389298843778,0.1311357913576899
BM25,a_unified,Cat.x,2,321,0.2617979964050178,0.2045233317480654
BM25,a_unified,Cat.x,3,96,0.17614079033953145,0.12494986114866202
BM25,a_unified,Cat.x,4,841,0.45716482132681313,0.375163630809095
BM25,a_unified,Cat.x,5,446,0.09417040358744394,0.108084987319108
Dense-bge,a_unified,Cat.x,1,282,0.33276232430399355,0.2468053543060589
Dense-bge,a_unified,Cat.x,2,321,0.31244446104259227,0.24520824297197413
Dense-bge,a_unified,Cat.x,3,96,0.1941153898185148,0.10850541809565316
Dense-bge,a_unified,Cat.x,4,841,0.5632226282369132,0.4639070180964981
Dense-bge,a_unified,Cat.x,5,446,0.07847533632286996,0.09881950985574435
Dense+GlobalKG,a_unified,Cat.x,1,282,0.3641278723039642,0.2760752469365714
Dense+GlobalKG,a_unified,Cat.x,2,321,0.30723181283928974,0.23060486696454702
Dense+GlobalKG,a_unified,Cat.x,3,96,0.21516535984652685,0.14350060626247074
Dense+GlobalKG,a_unified,Cat.x,4,841,0.5804874591045212,0.47565955002113075
Dense+GlobalKG,a_unified,Cat.x,5,446,0.08744394618834081,0.09563454154724292
RRF_compact,a_unified,Cat.x,1,282,0.3547437095028829,0.27299675348493974
RRF_compact,a_unified,Cat.x,2,321,0.28895963849234896,0.20672384559975115
RRF_compact,a_unified,Cat.x,3,96,0.21345661399778412,0.13348991970167753
RRF_compact,a_unified,Cat.x,4,841,0.6033449597560447,0.5000864099300067
RRF_compact,a_unified,Cat.x,5,446,0.10089686098654709,0.11006591786875222
ZScore-Raw,a_unified,Cat.x,1,282,0.35850987369312776,0.2669456909802404
ZScore-Raw,a_unified,Cat.x,2,321,0.30411072140044126,0.22618061247125748
ZScore-Raw,a_unified,Cat.x,3,96,0.24396051163175783,0.14974508205400489
ZScore-Raw,a_unified,Cat.x,4,841,0.5875220875416878,0.4783008483753758
ZScore-Raw,a_unified,Cat.x,5,446,0.07847533632286996,0.10312535557268848
ZScore-RawERK,a_unified,Cat.x,1,282,0.3701607269496112,0.27491806308934674
ZScore-RawERK,a_unified,Cat.x,2,321,0.30567836364688344,0.22840522436382182
ZScore-RawERK,a_unified,Cat.x,3,96,0.23505910462831692,0.14583890474476294
ZScore-RawERK,a_unified,Cat.x,4,841,0.6008726766321199,0.4889195997996808
ZScore-RawERK,a_unified,Cat.x,5,446,0.08071748878923767,0.10069184087913063
BM25,b_category,Cat.v,1,282,0.20239286900652997,0.1343483458276261
BM25,b_category,Cat.v,2,321,0.3653496901160458,0.30153634590531686
BM25,b_category,Cat.v,3,96,0.1991022962500344,0.12464053328180473
BM25,b_category,Cat.v,4,841,0.45727187822934817,0.3717503944710171
BM25,b_category,Cat.v,5,446,0.8789237668161435,0.8802698122377316
Dense-bge,b_category,Cat.v,1,282,0.33269414847811324,0.2557070584959373
Dense-bge,b_category,Cat.v,2,321,0.43888907907599545,0.3511337153900091
Dense-bge,b_category,Cat.v,3,96,0.209703587960915,0.1320660560229354
Dense-bge,b_category,Cat.v,4,841,0.5637635777811338,0.46603989220977926
Dense-bge,b_category,Cat.v,5,446,0.8721973094170403,0.8750615893333858
Dense+GlobalKG,b_category,Cat.v,1,282,0.37170822784853774,0.2819915438811233
Dense+GlobalKG,b_category,Cat.v,2,321,0.41469107216770823,0.3365848680560977
Dense+GlobalKG,b_category,Cat.v,3,96,0.24112621872141993,0.15219511585781317
Dense+GlobalKG,b_category,Cat.v,4,841,0.5723755555440272,0.4703582185628344
Dense+GlobalKG,b_category,Cat.v,5,446,0.8789237668161435,0.8804901522026181
RRF_compact,b_category,Cat.v,1,282,0.34976145012983045,0.2603887871992451
RRF_compact,b_category,Cat.v,2,321,0.43629386526293484,0.3455152936225218
RRF_compact,b_category,Cat.v,3,96,0.22421102720581887,0.14749622814188176
RRF_compact,b_category,Cat.v,4,841,0.6030076257423317,0.4987066720116254
RRF_compact,b_category,Cat.v,5,446,0.8677130044843049,0.8706401398470657
ZScore-Raw,b_category,Cat.v,1,282,0.3422596228978362,0.25515424338516124
ZScore-Raw,b_category,Cat.v,2,321,0.4298748806308852,0.343912321403315
ZScore-Raw,b_category,Cat.v,3,96,0.2003817363192363,0.12654195144826447
ZScore-Raw,b_category,Cat.v,4,841,0.5851384880245498,0.4724344548165471
ZScore-Raw,b_category,Cat.v,5,446,0.8699551569506726,0.8728194368670181
ZScore-RawERK,b_category,Cat.v,1,282,0.36613959986237804,0.2749179439579934
ZScore-RawERK,b_category,Cat.v,2,321,0.452592819907134,0.36172545830436614
ZScore-RawERK,b_category,Cat.v,3,96,0.2564461552300057,0.15232399290102475
ZScore-RawERK,b_category,Cat.v,4,841,0.6027590482532355,0.49828222643092934
ZScore-RawERK,b_category,Cat.v,5,446,0.8587443946188341,0.8627308976352845
