method,setting,setting_label,n,overall_f1,overall_b1,cat1_4_f1,cat1_4_b1,cat5_accuracy,cat5_bleu1,cat5_unparsed
BM25,a_unified,Cat.x,1986,0.29339227879247215,0.24085900663597226,0.3510890036895129,0.2793117421004666,0.09417040358744394,0.108084987319108,0
Dense-bge,a_unified,Cat.x,1986,0.36326231380574936,0.29856333316229233,0.4457395813105316,0.35641121965237005,0.07847533632286996,0.09881950985574435,0
Dense+GlobalKG,a_unified,Cat.x,1986,0.37721616292210275,0.306312249360912,0.4611372075086346,0.36732670240305243,0.08744394618834081,0.09563454154724292,0
RRF_compact,a_unified,Cat.x,1986,0.3855481954352848,0.3151160832488586,0.4679861793081015,0.3745007415342659,0.10089686098654709,0.11006591786875222,0
ZScore-Raw,a_unified,Cat.x,1986,0.37827070024683285,0.3074033793585077,0.46509455239624026,0.3665644174159591,0.07847533632286996,0.10312535557268848,0
ZScore-RawERK,a_unified,Cat.x,1986,0.3859051736265708,0.31265631930065657,0.47429069793660383,0.37404343447987765,0.08071748878923767,0.10069184087913063,0
BM25,b_category,Cat.v,1986,0.48843479839777165,0.42894627883293274,0.3753451361155692,0.2982382944832312,0.8789237668161435,0.8802698122377316,0
Dense-bge,b_category,Cat.v,1986,0.5629203714060423,0.49331252402082754,0.4733505568911702,0.38275402848225554,0.8721973094170403,0.8750615893333858,0
Dense+GlobalKG,b_category,Cat.v,1986,0.5712253341535262,0.4987139772590864,0.4821126711875995,0.38814763048972617,0.8789237668161435,0.8804901522026181,0
RRF_compact,b_category,Cat.v,1986,0.5812370249481726,0.5066553366959745,0.49827060490069547,0.40124155604312617,0.8677130044843049,0.8706401398470657,0
ZScore-Raw,b_category,Cat.v,1986,0.570919015838366,0.4940041412323863,0.484315042503244,0.38429529587326594,0.8699551569506726,0.8728194368670181,0
ZScore-RawERK,b_category,Cat.v,1986,0.5856358775601357,0.5096158954703437,0.5065408135288508,0.4073501221160817,0.8587443946188341,0.8627308976352845,0
