variant,category,n,R@1,R@5,R@10,MRR
Raw,cat1_multi-hop,282,0.10638297872340426,0.2978723404255319,0.41843971631205673,0.1921746594618935
Raw,cat2_temporal,321,0.32087227414330216,0.5358255451713395,0.616822429906542,0.4205483855016565
Raw,cat3_open-domain,96,0.08333333333333333,0.2708333333333333,0.3125,0.1652323082010582
Raw,cat4_single-hop,841,0.3032104637336504,0.5184304399524375,0.5933412604042806,0.39680369175018404
RawE,cat1_multi-hop,282,0.12056737588652482,0.35815602836879434,0.45390070921985815,0.22063632781717887
RawE,cat2_temporal,321,0.43613707165109034,0.6230529595015576,0.6884735202492211,0.5212011076497057
RawE,cat3_open-domain,96,0.11458333333333333,0.28125,0.3541666666666667,0.19791253306878306
RawE,cat4_single-hop,841,0.3376932223543401,0.5862068965517241,0.6504161712247325,0.44162891870977483
RawR,cat1_multi-hop,282,0.11347517730496454,0.3120567375886525,0.4326241134751773,0.20324777665203198
RawR,cat2_temporal,321,0.3862928348909657,0.5825545171339563,0.6573208722741433,0.47862582208376603
RawR,cat3_open-domain,96,0.08333333333333333,0.2708333333333333,0.3333333333333333,0.17096147486772487
RawR,cat4_single-hop,841,0.32936979785969084,0.5564803804994055,0.6266349583828775,0.42611498027669253
RawK,cat1_multi-hop,282,0.14184397163120568,0.35815602836879434,0.4645390070921986,0.23712006079027356
RawK,cat2_temporal,321,0.3925233644859813,0.6355140186915887,0.6635514018691588,0.49433442120358007
RawK,cat3_open-domain,96,0.13541666666666666,0.3125,0.3645833333333333,0.2185598544973545
RawK,cat4_single-hop,841,0.34839476813317477,0.5921521997621879,0.6516052318668252,0.4496229922805428
RawER,cat1_multi-hop,282,0.13120567375886524,0.36524822695035464,0.4787234042553192,0.23554120229652145
RawER,cat2_temporal,321,0.470404984423676,0.6510903426791277,0.6915887850467289,0.552415566434258
RawER,cat3_open-domain,96,0.125,0.28125,0.3541666666666667,0.20386078042328043
RawER,cat4_single-hop,841,0.34958382877526756,0.6064209274673008,0.6694411414982164,0.45671772077836287
RawEK,cat1_multi-hop,282,0.16312056737588654,0.3617021276595745,0.46099290780141844,0.25166891815827985
RawEK,cat2_temporal,321,0.43302180685358255,0.660436137071651,0.7102803738317757,0.5355226722049152
RawEK,cat3_open-domain,96,0.14583333333333334,0.3020833333333333,0.3541666666666667,0.22182539682539681
RawEK,cat4_single-hop,841,0.361474435196195,0.5992865636147443,0.6718192627824019,0.4646226148009739
RawRK,cat1_multi-hop,282,0.1453900709219858,0.375886524822695,0.4787234042553192,0.24429246876055385
RawRK,cat2_temporal,321,0.42679127725856697,0.6510903426791277,0.6884735202492211,0.5280831231765811
RawRK,cat3_open-domain,96,0.14583333333333334,0.3020833333333333,0.3645833333333333,0.2219039351851852
RawRK,cat4_single-hop,841,0.3638525564803805,0.6064209274673008,0.6658739595719382,0.464846271445558
RawERK,cat1_multi-hop,282,0.15602836879432624,0.38652482269503546,0.4787234042553192,0.2556793875942812
RawERK,cat2_temporal,321,0.4672897196261682,0.6728971962616822,0.719626168224299,0.5633622607921673
RawERK,cat3_open-domain,96,0.14583333333333334,0.3020833333333333,0.3645833333333333,0.22278439153439153
RawERK,cat4_single-hop,841,0.3733650416171225,0.6147443519619501,0.6837098692033293,0.47705867919898837
RawERKT,cat1_multi-hop,282,0.18439716312056736,0.3971631205673759,0.4787234042553192,0.27791146009231116
RawERKT,cat2_temporal,321,0.4953271028037383,0.6978193146417445,0.7320872274143302,0.5834903327893982
RawERKT,cat3_open-domain,96,0.16666666666666666,0.3020833333333333,0.375,0.2371073082010582
RawERKT,cat4_single-hop,841,0.40665873959571935,0.6444708680142688,0.7098692033293698,0.5066540211011079
