variant,category,n,R@1,R@5,R@10,MRR
Raw,cat1_multi-hop,224,0.09821428571428571,0.27232142857142855,0.38839285714285715,0.17469883786848073
Raw,cat2_temporal,239,0.3138075313807531,0.5397489539748954,0.6317991631799164,0.41898120475526335
Raw,cat3_open-domain,75,0.08,0.28,0.32,0.16816402116402115
Raw,cat4_single-hop,612,0.29901960784313725,0.5228758169934641,0.6029411764705882,0.3981377736279697
RawE,cat1_multi-hop,224,0.12946428571428573,0.3392857142857143,0.4375,0.219515306122449
RawE,cat2_temporal,239,0.4309623430962343,0.6192468619246861,0.6903765690376569,0.5201368134422528
RawE,cat3_open-domain,75,0.12,0.28,0.3333333333333333,0.19894179894179895
RawE,cat4_single-hop,612,0.3382352941176471,0.5980392156862745,0.6584967320261438,0.44692589998962545
RawR,cat1_multi-hop,224,0.10714285714285714,0.29464285714285715,0.4017857142857143,0.18864441609977325
RawR,cat2_temporal,239,0.37656903765690375,0.5899581589958159,0.6610878661087866,0.4750680746496646
RawR,cat3_open-domain,75,0.08,0.26666666666666666,0.3333333333333333,0.16883068783068783
RawR,cat4_single-hop,612,0.32679738562091504,0.5637254901960784,0.6372549019607843,0.4291089583981741
RawK,cat1_multi-hop,224,0.13839285714285715,0.33035714285714285,0.45535714285714285,0.22700361394557822
RawK,cat2_temporal,239,0.39330543933054396,0.6485355648535565,0.6820083682008368,0.5028857010028558
RawK,cat3_open-domain,75,0.10666666666666667,0.29333333333333333,0.36,0.1970899470899471
RawK,cat4_single-hop,612,0.34967320261437906,0.6013071895424836,0.6552287581699346,0.4548747276688453
RawER,cat1_multi-hop,224,0.14285714285714285,0.35714285714285715,0.45982142857142855,0.2381501558956916
RawER,cat2_temporal,239,0.4602510460251046,0.6443514644351465,0.6903765690376569,0.5453294148900844
RawER,cat3_open-domain,75,0.12,0.28,0.3333333333333333,0.20003703703703704
RawER,cat4_single-hop,612,0.34967320261437906,0.6160130718954249,0.6764705882352942,0.4603356157277726
RawEK,cat1_multi-hop,224,0.16071428571428573,0.34375,0.45089285714285715,0.2451955782312925
RawEK,cat2_temporal,239,0.4225941422594142,0.6610878661087866,0.7196652719665272,0.5317310885302517
RawEK,cat3_open-domain,75,0.12,0.28,0.3333333333333333,0.20038095238095238
RawEK,cat4_single-hop,612,0.3660130718954248,0.6062091503267973,0.673202614379085,0.4715705726735138
RawRK,cat1_multi-hop,224,0.14285714285714285,0.35267857142857145,0.46875,0.2364795918367347
RawRK,cat2_temporal,239,0.4351464435146444,0.6569037656903766,0.694560669456067,0.5358006242943482
RawRK,cat3_open-domain,75,0.10666666666666667,0.28,0.36,0.1947037037037037
RawRK,cat4_single-hop,612,0.3627450980392157,0.6176470588235294,0.6715686274509803,0.4690223311546841
RawERK,cat1_multi-hop,224,0.16071428571428573,0.375,0.46875,0.2557876275510204
RawERK,cat2_temporal,239,0.4476987447698745,0.6694560669456067,0.7280334728033473,0.5539300657501495
RawERK,cat3_open-domain,75,0.12,0.28,0.3466666666666667,0.2016084656084656
RawERK,cat4_single-hop,612,0.3758169934640523,0.6225490196078431,0.6879084967320261,0.48288139329805996
RawERKT,cat1_multi-hop,224,0.1875,0.38839285714285715,0.47767857142857145,0.27714002267573695
RawERKT,cat2_temporal,239,0.4769874476987448,0.6903765690376569,0.7364016736401674,0.5729444776515906
RawERKT,cat3_open-domain,75,0.13333333333333333,0.28,0.36,0.21327513227513228
RawERKT,cat4_single-hop,612,0.4166666666666667,0.6486928104575164,0.7107843137254902,0.5144990403568835
