comparison,left,right,metric,point_estimate,ci95_lower,ci95_upper,ci_crosses_zero,bootstrap_p_value,cluster_count,bootstrap_repetitions,seed,holm_adjusted_p_value
RawERK_minus_Raw,RawERK,Raw,MRR,0.03889475500345066,0.02912182763877679,0.049416916608461044,0,0.00019998000199980003,8,10000,20260723,0.001999800019998
RawERK_minus_Raw,RawERK,Raw,R@10,0.025217391304347827,0.013488395574541208,0.03797596370488712,0,0.00019998000199980003,8,10000,20260723,0.001999800019998
RawERK_minus_RawRK,RawERK,RawRK,MRR,0.007748447204968944,0.003714900892071669,0.012091182570217088,0,0.00019998000199980003,8,10000,20260723,0.001999800019998
RawERK_minus_RawRK,RawERK,RawRK,R@10,0.00608695652173913,-0.0016652789342214821,0.013145560479441062,1,0.1491850814918508,8,10000,20260723,0.21237876212378762
RawERK_minus_RawEK,RawERK,RawEK,MRR,0.007633885438233264,0.004255325444453456,0.011683732214820297,0,0.00019998000199980003,8,10000,20260723,0.001999800019998
RawERK_minus_RawEK,RawERK,RawEK,R@10,0.00782608695652174,0.004306632213608958,0.011155378486055778,0,0.00019998000199980003,8,10000,20260723,0.001999800019998
RawERK_minus_RawER,RawERK,RawER,MRR,0.0036770186335403723,-0.0007628484919979558,0.007988544808348555,1,0.10618938106189381,8,10000,20260723,0.21237876212378762
RawERK_minus_RawER,RawERK,RawER,R@10,0.0052173913043478265,0.0,0.009883198562443846,1,0.050594940505949405,8,10000,20260723,0.15178482151784822
RawERKT_minus_RawERK,RawERKT,RawERK,MRR,0.012539337474120083,0.009042978740389373,0.015848421908331748,0,0.00019998000199980003,8,10000,20260723,0.001999800019998
RawERKT_minus_RawERK,RawERKT,RawERK,R@10,0.00782608695652174,0.002565809158021364,0.012552301255230125,0,0.012998700129987,8,10000,20260723,0.051994800519948
