query_id,ranking_mismatch,score_mismatch,first_mismatch_rank,official_memory_id,rebuilt_memory_id,max_abs_score_diff_for_same_ranked_ids
conv-26_qa_0,0,1,,conv-26_session_1_D1:3,conv-26_session_1_D1:3,0.048204015250226995
conv-26_qa_1,0,1,,conv-26_session_1_D1:14,conv-26_session_1_D1:14,0.041300478051565115
conv-26_qa_2,0,1,,conv-26_session_1_D1:9,conv-26_session_1_D1:9,0.025805332130458325
conv-26_qa_3,0,1,,conv-26_session_10_D10:15,conv-26_session_10_D10:15,0.023338109272964758
conv-26_qa_4,0,1,,conv-26_session_11_D11:12,conv-26_session_11_D11:12,0.0362241378603545
conv-26_qa_5,0,1,,conv-26_session_2_D2:1,conv-26_session_2_D2:1,0.042313647977988644
conv-26_qa_6,0,1,,conv-26_session_2_D2:7,conv-26_session_2_D2:7,0.02910200753080394
conv-26_qa_7,0,1,,conv-26_session_9_D9:7,conv-26_session_9_D9:7,0.024161327776402786
conv-26_qa_8,0,1,,conv-26_session_3_D3:1,conv-26_session_3_D3:1,0.02514587956634662
conv-26_qa_9,0,1,,conv-26_session_3_D3:11,conv-26_session_3_D3:11,0.03748491025274614
conv-26_qa_10,0,1,,conv-26_session_3_D3:13,conv-26_session_3_D3:13,0.017659476626985526
conv-26_qa_11,0,1,,conv-26_session_8_D8:29,conv-26_session_8_D8:29,0.02620330510389879
conv-26_qa_12,0,1,,conv-26_session_4_D4:5,conv-26_session_4_D4:5,0.03893187462141068
conv-26_qa_13,0,1,,conv-26_session_1_D1:9,conv-26_session_1_D1:9,0.03567949307136686
conv-26_qa_14,0,1,,conv-26_session_4_D4:11,conv-26_session_4_D4:11,0.030727866974777474
conv-26_qa_15,0,1,,conv-26_session_2_D2:5,conv-26_session_2_D2:5,0.017877019055757337
conv-26_qa_16,0,1,,conv-26_session_5_D5:4,conv-26_session_5_D5:4,0.035170166205050535
conv-26_qa_17,0,1,,conv-26_session_5_D5:13,conv-26_session_5_D5:13,0.04601831064922024
conv-26_qa_18,0,1,,conv-26_session_10_D10:12,conv-26_session_10_D10:12,0.009600804690328979
conv-26_qa_19,0,1,,conv-26_session_15_D15:2,conv-26_session_15_D15:2,0.017443107338621644
conv-26_qa_20,0,1,,conv-26_session_6_D6:4,conv-26_session_6_D6:4,0.04353033007365781
conv-26_qa_21,0,1,,conv-26_session_8_D8:14,conv-26_session_8_D8:14,0.015095112532434785
conv-26_qa_22,0,1,,conv-26_session_6_D6:9,conv-26_session_6_D6:9,0.04166227682086543
conv-26_qa_23,0,1,,conv-26_session_7_D7:10,conv-26_session_7_D7:10,0.03470332755157157
conv-26_qa_24,0,1,,conv-26_session_7_D7:20,conv-26_session_7_D7:20,0.01940990273964993
conv-26_qa_25,0,1,,conv-26_session_7_D7:1,conv-26_session_7_D7:1,0.027599428907965518
conv-26_qa_26,0,1,,conv-26_session_7_D7:8,conv-26_session_7_D7:8,0.0370702474325153
conv-26_qa_27,0,1,,conv-26_session_4_D4:11,conv-26_session_4_D4:11,0.036194000013844096
conv-26_qa_28,0,1,,conv-26_session_8_D8:9,conv-26_session_8_D8:9,0.02736304952344959
conv-26_qa_29,0,1,,conv-26_session_8_D8:2,conv-26_session_8_D8:2,0.03407739330737414
conv-26_qa_30,0,1,,conv-26_session_10_D10:5,conv-26_session_10_D10:5,0.018217533605695335
conv-26_qa_31,0,1,,conv-26_session_10_D10:12,conv-26_session_10_D10:12,0.023200576470437717
conv-26_qa_32,0,1,,conv-26_session_5_D5:1,conv-26_session_5_D5:1,0.01713745531230959
conv-26_qa_33,0,1,,conv-26_session_5_D5:1,conv-26_session_5_D5:1,0.02753801446363857
conv-26_qa_34,0,1,,conv-26_session_10_D10:6,conv-26_session_10_D10:6,0.021598394928288744
conv-26_qa_35,0,1,,conv-26_session_10_D10:12,conv-26_session_10_D10:12,0.023544533211941054
conv-26_qa_36,0,1,,conv-26_session_9_D9:2,conv-26_session_9_D9:2,0.04818399937083484
conv-26_qa_37,0,1,,conv-26_session_14_D14:30,conv-26_session_14_D14:30,0.030506248192438523
conv-26_qa_38,0,1,,conv-26_session_3_D3:20,conv-26_session_3_D3:20,0.019978104110880635
conv-26_qa_39,0,1,,conv-26_session_16_D16:5,conv-26_session_16_D16:5,0.021130926458893917
conv-26_qa_40,0,1,,conv-26_session_10_D10:10,conv-26_session_10_D10:10,0.04006492206376944
conv-26_qa_41,0,1,,conv-26_session_10_D10:3,conv-26_session_10_D10:3,0.03743055729091127
conv-26_qa_42,0,1,,conv-26_session_15_D15:2,conv-26_session_15_D15:2,0.02749526315954176
conv-26_qa_43,0,1,,conv-26_session_12_D12:6,conv-26_session_12_D12:6,0.014842142818290993
conv-26_qa_44,0,1,,conv-26_session_11_D11:1,conv-26_session_11_D11:1,0.06250317131154315
conv-26_qa_45,0,1,,conv-26_session_5_D5:1,conv-26_session_5_D5:1,0.029038010819781412
conv-26_qa_46,0,1,,conv-26_session_14_D14:12,conv-26_session_14_D14:12,0.03533832809718618
conv-26_qa_47,0,1,,conv-26_session_19_D19:7,conv-26_session_19_D19:7,0.011829473359552534
conv-26_qa_48,0,1,,conv-26_session_8_D8:2,conv-26_session_8_D8:2,0.026944445301934294
conv-26_qa_49,0,1,,conv-26_session_12_D12:15,conv-26_session_12_D12:15,0.018320754130123573
conv-26_qa_50,0,1,,conv-26_session_12_D12:20,conv-26_session_12_D12:20,0.019051250031575595
conv-26_qa_51,0,1,,conv-26_session_1_D1:14,conv-26_session_1_D1:14,0.018579482523419122
conv-26_qa_52,0,1,,conv-26_session_7_D7:17,conv-26_session_7_D7:17,0.040151519609762154
conv-26_qa_53,0,1,,conv-26_session_2_D2:8,conv-26_session_2_D2:8,0.03436072950624469
conv-26_qa_54,0,1,,conv-26_session_13_D13:11,conv-26_session_13_D13:11,0.04991791309423199
conv-26_qa_55,0,1,,conv-26_session_9_D9:16,conv-26_session_9_D9:16,0.02130923397037643
conv-26_qa_56,0,1,,conv-26_session_4_D4:3,conv-26_session_4_D4:3,0.01799022575594922
conv-26_qa_57,0,1,,conv-26_session_12_D12:1,conv-26_session_12_D12:1,0.029619785054690873
conv-26_qa_58,0,1,,conv-26_session_14_D14:4,conv-26_session_14_D14:4,0.02970024383652703
conv-26_qa_59,0,1,,conv-26_session_12_D12:1,conv-26_session_12_D12:1,0.0215895804361228
conv-26_qa_60,0,1,,conv-26_session_15_D15:25,conv-26_session_15_D15:25,0.033651806997156086
conv-26_qa_61,0,1,,conv-26_session_14_D14:35,conv-26_session_14_D14:35,0.025080546895500877
conv-26_qa_62,0,1,,conv-26_session_15_D15:2,conv-26_session_15_D15:2,0.03868124479809465
conv-26_qa_63,0,1,,conv-26_session_15_D15:11,conv-26_session_15_D15:11,0.049430207450858354
conv-26_qa_64,0,1,,conv-26_session_15_D15:28,conv-26_session_15_D15:28,0.023741619785611068
conv-26_qa_65,0,1,,conv-26_session_8_D8:25,conv-26_session_8_D8:25,0.027819476106018204
conv-26_qa_66,0,1,,conv-26_session_10_D10:12,conv-26_session_10_D10:12,0.016646028767968613
conv-26_qa_67,0,1,,conv-26_session_16_D16:1,conv-26_session_16_D16:1,0.023806938425838364
conv-26_qa_68,0,1,,conv-26_session_16_D16:6,conv-26_session_16_D16:6,0.026866640391746355
conv-26_qa_69,0,1,,conv-26_session_10_D10:1,conv-26_session_10_D10:1,0.028918904746123353
conv-26_qa_70,0,1,,conv-26_session_17_D17:19,conv-26_session_17_D17:19,0.021339945960139772
conv-26_qa_71,0,1,,conv-26_session_7_D7:8,conv-26_session_7_D7:8,0.024332849606358398
conv-26_qa_72,0,1,,conv-26_session_17_D17:3,conv-26_session_17_D17:3,0.022632123856818787
conv-26_qa_73,0,1,,conv-26_session_18_D18:3,conv-26_session_18_D18:3,0.011924418458208574
conv-26_qa_74,0,1,,conv-26_session_18_D18:1,conv-26_session_18_D18:1,0.02679876049632357
conv-26_qa_75,0,1,,conv-26_session_3_D3:14,conv-26_session_3_D3:14,0.01739811803681235
