variant,category,n,R@1,R@5,R@10,MRR
Raw,cat1_multi-hop,282,0.2801418439716312,0.6205673758865248,0.7375886524822695,0.42283153214004277
Raw,cat2_temporal,321,0.4735202492211838,0.7165109034267912,0.7819314641744548,0.5796147950353557
Raw,cat3_open-domain,96,0.20833333333333334,0.3958333333333333,0.4895833333333333,0.28198578042328043
Raw,cat4_single-hop,841,0.3912009512485137,0.7158145065398336,0.8026159334126041,0.5270308400807806
RawE,cat1_multi-hop,282,0.2907801418439716,0.624113475177305,0.7588652482269503,0.43509231115614094
RawE,cat2_temporal,321,0.5389408099688473,0.7445482866043613,0.7850467289719626,0.6228044800474707
RawE,cat3_open-domain,96,0.20833333333333334,0.3958333333333333,0.4895833333333333,0.29031911375661373
RawE,cat4_single-hop,841,0.4173602853745541,0.7407847800237812,0.8240190249702735,0.551231055244135
RawR,cat1_multi-hop,282,0.28368794326241137,0.6170212765957447,0.74822695035461,0.4271740965889902
RawR,cat2_temporal,321,0.4984423676012461,0.7227414330218068,0.7850467289719626,0.5982989665232656
RawR,cat3_open-domain,96,0.21875,0.4166666666666667,0.5,0.29327050264550264
RawR,cat4_single-hop,841,0.4042806183115339,0.7324613555291319,0.8180737217598097,0.5413226884094898
RawK,cat1_multi-hop,282,0.28368794326241137,0.6382978723404256,0.75177304964539,0.4346265338286615
RawK,cat2_temporal,321,0.514018691588785,0.7289719626168224,0.7881619937694704,0.60807620036592
RawK,cat3_open-domain,96,0.19791666666666666,0.40625,0.4895833333333333,0.28468915343915346
RawK,cat4_single-hop,841,0.4292508917954816,0.7288941736028538,0.8156956004756243,0.5556286922220335
RawER,cat1_multi-hop,282,0.30141843971631205,0.6312056737588653,0.7695035460992907,0.4472574017786784
RawER,cat2_temporal,321,0.5451713395638629,0.7507788161993769,0.7975077881619937,0.6311650101369728
RawER,cat3_open-domain,96,0.21875,0.4166666666666667,0.4895833333333333,0.29795800264550265
RawER,cat4_single-hop,841,0.4292508917954816,0.7526753864447087,0.8299643281807372,0.5645523092312629
RawEK,cat1_multi-hop,282,0.2907801418439716,0.6382978723404256,0.7624113475177305,0.4418693009118541
RawEK,cat2_temporal,321,0.5389408099688473,0.7507788161993769,0.7912772585669782,0.6243287346091084
RawEK,cat3_open-domain,96,0.20833333333333334,0.4166666666666667,0.4895833333333333,0.2924024470899471
RawEK,cat4_single-hop,841,0.4328180737217598,0.7455410225921522,0.8263971462544589,0.5610870467885926
RawRK,cat1_multi-hop,282,0.2907801418439716,0.6382978723404256,0.7553191489361702,0.4405563998649105
RawRK,cat2_temporal,321,0.5327102803738317,0.735202492211838,0.8006230529595015,0.6200798595658409
RawRK,cat3_open-domain,96,0.20833333333333334,0.3958333333333333,0.4895833333333333,0.29153439153439153
RawRK,cat4_single-hop,841,0.4351961950059453,0.7419738406658739,0.8299643281807372,0.5641304758129966
RawERK,cat1_multi-hop,282,0.30141843971631205,0.6382978723404256,0.7730496453900709,0.4507429922323539
RawERK,cat2_temporal,321,0.5451713395638629,0.7538940809968847,0.8037383177570093,0.6310784750037086
RawERK,cat3_open-domain,96,0.21875,0.3958333333333333,0.4895833333333333,0.2984664351851852
RawERK,cat4_single-hop,841,0.4399524375743163,0.751486325802616,0.8323424494649228,0.5702607440122304
RawERKT,cat1_multi-hop,282,0.3191489361702128,0.6418439716312057,0.776595744680851,0.4616669481031183
RawERKT,cat2_temporal,321,0.5545171339563862,0.7632398753894081,0.8068535825545171,0.6416036196410028
RawERKT,cat3_open-domain,96,0.21875,0.40625,0.4895833333333333,0.3011698082010582
RawERKT,cat4_single-hop,841,0.4518430439952438,0.7657550535077289,0.8489892984542212,0.5830431459147274
