variant,query_id,category,category_label,gold_count,MRR@10,Hit@1,Hit@5,Hit@10,Recall@10,nDCG@10
Raw,conv-26_qa_0,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_1,2,Temporal,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_2,3,Open-Domain,2,1.0,1.0,1.0,1.0,1.0,0.8315546295836225
Raw,conv-26_qa_3,1,Multi-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_4,1,Multi-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_5,2,Temporal,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-26_qa_6,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_7,1,Multi-Hop,2,0.25,0.0,1.0,1.0,0.5,0.2640681225725909
Raw,conv-26_qa_8,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_9,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_10,2,Temporal,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-26_qa_11,1,Multi-Hop,2,0.25,0.0,1.0,1.0,0.5,0.2640681225725909
Raw,conv-26_qa_12,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_13,1,Multi-Hop,2,0.16666666666666666,0.0,0.0,1.0,0.5,0.21840743681816419
Raw,conv-26_qa_14,3,Open-Domain,2,0.16666666666666666,0.0,0.0,1.0,0.5,0.21840743681816419
Raw,conv-26_qa_15,1,Multi-Hop,4,0.1111111111111111,0.0,0.0,1.0,0.25,0.11751610475642714
Raw,conv-26_qa_16,2,Temporal,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-26_qa_17,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_18,1,Multi-Hop,3,0.3333333333333333,0.0,1.0,1.0,0.6666666666666666,0.40179981797758046
Raw,conv-26_qa_19,1,Multi-Hop,2,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_20,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_21,2,Temporal,1,0.125,0.0,0.0,1.0,1.0,0.31546487678572877
Raw,conv-26_qa_22,3,Open-Domain,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_23,1,Multi-Hop,2,0.2,0.0,1.0,1.0,1.0,0.45560514958746035
Raw,conv-26_qa_24,1,Multi-Hop,2,0.2,0.0,1.0,1.0,0.5,0.23719771276929622
Raw,conv-26_qa_25,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_26,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_27,3,Open-Domain,2,0.14285714285714285,0.0,0.0,1.0,0.5,0.20438239758848611
Raw,conv-26_qa_28,2,Temporal,1,0.3333333333333333,0.0,1.0,1.0,1.0,0.5
Raw,conv-26_qa_29,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_31,2,Temporal,1,0.1111111111111111,0.0,0.0,1.0,1.0,0.3010299956639812
Raw,conv-26_qa_32,1,Multi-Hop,4,0.5,0.0,1.0,1.0,0.5,0.44149241373678083
