variant,scope,method,query_id,memory_id,rank,score
Raw,cat1_4_1540,ZScore,conv-26_qa_0,conv-26_session_1_D1:3,1,4.959303086942375
Raw,cat1_4_1540,ZScore,conv-26_qa_0,conv-26_session_1_D1:7,2,1.0972702119674473
Raw,cat1_4_1540,ZScore,conv-26_qa_0,conv-26_session_4_D4:13,3,0.845370712513125
Raw,cat1_4_1540,ZScore,conv-26_qa_0,conv-26_session_2_D2:12,4,0.7378290617287113
Raw,cat1_4_1540,ZScore,conv-26_qa_0,conv-26_session_5_D5:1,5,0.7174699181033056
Raw,cat1_4_1540,ZScore,conv-26_qa_0,conv-26_session_10_D10:3,6,0.6500551929903698
Raw,cat1_4_1540,ZScore,conv-26_qa_0,conv-26_session_3_D3:2,7,0.5657678005418053
Raw,cat1_4_1540,ZScore,conv-26_qa_0,conv-26_session_9_D9:11,8,0.5629085700941651
Raw,cat1_4_1540,ZScore,conv-26_qa_0,conv-26_session_9_D9:2,9,0.44365031009077094
Raw,cat1_4_1540,ZScore,conv-26_qa_0,conv-26_session_7_D7:1,10,0.4413745695438115
Raw,cat1_4_1540,ZScore,conv-26_qa_1,conv-26_session_1_D1:14,1,4.136653912121873
Raw,cat1_4_1540,ZScore,conv-26_qa_1,conv-26_session_14_D14:6,2,1.377864199485706
Raw,cat1_4_1540,ZScore,conv-26_qa_1,conv-26_session_14_D14:7,3,1.1045125047623154
Raw,cat1_4_1540,ZScore,conv-26_qa_1,conv-26_session_14_D14:3,4,0.5086935579869324
Raw,cat1_4_1540,ZScore,conv-26_qa_1,conv-26_session_17_D17:12,5,0.49078311732729757
Raw,cat1_4_1540,ZScore,conv-26_qa_1,conv-26_session_17_D17:13,6,0.460393126224186
Raw,cat1_4_1540,ZScore,conv-26_qa_1,conv-26_session_14_D14:30,7,0.3607594824203646
Raw,cat1_4_1540,ZScore,conv-26_qa_1,conv-26_session_16_D16:8,8,0.29360206668058614
Raw,cat1_4_1540,ZScore,conv-26_qa_1,conv-26_session_9_D9:15,9,0.2627084704904235
Raw,cat1_4_1540,ZScore,conv-26_qa_1,conv-26_session_1_D1:13,10,0.2455254338793384
Raw,cat1_4_1540,ZScore,conv-26_qa_2,conv-26_session_1_D1:9,1,2.5323682528787494
Raw,cat1_4_1540,ZScore,conv-26_qa_2,conv-26_session_4_D4:14,2,1.513900709931176
Raw,cat1_4_1540,ZScore,conv-26_qa_2,conv-26_session_1_D1:10,3,1.5129671122590898
Raw,cat1_4_1540,ZScore,conv-26_qa_2,conv-26_session_4_D4:11,4,1.3467662844558457
Raw,cat1_4_1540,ZScore,conv-26_qa_2,conv-26_session_13_D13:7,5,1.090177979644933
Raw,cat1_4_1540,ZScore,conv-26_qa_2,conv-26_session_1_D1:11,6,0.7819323087128688
Raw,cat1_4_1540,ZScore,conv-26_qa_2,conv-26_session_7_D7:8,7,0.7595175587987072
Raw,cat1_4_1540,ZScore,conv-26_qa_2,conv-26_session_7_D7:5,8,0.5504535080059622
Raw,cat1_4_1540,ZScore,conv-26_qa_2,conv-26_session_12_D12:20,9,0.5140675544544784
