method,split,category,category_label,n,pool_definition,avg_conversation_pool_size,avg_candidate_pool_size,candidate_reduction,candidate_hit,candidate_all_gold,candidate_recall,top10_hit,top10_recall,ranking_loss,ranking_retention
BM25,all,Overall,Overall,1536,full_rank_top100,601.6822916666666,100.0,0.8277058339562539,0.748046875,0.607421875,0.6767444004843927,0.5514322916666666,0.4969203068446609,0.17982409363973179,0.734280633114926
BM25,dev,Overall,Overall,390,full_rank_top100,654.4666666666667,100.0,0.8469627959132969,0.7256410256410256,0.5948717948717949,0.6563166463166463,0.5487179487179488,0.4891717541717541,0.1671448921448922,0.74532888494763
BM25,test,Overall,Overall,1146,full_rank_top100,583.719022687609,100.0,0.8211524175834387,0.7556719022687609,0.6116928446771379,0.6836962539969765,0.5523560209424084,0.4995572488537655,0.18413900514321102,0.730671326533222
BM25,all,4,Single-Hop,841,full_rank_top100,607.7657550535077,100.0,0.8297240242905247,0.7717003567181926,0.7455410225921522,0.7592152199762188,0.5933412604042806,0.5822433610780817,0.17697185889813705,0.7669015922735579
BM25,all,1,Multi-Hop,282,full_rank_top100,594.7269503546099,100.0,0.8259964015858557,0.7163120567375887,0.1879432624113475,0.4455423630535613,0.41843971631205673,0.2188925596820334,0.22664980337152793,0.4912946059311514
BM25,all,2,Temporal,321,full_rank_top100,588.9065420560747,100.0,0.8227208870344622,0.7850467289719626,0.7133956386292835,0.7510384215991691,0.6199376947040498,0.5916407061266874,0.15939771547248172,0.787763567231248
BM25,all,3,Open-Domain,92,full_rank_top100,611.9673913043479,100.0,0.8318898537303717,0.5,0.2608695652173913,0.37231651553902195,0.33695652173913043,0.2386799581492676,0.13363655738975436,0.6410673397169026
BM25,test,4,Single-Hop,612,full_rank_top100,589.7941176470588,100.0,0.8231575537092599,0.7810457516339869,0.7696078431372549,0.775599128540305,0.6029411764705882,0.5969498910675382,0.17864923747276684,0.7696629213483147
BM25,test,1,Multi-Hop,224,full_rank_top100,580.9776785714286,100.0,0.8209689224505199,0.7053571428571429,0.17857142857142858,0.4409053020131498,0.38839285714285715,0.20699725165185692,0.2339080503612929,0.46948233715203386
BM25,test,2,Temporal,239,full_rank_top100,566.0125523012553,100.0,0.8143100673475625,0.8075313807531381,0.7238493723849372,0.7681311018131098,0.6359832635983264,0.6028591352859136,0.16527196652719622,0.7848388561053115
BM25,test,3,Open-Domain,71,full_rank_top100,599.6056338028169,100.0,0.8274803233177298,0.5211267605633803,0.23943661971830985,0.3732833722477467,0.352112676056338,0.23533177675679745,0.13795159549094926,0.6304373413145461
Dense-bge,all,Overall,Overall,1536,full_rank_top100,601.6822916666666,100.0,0.8277058339562539,0.9505208333333334,0.87890625,0.9199982578507876,0.7337239583333334,0.6660266405351845,0.25397161731560314,0.7239433714701727
Dense-bge,dev,Overall,Overall,390,full_rank_top100,654.4666666666667,100.0,0.8469627959132969,0.941025641025641,0.8871794871794871,0.9159523809523807,0.6974358974358974,0.626992266992267,0.2889601139601138,0.6845249600643415
Dense-bge,test,Overall,Overall,1146,full_rank_top100,583.719022687609,100.0,0.8211524175834387,0.9537521815008726,0.8760907504363001,0.9213751269523397,0.7460732984293194,0.6793105896466486,0.2420645373056911,0.7372790623224492
Dense-bge,all,4,Single-Hop,841,full_rank_top100,607.7657550535077,100.0,0.8297240242905247,0.9560047562425684,0.9488703923900119,0.95243757431629,0.7479191438763377,0.7380103051922315,0.2144272691240584,0.7748647523928425
Dense-bge,all,1,Multi-Hop,282,full_rank_top100,594.7269503546099,100.0,0.8259964015858557,0.9680851063829787,0.7056737588652482,0.864628568519946,0.74822695035461,0.4721605418553908,0.39246802666455516,0.546084826532653
Dense-bge,all,2,Temporal,321,full_rank_top100,588.9065420560747,100.0,0.8227208870344622,0.940809968847352,0.9127725856697819,0.9270508826583594,0.7538940809968847,0.7315680166147456,0.19548286604361387,0.7891346961635395
Dense-bge,all,3,Open-Domain,92,full_rank_top100,611.9673913043479,100.0,0.8318898537303717,0.8804347826086957,0.6521739130434783,0.7685732000310008,0.4891304347826087,0.37356138107416886,0.39501181895683196,0.4860452863293972
Dense-bge,test,4,Single-Hop,612,full_rank_top100,589.7941176470588,100.0,0.8231575537092599,0.9591503267973857,0.9526143790849673,0.9556100217864925,0.7630718954248366,0.7587145969498912,0.19689542483660127,0.7939583927044742
Dense-bge,test,1,Multi-Hop,224,full_rank_top100,580.9776785714286,100.0,0.8209689224505199,0.96875,0.7098214285714286,0.8684694691273639,0.75,0.4864090268284347,0.3820604422989292,0.5600761386778251
Dense-bge,test,2,Temporal,239,full_rank_top100,566.0125523012553,100.0,0.8143100673475625,0.9372384937238494,0.9079497907949791,0.9243375174337517,0.7782426778242678,0.7524407252440725,0.17189679218967924,0.8140324405884571
Dense-bge,test,3,Open-Domain,71,full_rank_top100,599.6056338028169,100.0,0.8274803233177298,0.9154929577464789,0.6338028169014085,0.7832216113077755,0.4788732394366197,0.3572908036454019,0.42593080766237357,0.45618098184091166
Dense+GlobalKG,all,Overall,Overall,1536,full_rank_top100,601.6822916666666,100.0,0.8277058339562539,0.9583333333333334,0.8815104166666666,0.9264887428942372,0.7604166666666666,0.6919113936506118,0.2345773492436254,0.7468103621951903
Dense+GlobalKG,dev,Overall,Overall,390,full_rank_top100,654.4666666666667,100.0,0.8469627959132969,0.9461538461538461,0.8743589743589744,0.9148412698412696,0.7102564102564103,0.6492063492063491,0.26563492063492045,0.7096382406523815
Dense+GlobalKG,test,Overall,Overall,1146,full_rank_top100,583.719022687609,100.0,0.8211524175834387,0.962478184991274,0.8839441535776614,0.9304525426243041,0.7774869109947644,0.7064445239588689,0.22400801866543518,0.7592483136930019
Dense+GlobalKG,all,4,Single-Hop,841,full_rank_top100,607.7657550535077,100.0,0.8297240242905247,0.9583828775267539,0.9464922711058263,0.95243757431629,0.7717003567181926,0.762584225128815,0.18985334918747498,0.8006658343736998
Dense+GlobalKG,all,1,Multi-Hop,282,full_rank_top100,594.7269503546099,100.0,0.8259964015858557,0.9822695035460993,0.7056737588652482,0.8766557552811753,0.7836879432624113,0.5079488897937948,0.3687068654873805,0.5794165916710113
Dense+GlobalKG,all,2,Temporal,321,full_rank_top100,588.9065420560747,100.0,0.8227208870344622,0.956386292834891,0.9283489096573209,0.942367601246106,0.7757009345794392,0.7512980269989614,0.19106957424714455,0.7972451790633607
Dense+GlobalKG,all,3,Open-Domain,92,full_rank_top100,611.9673913043479,100.0,0.8318898537303717,0.8913043478260869,0.6630434782608695,0.7866281097419205,0.532608695652174,0.40254688832054564,0.3840812214213749,0.511737227967374
Dense+GlobalKG,test,4,Single-Hop,612,full_rank_top100,589.7941176470588,100.0,0.8231575537092599,0.9607843137254902,0.954248366013072,0.957244008714597,0.7908496732026143,0.7859477124183006,0.1712962962962964,0.8210526315789473
Dense+GlobalKG,test,1,Multi-Hop,224,full_rank_top100,580.9776785714286,100.0,0.8209689224505199,0.9866071428571429,0.7142857142857143,0.8837596476987922,0.7946428571428571,0.5218055538603001,0.3619540938384921,0.5904383111618882
Dense+GlobalKG,test,2,Temporal,239,full_rank_top100,566.0125523012553,100.0,0.8143100673475625,0.9539748953974896,0.9246861924686193,0.9407252440725243,0.799163179916318,0.7684797768479775,0.1722454672245468,0.8169014084507041
Dense+GlobalKG,test,3,Open-Domain,71,full_rank_top100,599.6056338028169,100.0,0.8274803233177298,0.9295774647887324,0.676056338028169,0.8122505083979814,0.5352112676056338,0.3948494890914112,0.4174010193065702,0.48611787251470123
RRF_compact,all,Overall,Overall,1536,fusion_input_union,601.6822916666666,55.085286458333336,0.9051379717890254,0.9361979166666666,0.841796875,0.8927848566659518,0.7864583333333334,0.7147450138141046,0.17803984285184715,0.8005792307939389
RRF_compact,dev,Overall,Overall,390,fusion_input_union,654.4666666666667,55.184615384615384,0.915546926119615,0.9205128205128205,0.841025641025641,0.8828266178266176,0.7564102564102564,0.6868355718355719,0.19599104599104578,0.7779959937393536
RRF_compact,test,Overall,Overall,1146,fusion_input_union,583.719022687609,55.05148342059337,0.9015956574880539,0.9415357766143106,0.8420593368237347,0.8961737861138925,0.7966841186736475,0.7242429914507783,0.17193079466311423,0.8081501631411656
RRF_compact,all,4,Single-Hop,841,fusion_input_union,607.7657550535077,54.92508917954816,0.9065081200189065,0.9512485136741974,0.93935790725327,0.9458977407847798,0.8180737217598097,0.8083630598493856,0.13753468093539423,0.8545987848313431
RRF_compact,all,1,Multi-Hop,282,fusion_input_union,594.7269503546099,55.48936170212766,0.9034785059360615,0.950354609929078,0.5921985815602837,0.792878028404344,0.7553191489361702,0.46387953011693217,0.3289984982874118,0.5850578695571667
RRF_compact,all,2,Temporal,321,fusion_input_union,588.9065420560747,54.84423676012461,0.9028548354583443,0.9252336448598131,0.8847352024922118,0.9047248182762202,0.8068535825545171,0.7819314641744549,0.12279335410176528,0.8642754662840747
RRF_compact,all,3,Open-Domain,92,fusion_input_union,611.9673913043479,56.15217391304348,0.9056658138690811,0.7934782608695652,0.5652173913043478,0.6718398821979384,0.5217391304347826,0.3934889173060528,0.27835096489188565,0.5856885364095169
RRF_compact,test,4,Single-Hop,612,fusion_input_union,589.7941176470588,54.88562091503268,0.9029696208271938,0.9607843137254902,0.9558823529411765,0.9580610021786493,0.8333333333333334,0.8289760348583879,0.12908496732026142,0.8652643547470154
RRF_compact,test,1,Multi-Hop,224,fusion_input_union,580.9776785714286,55.45982142857143,0.9007425614316341,0.9508928571428571,0.5848214285714286,0.7940739124597205,0.7633928571428571,0.47819116582039506,0.3158827466393254,0.6021998183256667
RRF_compact,test,2,Temporal,239,fusion_input_union,566.0125523012553,54.84100418410042,0.8982786116317778,0.9205020920502092,0.8786610878661087,0.9006276150627615,0.8158995815899581,0.7880055788005578,0.11262203626220368,0.8749516066589237
RRF_compact,test,3,Open-Domain,71,fusion_input_union,599.6056338028169,55.901408450704224,0.903609768934981,0.8169014084507042,0.5492957746478874,0.6698488614395822,0.5211267605633803,0.38311239988953333,0.2867364615500489,0.571938569942749
ZScore-Raw,all,Overall,Overall,1536,fusion_input_union,601.6822916666666,87.49739583333333,0.8497486090584355,0.9342447916666666,0.8411458333333334,0.8932074229587169,0.7708333333333334,0.6985234369968247,0.19468398596189218,0.7820394446376088
ZScore-Raw,dev,Overall,Overall,390,fusion_input_union,654.4666666666667,88.17179487179487,0.8651117220435688,0.9128205128205128,0.8307692307692308,0.8755616605616604,0.7230769230769231,0.6494668294668293,0.22609483109483108,0.7417716635173421
ZScore-Raw,test,Overall,Overall,1146,fusion_input_union,583.719022687609,87.26788830715532,0.8445203245346949,0.9415357766143106,0.8446771378708552,0.8992125253451495,0.787085514834206,0.7152180940096503,0.1839944313354992,0.7953827085928594
ZScore-Raw,all,4,Single-Hop,841,fusion_input_union,607.7657550535077,87.12841854934602,0.8521317666626955,0.9453032104637337,0.9346016646848989,0.940943321442727,0.8026159334126041,0.7913198573127229,0.14962346413000405,0.8409856781802864
ZScore-Raw,all,1,Multi-Hop,282,fusion_input_union,594.7269503546099,87.69858156028369,0.8479034712369459,0.9539007092198581,0.5957446808510638,0.8012020298974385,0.7411347517730497,0.44703670981666505,0.35416532008077345,0.5579575352222834
ZScore-Raw,all,2,Temporal,321,fusion_input_union,588.9065420560747,87.8785046728972,0.8447519421963299,0.9252336448598131,0.8909657320872274,0.9088785046728972,0.7850467289719626,0.7637590861889927,0.14511941848390453,0.8403313339045986
ZScore-Raw,all,3,Open-Domain,92,fusion_input_union,611.9673913043479,88.92391304347827,0.8510532110498518,0.8043478260869565,0.5652173913043478,0.6841771293497636,0.5217391304347826,0.3934889173060529,0.2906882120437107,0.5751272593400215
ZScore-Raw,test,4,Single-Hop,612,fusion_input_union,589.7941176470588,86.89379084967321,0.8469335778220055,0.9558823529411765,0.9509803921568627,0.9537037037037036,0.826797385620915,0.8216230936819173,0.13208061002178628,0.8615077098800688
ZScore-Raw,test,1,Multi-Hop,224,fusion_input_union,580.9776785714286,87.72321428571429,0.8435867520268717,0.9553571428571429,0.5982142857142857,0.8060413310060864,0.7366071428571429,0.4558286696855775,0.35021266132050893,0.5655152560435335
ZScore-Raw,test,2,Temporal,239,fusion_input_union,566.0125523012553,87.55648535564853,0.838015893775525,0.9246861924686193,0.891213389121339,0.9103905160390515,0.8158995815899581,0.7887029288702928,0.12168758716875872,0.8663347376484105
ZScore-Raw,test,3,Open-Domain,71,fusion_input_union,599.6056338028169,88.08450704225352,0.8485593130045549,0.8309859154929577,0.5492957746478874,0.6858351535236373,0.5070422535211268,0.36902789284727977,0.31680726067635756,0.5380708337146518
ZScore-RawERK,all,Overall,Overall,1536,fusion_input_union,601.6822916666666,86.50716145833333,0.85138975300922,0.9466145833333334,0.85546875,0.9060901787948031,0.7981770833333334,0.7248815105562757,0.18120866823852744,0.8000103383974934
ZScore-RawERK,dev,Overall,Overall,390,fusion_input_union,654.4666666666667,87.27435897435898,0.8664563121935487,0.9307692307692308,0.8512820512820513,0.8924847374847373,0.7564102564102564,0.6815140415140415,0.21097069597069584,0.7636142254205174
ZScore-RawERK,test,Overall,Overall,1146,fusion_input_union,583.719022687609,86.24607329842932,0.8462623899360147,0.9520069808027923,0.8568935427574171,0.9107203028008465,0.81239092495637,0.73964007331934,0.17108022948150647,0.8121484401353928
ZScore-RawERK,all,4,Single-Hop,841,fusion_input_union,607.7657550535077,86.03923900118906,0.8539145341524486,0.9607609988109393,0.9488703923900119,0.9558065794688863,0.8323424494649228,0.821640903686088,0.13416567578279825,0.8596309351026332
ZScore-RawERK,all,1,Multi-Hop,282,fusion_input_union,594.7269503546099,86.71631205673759,0.849570617763167,0.9574468085106383,0.6205673758865248,0.8148976163813788,0.776595744680851,0.4712187464147152,0.34367886996666364,0.5782551537053225
ZScore-RawERK,all,2,Temporal,321,fusion_input_union,588.9065420560747,86.89096573208722,0.8464836679421565,0.9345794392523364,0.9003115264797508,0.9177050882658361,0.8068535825545171,0.7871235721703012,0.13058151609553492,0.8577086280056576
ZScore-RawERK,all,3,Open-Domain,92,fusion_input_union,611.9673913043479,88.80434782608695,0.8510039758837533,0.8260869565217391,0.5652173913043478,0.6906165232891575,0.5217391304347826,0.4007352941176471,0.2898812291715104,0.5802573216885825
ZScore-RawERK,test,4,Single-Hop,612,fusion_input_union,589.7941176470588,85.76633986928104,0.8488302538934746,0.9689542483660131,0.9624183006535948,0.965958605664488,0.8545751633986928,0.8502178649237473,0.1157407407407407,0.8801804341697209
ZScore-RawERK,test,1,Multi-Hop,224,fusion_input_union,580.9776785714286,86.42857142857143,0.8457870501728121,0.9598214285714286,0.6205357142857143,0.8210509532760472,0.78125,0.4840470697848516,0.33700388349119553,0.5895457131539426
ZScore-RawERK,test,2,Temporal,239,fusion_input_union,566.0125523012553,86.7949790794979,0.8394747337334052,0.9330543933054394,0.899581589958159,0.9180613668061366,0.8200836820083682,0.799163179916318,0.11889818688981857,0.8704899354348653
ZScore-RawERK,test,3,Open-Domain,71,fusion_input_union,599.6056338028169,87.95774647887323,0.8484763786320332,0.8450704225352113,0.5492957746478874,0.6927707062338377,0.5211267605633803,0.39250207125103564,0.3002686349828021,0.5665685164212912
