method,query_id,category,top10_memory_ids,MRR@10,Hit@1,Hit@5,Hit@10,Recall@10,nDCG@10
RawScore,conv-26_qa_0,2,conv-26_session_1_D1:3;conv-26_session_1_D1:7;conv-26_session_9_D9:12;conv-26_session_10_D10:5;conv-26_session_14_D14:33;conv-26_session_10_D10:3;conv-26_session_12_D12:1;conv-26_session_9_D9:2;conv-26_session_5_D5:1;conv-26_session_2_D2:12,1.0,1.0,1.0,1.0,1.0,1.0
RawScore,conv-26_qa_1,2,conv-26_session_1_D1:14;conv-26_session_14_D14:30;conv-26_session_13_D13:10;conv-26_session_11_D11:12;conv-26_session_17_D17:13;conv-26_session_14_D14:3;conv-26_session_14_D14:6;conv-26_session_9_D9:16;conv-26_session_14_D14:7;conv-26_session_14_D14:22,0.0,0.0,0.0,0.0,0.0,0.0
RawScore,conv-26_qa_2,3,conv-26_session_13_D13:7;conv-26_session_4_D4:14;conv-26_session_7_D7:8;conv-26_session_4_D4:15;conv-26_session_1_D1:9;conv-26_session_1_D1:10;conv-26_session_4_D4:11;conv-26_session_1_D1:11;conv-26_session_12_D12:20;conv-26_session_7_D7:5,0.2,0.0,1.0,1.0,1.0,0.430624116386567
RawScore,conv-26_qa_3,1,conv-26_session_2_D2:8;conv-26_session_1_D1:17;conv-26_session_10_D10:15;conv-26_session_17_D17:8;conv-26_session_8_D8:22;conv-26_session_15_D15:13;conv-26_session_1_D1:4;conv-26_session_14_D14:22;conv-26_session_11_D11:5;conv-26_session_14_D14:28,1.0,1.0,1.0,1.0,1.0,1.0
RawScore,conv-26_qa_4,1,conv-26_session_13_D13:13;conv-26_session_11_D11:12;conv-26_session_16_D16:9;conv-26_session_3_D3:3;conv-26_session_11_D11:10;conv-26_session_15_D15:15;conv-26_session_17_D17:22;conv-26_session_16_D16:13;conv-26_session_19_D19:10;conv-26_session_10_D10:15,0.0,0.0,0.0,0.0,0.0,0.0
RawScore,conv-26_qa_5,2,conv-26_session_2_D2:1;conv-26_session_2_D2:2;conv-26_session_7_D7:24;conv-26_session_14_D14:3;conv-26_session_14_D14:22;conv-26_session_15_D15:13;conv-26_session_10_D10:15;conv-26_session_11_D11:5;conv-26_session_14_D14:28;conv-26_session_8_D8:18,1.0,1.0,1.0,1.0,1.0,1.0
RawScore,conv-26_qa_6,2,conv-26_session_2_D2:7;conv-26_session_14_D14:32;conv-26_session_10_D10:12;conv-26_session_6_D6:16;conv-26_session_18_D18:19;conv-26_session_8_D8:32;conv-26_session_9_D9:1;conv-26_session_18_D18:20;conv-26_session_10_D10:13;conv-26_session_10_D10:14,1.0,1.0,1.0,1.0,1.0,1.0
RawScore,conv-26_qa_7,1,conv-26_session_9_D9:7;conv-26_session_16_D16:15;conv-26_session_3_D3:13;conv-26_session_4_D4:1;conv-26_session_12_D12:14;conv-26_session_8_D8:22;conv-26_session_19_D19:7;conv-26_session_4_D4:10;conv-26_session_4_D4:11;conv-26_session_3_D3:15,0.3333333333333333,0.0,1.0,1.0,0.5,0.3065735963827292
RawScore,conv-26_qa_8,2,conv-26_session_8_D8:22;conv-26_session_15_D15:13;conv-26_session_10_D10:15;conv-26_session_14_D14:22;conv-26_session_1_D1:4;conv-26_session_11_D11:5;conv-26_session_14_D14:28;conv-26_session_8_D8:18;conv-26_session_8_D8:20;conv-26_session_3_D3:1,0.1,0.0,0.0,1.0,1.0,0.2890648263178879
RawScore,conv-26_qa_9,2,conv-26_session_3_D3:11;conv-26_session_16_D16:5;conv-26_session_6_D6:11;conv-26_session_19_D19:9;conv-26_session_15_D15:4;conv-26_session_2_D2:10;conv-26_session_12_D12:15;conv-26_session_5_D5:13;conv-26_session_6_D6:12;conv-26_session_8_D8:22,1.0,1.0,1.0,1.0,1.0,1.0
RawScore,conv-26_qa_10,2,conv-26_session_1_D1:3;conv-26_session_12_D12:15;conv-26_session_1_D1:7;conv-26_session_3_D3:11;conv-26_session_6_D6:12;conv-26_session_1_D1:6;conv-26_session_10_D10:6;conv-26_session_16_D16:7;conv-26_session_8_D8:24;conv-26_session_16_D16:15,0.0,0.0,0.0,0.0,0.0,0.0
RawScore,conv-26_qa_11,1,conv-26_session_15_D15:21;conv-26_session_3_D3:1;conv-26_session_4_D4:5;conv-26_session_3_D3:16;conv-26_session_17_D17:10;conv-26_session_8_D8:22;conv-26_session_3_D3:18;conv-26_session_3_D3:17;conv-26_session_15_D15:13;conv-26_session_9_D9:1,0.0,0.0,0.0,0.0,0.0,0.0
RawScore,conv-26_qa_12,2,conv-26_session_4_D4:5;conv-26_session_15_D15:21;conv-26_session_11_D11:1;conv-26_session_3_D3:1;conv-26_session_17_D17:10;conv-26_session_16_D16:7;conv-26_session_3_D3:15;conv-26_session_15_D15:20;conv-26_session_9_D9:1;conv-26_session_6_D6:1,1.0,1.0,1.0,1.0,1.0,1.0
RawScore,conv-26_qa_13,1,conv-26_session_1_D1:9;conv-26_session_4_D4:11;conv-26_session_4_D4:12;conv-26_session_7_D7:11;conv-26_session_16_D16:13;conv-26_session_5_D5:3;conv-26_session_7_D7:7;conv-26_session_1_D1:10;conv-26_session_1_D1:11;conv-26_session_7_D7:5,0.1111111111111111,0.0,0.0,1.0,0.5,0.18457569677956817
RawScore,conv-26_qa_14,3,conv-26_session_4_D4:11;conv-26_session_4_D4:14;conv-26_session_5_D5:3;conv-26_session_4_D4:15;conv-26_session_7_D7:5;conv-26_session_7_D7:7;conv-26_session_4_D4:12;conv-26_session_1_D1:11;conv-26_session_17_D17:25;conv-26_session_7_D7:8,0.25,0.0,1.0,1.0,0.5,0.2640681225725909
RawScore,conv-26_qa_15,1,conv-26_session_5_D5:4;conv-26_session_17_D17:22;conv-26_session_15_D15:10;conv-26_session_13_D13:2;conv-26_session_11_D11:13;conv-26_session_13_D13:15;conv-26_session_2_D2:5;conv-26_session_8_D8:34;conv-26_session_12_D12:6;conv-26_session_1_D1:16,1.0,1.0,1.0,1.0,0.25,0.3903800499921017
RawScore,conv-26_qa_16,2,conv-26_session_5_D5:4;conv-26_session_14_D14:4;conv-26_session_16_D16:17;conv-26_session_5_D5:8;conv-26_session_16_D16:8;conv-26_session_5_D5:5;conv-26_session_12_D12:3;conv-26_session_5_D5:6;conv-26_session_16_D16:18;conv-26_session_8_D8:2,1.0,1.0,1.0,1.0,1.0,1.0
RawScore,conv-26_qa_17,2,conv-26_session_5_D5:13;conv-26_session_14_D14:1;conv-26_session_7_D7:1;conv-26_session_3_D3:1;conv-26_session_1_D1:5;conv-26_session_14_D14:12;conv-26_session_17_D17:19;conv-26_session_14_D14:19;conv-26_session_4_D4:18;conv-26_session_9_D9:6,1.0,1.0,1.0,1.0,1.0,1.0
RawScore,conv-26_qa_18,1,conv-26_session_10_D10:12;conv-26_session_18_D18:19;conv-26_session_4_D4:6;conv-26_session_4_D4:8;conv-26_session_18_D18:21;conv-26_session_8_D8:32;conv-26_session_10_D10:13;conv-26_session_2_D2:7;conv-26_session_9_D9:1;conv-26_session_10_D10:14,0.3333333333333333,0.0,1.0,1.0,0.6666666666666666,0.40179981797758046
RawScore,conv-26_qa_19,1,conv-26_session_9_D9:17;conv-26_session_11_D11:7;conv-26_session_16_D16:2;conv-26_session_8_D8:3;conv-26_session_3_D3:14;conv-26_session_1_D1:2;conv-26_session_19_D19:6;conv-26_session_8_D8:2;conv-26_session_15_D15:2;conv-26_session_15_D15:28,0.0,0.0,0.0,0.0,0.0,0.0
RawScore,conv-26_qa_20,2,conv-26_session_6_D6:4;conv-26_session_14_D14:3;conv-26_session_14_D14:22;conv-26_session_15_D15:13;conv-26_session_10_D10:15;conv-26_session_11_D11:5;conv-26_session_14_D14:28;conv-26_session_8_D8:18;conv-26_session_8_D8:20;conv-26_session_14_D14:30,1.0,1.0,1.0,1.0,1.0,1.0
RawScore,conv-26_qa_21,2,conv-26_session_6_D6:11;conv-26_session_8_D8:22;conv-26_session_10_D10:15;conv-26_session_14_D14:22;conv-26_session_15_D15:13;conv-26_session_1_D1:4;conv-26_session_14_D14:3;conv-26_session_11_D11:5;conv-26_session_14_D14:28;conv-26_session_8_D8:18,1.0,1.0,1.0,1.0,1.0,1.0
