group,method,display_method,scope,comparable,evaluation_split,category,category_label,n,MRR@10,Hit@1,Hit@5,Hit@10,Recall@10,nDCG@10
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,test,4,Single-Hop,612,0.3981377736279697,0.29901960784313725,0.5228758169934641,0.6029411764705882,0.596949891067538,0.44413751706383386
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,test,1,Multi-Hop,224,0.1746988378684807,0.09821428571428571,0.27232142857142855,0.38839285714285715,0.20699725165185692,0.14626940938801505
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,test,2,Temporal,239,0.4231653051736734,0.3179916317991632,0.5439330543933054,0.6359832635983264,0.6028591352859136,0.45584186963724027
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,test,3,Open-Domain,71,0.18468030404650124,0.08450704225352113,0.30985915492957744,0.352112676056338,0.23533177675679745,0.16877011337534978
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,all,4,Single-Hop,841,0.396803691750184,0.3032104637336504,0.5184304399524375,0.5933412604042806,0.5822433610780817,0.43715662154327656
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,all,1,Multi-Hop,282,0.19217465946189352,0.10638297872340426,0.2978723404255319,0.41843971631205673,0.21889255968203336,0.15677916495637756
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,all,2,Temporal,321,0.4236636502991643,0.32398753894080995,0.5389408099688473,0.6199376947040498,0.5916407061266874,0.45483525951496756
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,all,3,Open-Domain,92,0.17785110420979985,0.08695652173913043,0.29347826086956524,0.33695652173913043,0.2386799581492676,0.16865069764752152
Textual Retrieval Baselines,Dense-bge,Dense-bge,sample-scoped,True,test,4,Single-Hop,612,0.510333022097728,0.39215686274509803,0.6683006535947712,0.7630718954248366,0.7587145969498911,0.568757566379642
Textual Retrieval Baselines,Dense-bge,Dense-bge,sample-scoped,True,test,1,Multi-Hop,224,0.42437996031746034,0.28125,0.625,0.75,0.48640902682843473,0.370994334288364
