group,method,display_method,scope,comparable,evaluation_split,n,MRR@10,Hit@1,Hit@5,Hit@10,Recall@10,nDCG@10,Candidate Recall,candidate_recall_status
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,test,1146,0.34645869691681214,0.25043630017452007,0.4650959860383944,0.5523560209424084,0.4995572488537655,0.3712961544842338,,N/A: method ranks the full sample-scoped memory pool; no distinct pruned candidate-generation stage
Textual Retrieval Baselines,BM25,BM25,sample-scoped,True,all,1536,0.3517340443121693,0.2584635416666667,0.46875,0.5514322916666666,0.49692030684466104,0.3732932459137179,,N/A: method ranks the full sample-scoped memory pool; no distinct pruned candidate-generation stage
Textual Retrieval Baselines,Dense-bge,Dense-bge,sample-scoped,True,test,1146,0.49553207845092667,0.38045375218150085,0.6561954624781849,0.7460732984293194,0.6793105896466488,0.5214526310455209,,N/A: method ranks the full sample-scoped memory pool; no distinct pruned candidate-generation stage
Textual Retrieval Baselines,Dense-bge,Dense-bge,sample-scoped,True,all,1536,0.4880931712962963,0.3756510416666667,0.6451822916666666,0.7337239583333334,0.6660266405351847,0.5121375247985984,,N/A: method ranks the full sample-scoped memory pool; no distinct pruned candidate-generation stage
KG / Structured Retrieval Baselines,Dense+GlobalKG,Dense+GlobalKG,sample-scoped,True,test,1146,0.523513116706834,0.41012216404886565,0.6780104712041884,0.7774869109947644,0.7064445239588691,0.5468841434526177,,N/A: method ranks the full sample-scoped memory pool; no distinct pruned candidate-generation stage
KG / Structured Retrieval Baselines,Dense+GlobalKG,Dense+GlobalKG,sample-scoped,True,all,1536,0.5154857494212963,0.404296875,0.6666666666666666,0.7604166666666666,0.6919113936506122,0.537343222364952,,N/A: method ranks the full sample-scoped memory pool; no distinct pruned candidate-generation stage
KG / Structured Retrieval Baselines,RRF_compact,RRF_compact,sample-scoped,True,test,1146,0.5232433723925871,0.3970331588132635,0.6963350785340314,0.7966841186736475,0.7242429914507784,0.5514077826159705,,N/A: method ranks the full sample-scoped memory pool; no distinct pruned candidate-generation stage
KG / Structured Retrieval Baselines,RRF_compact,RRF_compact,sample-scoped,True,all,1536,0.5204264322916666,0.3977864583333333,0.6881510416666666,0.7864583333333334,0.7147450138141048,0.5467533918339588,,N/A: method ranks the full sample-scoped memory pool; no distinct pruned candidate-generation stage
Ablation,ZScore-Raw,ZScore-Raw,sample-scoped,True,test,1146,0.5107918501897559,0.3769633507853403,0.6884816753926701,0.787085514834206,0.7152180940096505,0.5408533387793667,,N/A: method ranks the full sample-scoped memory pool; no distinct pruned candidate-generation stage
Ablation,ZScore-Raw,ZScore-Raw,sample-scoped,True,all,1536,0.5062489666005291,0.3782552083333333,0.6822916666666666,0.7708333333333334,0.6985234369968248,0.5326317057892945,,N/A: method ranks the full sample-scoped memory pool; no distinct pruned candidate-generation stage
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,test,1146,0.549822363500374,0.42408376963350786,0.7137870855148342,0.81239092495637,0.73964007331934,0.5754605316110719,,N/A: method ranks the full sample-scoped memory pool; no distinct pruned candidate-generation stage
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,all,1536,0.5468279803240741,0.4244791666666667,0.712890625,0.7981770833333334,0.7248815105562759,0.5691622738585805,,N/A: method ranks the full sample-scoped memory pool; no distinct pruned candidate-generation stage
