cell,query_type,concurrency,repetitions,operations_per_rep,qps_median,qps_min,qps_max,p50_ms_median,p50_ms_min,p50_ms_max,p95_ms_median,p95_ms_min,p95_ms_max,p99_ms_median,p99_ms_min,p99_ms_max,error_rate_median,error_rate_min,error_rate_max,status
cassandra-base,scope_fetch,32,3,5000,871.1439423207689,854.1117949670911,873.6690460247476,24.74775,24.527749999999997,25.677599999999998,116.892915,111.23981500000002,119.64136500000001,191.28610600000005,178.224639,196.92119800000006,0.0,0.0,0.0,PASS
cassandra-base,relation_filter,32,3,5000,1356.8322569173636,1332.8003553633516,1380.5518513036723,15.674800000000001,15.63855,15.78885,98.10118000000001,89.86411500000006,98.95848000000001,148.160266,144.47542600000003,148.269083,0.0,0.0,0.0,PASS
cassandra-base,candidate_projection,32,3,5000,1654.7281888896166,1644.4616652411441,1809.1346973868276,15.4002,13.699300000000001,15.4139,30.243945000000025,28.14667000000005,36.30372000000013,109.419992,108.91042800000004,114.68204200000001,0.0,0.0,0.0,PASS
cassandra-base,top10_retrieval,32,3,5000,367.2915745927828,362.4237911560521,372.2386333138439,74.12035,73.02345,74.52629999999999,189.08932,185.50253000000006,192.70835000000008,274.0471510000001,262.0212020000001,278.83418900000004,0.0,0.0,0.0,PASS
cassandra-materialized,scope_fetch,32,3,5000,822.9231226687702,804.4466464104484,833.958510329771,27.71185,27.3395,27.7586,116.407255,115.16826500000002,120.41671500000001,182.27397700000006,172.68362600000003,185.68045500000005,0.0,0.0,0.0,PASS
cassandra-materialized,relation_filter,32,3,5000,3587.4586177598367,3536.8182782653284,3711.580777874144,6.5905000000000005,6.479749999999999,6.8003,12.872820000000003,10.341720000000002,13.367445000000002,73.33428800000004,71.210907,83.820026,0.0,0.0,0.0,PASS
cassandra-materialized,candidate_projection,32,3,5000,3412.0553648601176,3253.590646334852,3580.220313844302,6.9763,6.8436,7.6273,11.977300000000001,11.351730000000003,12.975125,98.36404200000001,82.497909,98.92503600000002,0.0,0.0,0.0,PASS
cassandra-materialized,top10_retrieval,32,3,5000,355.6401125485433,354.8323485637015,357.48677218492816,77.1997,76.25274999999999,77.40745,192.887925,190.42514000000008,198.51874500000008,271.3582920000001,268.0981380000001,271.710641,0.0,0.0,0.0,PASS
neo4j-native,scope_fetch,32,3,5000,39.366858841072975,39.21122240743834,39.574741635484074,877.1101,871.0406,878.07635,1010.60049,1007.3737850000001,1016.1356400000001,1070.060692,1067.482313,1074.237608,0.0,0.0,0.0,PASS
neo4j-native,relation_filter,32,3,5000,777.2175041304255,773.6206139442382,790.5049478416066,38.32355,37.965,38.7773,52.80285500000001,52.13516500000001,53.133135000000024,130.29549800000024,129.10377800000037,131.4777560000001,0.0,0.0,0.0,PASS
neo4j-native,candidate_projection,32,3,5000,1942.7748668930521,1809.8454724970386,2072.8605508706596,9.94695,5.25265,16.53255,21.279835000000006,15.08314,25.249525000000002,63.99954700000026,25.982151000000023,73.45638000000008,0.0,0.0,0.0,PASS
neo4j-native,top10_retrieval,32,3,5000,36.350035343608305,36.15319599812505,36.62241168294227,943.66305,942.6983,945.5446999999999,1080.09651,1077.178625,1110.41946,1146.2177240000003,1136.6933660000002,1204.001406,0.0,0.0,0.0,PASS
neo4j-materialized,scope_fetch,32,3,5000,39.24248781644056,38.9029699225981,39.52150710619348,876.2645,870.7343000000001,883.2293999999999,1015.15902,1010.766355,1029.4571700000001,1081.3930540000003,1062.4952180000002,1130.413343,0.0,0.0,0.0,PASS
neo4j-materialized,relation_filter,32,3,5000,842.3486398463126,841.5489974995786,867.7416319400199,33.44115,33.3117,34.32125,62.58784500000001,60.11178500000003,65.08798,108.76726200000004,104.0080370000002,112.67156300000008,0.0,0.0,0.0,PASS
neo4j-materialized,candidate_projection,32,3,5000,2027.886193091792,1961.7377182709115,2079.629426669527,13.81175,6.77625,15.1051,20.935670000000002,19.442065,23.658884999999998,62.67129300000007,26.539388000000045,68.73833500000002,0.0,0.0,0.0,PASS
neo4j-materialized,top10_retrieval,32,3,5000,36.24292754062653,35.86579880873427,36.33768594396352,948.1728499999999,940.7836,957.1902,1097.67959,1090.14731,1103.1844050000002,1168.9369490000006,1161.4550280000003,1171.9099720000004,0.0,0.0,0.0,PASS
