qa_id,cell,scope_id,full_candidate_parity,full_top10_parity,probe_relation,relation_candidate_count,relation_candidate_parity,relation_top10_parity
conv-26_qa_0,cassandra-base,conv-26,1,1,go,9,1,1
conv-26_qa_0,cassandra-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_0,neo4j-native,conv-26,1,1,go,9,1,1
conv-26_qa_0,neo4j-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_1,cassandra-base,conv-26,1,1,paint,5,1,1
conv-26_qa_1,cassandra-materialized,conv-26,1,1,paint,5,1,1
conv-26_qa_1,neo4j-native,conv-26,1,1,paint,5,1,1
conv-26_qa_1,neo4j-materialized,conv-26,1,1,paint,5,1,1
conv-26_qa_2,cassandra-base,conv-26,1,1,pursue,1,1,1
conv-26_qa_2,cassandra-materialized,conv-26,1,1,pursue,1,1,1
conv-26_qa_2,neo4j-native,conv-26,1,1,pursue,1,1,1
conv-26_qa_2,neo4j-materialized,conv-26,1,1,pursue,1,1,1
conv-26_qa_3,cassandra-base,conv-26,1,1,research,1,1,1
conv-26_qa_3,cassandra-materialized,conv-26,1,1,research,1,1,1
conv-26_qa_3,neo4j-native,conv-26,1,1,research,1,1,1
conv-26_qa_3,neo4j-materialized,conv-26,1,1,research,1,1,1
conv-26_qa_4,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_4,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_4,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_4,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_5,cassandra-base,conv-26,1,1,run,3,1,1
conv-26_qa_5,cassandra-materialized,conv-26,1,1,run,3,1,1
conv-26_qa_5,neo4j-native,conv-26,1,1,run,3,1,1
conv-26_qa_5,neo4j-materialized,conv-26,1,1,run,3,1,1
conv-26_qa_6,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_6,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_6,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_6,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_7,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_7,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_7,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_7,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_8,cassandra-base,conv-26,1,1,give,4,1,1
conv-26_qa_8,cassandra-materialized,conv-26,1,1,give,4,1,1
conv-26_qa_8,neo4j-native,conv-26,1,1,give,4,1,1
conv-26_qa_8,neo4j-materialized,conv-26,1,1,give,4,1,1
conv-26_qa_9,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_9,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_9,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_9,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_10,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_10,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_10,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_10,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_11,cassandra-base,conv-26,1,1,move,1,1,1
conv-26_qa_11,cassandra-materialized,conv-26,1,1,move,1,1,1
conv-26_qa_11,neo4j-native,conv-26,1,1,move,1,1,1
conv-26_qa_11,neo4j-materialized,conv-26,1,1,move,1,1,1
conv-26_qa_12,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_12,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_12,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_12,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_13,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_13,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_13,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_13,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_14,cassandra-base,conv-26,1,1,pursue,1,1,1
conv-26_qa_14,cassandra-materialized,conv-26,1,1,pursue,1,1,1
conv-26_qa_14,neo4j-native,conv-26,1,1,pursue,1,1,1
conv-26_qa_14,neo4j-materialized,conv-26,1,1,pursue,1,1,1
conv-26_qa_15,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_15,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_15,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_15,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_16,cassandra-base,conv-26,1,1,sign,1,1,1
conv-26_qa_16,cassandra-materialized,conv-26,1,1,sign,1,1,1
conv-26_qa_16,neo4j-native,conv-26,1,1,sign,1,1,1
conv-26_qa_16,neo4j-materialized,conv-26,1,1,sign,1,1,1
conv-26_qa_17,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_17,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_17,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_17,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_18,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_18,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_18,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_18,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_19,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_19,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_19,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_19,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_20,cassandra-base,conv-26,1,1,go,9,1,1
conv-26_qa_20,cassandra-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_20,neo4j-native,conv-26,1,1,go,9,1,1
conv-26_qa_20,neo4j-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_21,cassandra-base,conv-26,1,1,have,2,1,1
conv-26_qa_21,cassandra-materialized,conv-26,1,1,have,2,1,1
conv-26_qa_21,neo4j-native,conv-26,1,1,have,2,1,1
conv-26_qa_21,neo4j-materialized,conv-26,1,1,have,2,1,1
conv-26_qa_22,cassandra-base,conv-26,1,1,have,2,1,1
conv-26_qa_22,cassandra-materialized,conv-26,1,1,have,2,1,1
conv-26_qa_22,neo4j-native,conv-26,1,1,have,2,1,1
conv-26_qa_22,neo4j-materialized,conv-26,1,1,have,2,1,1
conv-26_qa_23,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_23,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_23,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_23,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_24,cassandra-base,conv-26,1,1,destress,1,1,1
conv-26_qa_24,cassandra-materialized,conv-26,1,1,destress,1,1,1
conv-26_qa_24,neo4j-native,conv-26,1,1,destress,1,1,1
conv-26_qa_24,neo4j-materialized,conv-26,1,1,destress,1,1,1
conv-26_qa_25,cassandra-base,conv-26,1,1,go,9,1,1
conv-26_qa_25,cassandra-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_25,neo4j-native,conv-26,1,1,go,9,1,1
conv-26_qa_25,neo4j-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_26,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_26,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_26,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_26,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_27,cassandra-base,conv-26,1,1,pursue,1,1,1
conv-26_qa_27,cassandra-materialized,conv-26,1,1,pursue,1,1,1
conv-26_qa_27,neo4j-native,conv-26,1,1,pursue,1,1,1
conv-26_qa_27,neo4j-materialized,conv-26,1,1,pursue,1,1,1
conv-26_qa_28,cassandra-base,conv-26,1,1,go,9,1,1
conv-26_qa_28,cassandra-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_28,neo4j-native,conv-26,1,1,go,9,1,1
conv-26_qa_28,neo4j-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_29,cassandra-base,conv-26,1,1,go,9,1,1
conv-26_qa_29,cassandra-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_29,neo4j-native,conv-26,1,1,go,9,1,1
conv-26_qa_29,neo4j-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_31,cassandra-base,conv-26,1,1,go,9,1,1
conv-26_qa_31,cassandra-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_31,neo4j-native,conv-26,1,1,go,9,1,1
conv-26_qa_31,neo4j-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_32,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_32,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_32,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_32,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_33,cassandra-base,conv-26,1,1,go,9,1,1
conv-26_qa_33,cassandra-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_33,neo4j-native,conv-26,1,1,go,9,1,1
conv-26_qa_33,neo4j-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_34,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_34,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_34,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_34,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_35,cassandra-base,conv-26,1,1,go,9,1,1
conv-26_qa_35,cassandra-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_35,neo4j-native,conv-26,1,1,go,9,1,1
conv-26_qa_35,neo4j-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_36,cassandra-base,conv-26,1,1,join,2,1,1
conv-26_qa_36,cassandra-materialized,conv-26,1,1,join,2,1,1
conv-26_qa_36,neo4j-native,conv-26,1,1,join,2,1,1
conv-26_qa_36,neo4j-materialized,conv-26,1,1,join,2,1,1
conv-26_qa_37,cassandra-base,conv-26,1,1,paint,5,1,1
conv-26_qa_37,cassandra-materialized,conv-26,1,1,paint,5,1,1
conv-26_qa_37,neo4j-native,conv-26,1,1,paint,5,1,1
conv-26_qa_37,neo4j-materialized,conv-26,1,1,paint,5,1,1
conv-26_qa_38,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_38,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_38,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_38,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_39,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_39,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_39,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_39,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_40,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_40,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_40,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_40,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_41,cassandra-base,conv-26,1,1,join,2,1,1
conv-26_qa_41,cassandra-materialized,conv-26,1,1,join,2,1,1
conv-26_qa_41,neo4j-native,conv-26,1,1,join,2,1,1
conv-26_qa_41,neo4j-materialized,conv-26,1,1,join,2,1,1
conv-26_qa_42,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_42,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_42,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_42,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_43,cassandra-base,conv-26,1,1,make,2,1,1
conv-26_qa_43,cassandra-materialized,conv-26,1,1,make,2,1,1
conv-26_qa_43,neo4j-native,conv-26,1,1,make,2,1,1
conv-26_qa_43,neo4j-materialized,conv-26,1,1,make,2,1,1
conv-26_qa_44,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_44,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_44,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_44,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_45,cassandra-base,conv-26,1,1,attend,9,1,1
