cell,update_rate_s,repetitions,updates,reference_top10_pairs,queue_wait_p95_ms_median,queue_wait_p95_ms_min,queue_wait_p95_ms_max,raw_write_call_p95_ms_median,raw_write_call_p95_ms_min,raw_write_call_p95_ms_max,arrival_to_raw_ack_p95_ms_median,arrival_to_raw_ack_p95_ms_min,arrival_to_raw_ack_p95_ms_max,pipeline_complete_p95_ms_median,pipeline_complete_p95_ms_min,pipeline_complete_p95_ms_max,read_arrival_p95_ms_median,read_arrival_p95_ms_min,read_arrival_p95_ms_max,update_backlog_peak_median,update_backlog_peak_min,update_backlog_peak_max,total_backlog_peak_median,total_backlog_peak_min,total_backlog_peak_max,backlog_drain_ms_median,backlog_drain_ms_min,backlog_drain_ms_max,pipeline_visible_500ms_median,pipeline_visible_500ms_min,pipeline_visible_500ms_max
cassandra-base,1.0,3,120,85,0.20433999999999974,0.2014549999999994,0.20756499999999994,20.330755,19.885714999999998,21.002089999999995,20.52521,20.04203,21.183725,206.22082499999996,180.45246999999992,215.31299499999997,28.925169999999998,28.205904999999998,29.65947,1.0,1.0,1.0,3.0,3.0,4.0,169.21899997396395,165.02209997270256,185.32390001928434,1.0,1.0,1.0
cassandra-base,2.0,3,120,91,0.1522599999999981,0.10988499999999998,0.15589999999999965,17.707909999999988,16.708325,19.18515,17.779019999999992,16.802325,19.260725,178.97023,162.99509999999995,183.40729499999998,25.553829999999998,25.361015,26.182299999999998,1.0,1.0,1.0,5.0,5.0,5.0,171.89499997766688,171.88969999551773,180.54519995348528,1.0,1.0,1.0
cassandra-base,5.0,3,120,88,0.41715999999999925,0.12152499999999983,0.9416799999999986,13.335079999999998,10.203959999999999,13.626075,13.401444999999999,10.280429999999997,13.847805,193.59319999999994,183.53106,194.91555,35.642374999999994,32.34299999999997,37.936329999999984,2.0,1.0,2.0,12.0,11.0,13.0,171.49879998760298,155.8913000044413,193.41519998852164,1.0,1.0,1.0
cassandra-base,10.0,3,240,179,5.9136549999999986,5.821074999999998,7.368384999999992,23.813854999999997,20.60970999999999,27.908969999999997,27.554234999999988,26.858339999999995,30.363444999999995,318.2800749999999,306.8161949999998,325.57084,73.95468499999998,66.30339,74.127725,5.0,4.0,5.0,24.0,22.0,27.0,137.94260000577196,126.99439999414608,226.42959997756407,1.0,1.0,1.0
cassandra-materialized,1.0,3,120,85,0.21330999999999978,0.20152499999999998,0.24323499999999978,17.649885,16.65445,18.352484999999998,17.742555,16.74296,18.48508,137.26726999999997,134.44428499999992,164.616875,23.966685000000002,23.07317,28.405799999999992,1.0,1.0,1.0,3.0,3.0,3.0,136.03590003913268,125.83299999823794,136.26409997232258,1.0,1.0,1.0
cassandra-materialized,2.0,3,120,91,0.12651,0.1260949999999999,0.2632299999999957,17.454079999999998,16.927574999999997,18.229765,17.518194999999995,17.015824999999996,18.315269999999998,160.42025999999998,119.13080999999994,173.92660999999998,23.607394999999997,22.853269999999995,26.601554999999998,1.0,1.0,1.0,4.0,4.0,5.0,144.50009999563918,136.82060001883656,205.8594999834895,1.0,1.0,1.0
cassandra-materialized,5.0,3,120,88,0.16634999999999794,0.1265049999999991,0.6694849999999986,12.420804999999998,11.345789999999996,13.069824999999996,12.619404999999999,11.422694999999997,13.411754999999998,170.33593999999997,166.95331499999995,185.27348499999997,37.959864999999986,36.08766999999999,40.15613499999998,2.0,1.0,2.0,12.0,12.0,13.0,138.813300000038,98.1004000059329,144.78789997519925,1.0,1.0,1.0
cassandra-materialized,10.0,3,240,179,7.309769999999997,6.388599999999998,7.571019999999997,28.31175999999999,28.297084999999985,28.599059999999994,34.63208499999996,33.21048999999998,37.414304999999985,337.15254,322.39933999999994,422.4900449999999,75.99357999999998,72.00685,76.43899999999998,5.0,4.0,6.0,24.0,24.0,27.0,113.42310003237799,109.48699997970834,123.41929995454848,1.0,0.975,1.0
neo4j-native,1.0,3,120,85,0.262935,0.2490949999999999,0.4056049999999993,11.014014999999999,10.007059999999994,15.525329999999967,12.427544999999999,11.162509999999997,15.603209999999965,143.63905,137.17496999999997,176.07362499999994,39.61381,38.641115,40.94658999999999,1.0,1.0,1.0,4.0,3.0,5.0,107.80580004211515,75.00350003829226,125.14329998521134,1.0,1.0,1.0
neo4j-native,2.0,3,120,91,4758.241499999999,4206.818364999999,4811.290209999999,9.999484999999995,8.827285,10.463349999999995,4764.550445,4213.644504999999,4817.866839999999,5999.008510000001,5519.657869999999,6252.880254999999,5740.0865300000005,5178.968065,5862.151679999999,10.0,10.0,11.0,187.0,167.0,187.0,5658.114199992269,5091.726999962702,5758.743699989282,0.15,0.05,0.175
neo4j-native,5.0,3,120,88,16727.514409999996,16665.288895,17483.11963,12.10501,11.406649999999987,13.459259999999997,16734.58185,16672.42539,17491.16763,17814.902995,17676.638659999997,18468.103085,17798.271754999998,17711.5033,18361.716129999997,30.0,30.0,30.0,572.0,569.0,581.0,18139.63429996511,18092.76739996858,18812.543600040954,0.0,0.0,0.0
neo4j-native,10.0,3,240,179,42945.176009999996,41831.8728,43795.26775499999,11.420439999999997,11.275154999999998,13.095749999999999,42952.330285000004,41841.945795,43801.476525,44450.29999,42700.215175,45298.358335,43949.71628,42821.530905,44842.183975,70.0,70.0,70.0,1373.0,1372.0,1379.0,45787.88259997964,44460.03760001622,46660.69119999884,0.0,0.0,0.0
