kind,cell,repetition,update_rate_s,op_id,queue_wait_ms,backend_read_call_ms,worker_read_ms,arrival_to_read_done_ms,candidate_count,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms
read,cassandra-base,0,1.0,r0_measured_00004,0.1084,15.747,17.388,17.4964,568,0.6661,0.5288,0.3667
read,cassandra-base,0,1.0,r0_measured_00031,0.0549,15.9373,17.4066,17.4615,419,0.6967,0.2802,0.3393
read,cassandra-base,0,1.0,r0_measured_00011,0.1065,6.4596,8.194,8.3005,689,0.7401,0.5647,0.3512
read,cassandra-base,0,1.0,r0_measured_00007,0.1015,17.0168,18.2019,18.3034,419,0.5095,0.2757,0.3353
read,cassandra-base,0,1.0,r0_measured_00000,0.4421,22.1125,23.8768,24.3189,663,0.6252,0.7113,0.3538
read,cassandra-base,0,1.0,r0_measured_00010,0.0912,8.6401,10.301,10.3922,663,0.6772,0.5887,0.3189
read,cassandra-base,0,1.0,r0_measured_00006,0.0995,6.55,8.3517,8.4512,663,0.7735,0.6055,0.3443
read,cassandra-base,0,1.0,r0_measured_00019,0.0507,10.6433,12.1106,12.1613,568,0.5939,0.4774,0.33
read,cassandra-base,0,1.0,r0_measured_00021,1.578,17.7865,21.7726,23.3506,568,1.9334,1.6408,0.3467
read,cassandra-base,0,1.0,r0_measured_00020,0.5797,6.0381,8.9247,9.5044,689,1.2105,0.9617,0.5865
read,cassandra-base,0,1.0,r0_measured_00027,0.0944,16.1479,18.0121,18.1065,681,0.701,0.6174,0.462
read,cassandra-base,0,1.0,r0_measured_00035,0.1505,20.5176,25.6942,25.8447,675,2.2235,1.5455,1.1968
read,cassandra-base,0,1.0,r0_measured_00038,0.1396,7.0408,9.2828,9.4224,680,0.9369,0.8014,0.4094
read,cassandra-base,0,1.0,r0_measured_00037,0.1647,14.7929,18.6963,18.861,680,1.596,1.3424,0.8011
read,cassandra-base,0,1.0,r0_measured_00012,0.1198,16.5168,18.062,18.1818,568,0.5916,0.5611,0.3263
read,cassandra-base,0,1.0,r0_measured_00009,0.078,17.2584,20.3655,20.4435,663,1.3696,1.1235,0.5081
read,cassandra-base,0,1.0,r0_measured_00008,0.0584,14.1864,15.6487,15.7071,568,0.5864,0.4844,0.3251
read,cassandra-base,0,1.0,r0_measured_00005,0.0707,12.0118,13.5463,13.617,663,0.6159,0.5373,0.3102
read,cassandra-base,0,1.0,r0_measured_00001,0.1548,14.8566,16.6608,16.8156,675,0.734,0.611,0.3802
read,cassandra-base,0,1.0,r0_measured_00022,0.0895,13.2184,15.5869,15.6764,689,0.9739,0.7911,0.4976
read,cassandra-base,0,1.0,r0_measured_00017,0.0716,17.4926,19.3381,19.4097,689,0.8062,0.6047,0.3501
read,cassandra-base,0,1.0,r0_measured_00003,0.1106,19.2597,20.7399,20.8505,629,0.592,0.4844,0.3303
read,cassandra-base,0,1.0,r0_measured_00034,0.2047,21.3432,25.267,25.4717,681,1.5795,1.3402,0.8413
read,cassandra-base,0,1.0,r0_measured_00014,0.1683,9.5503,11.2008,11.3691,680,0.6519,0.5536,0.3669
read,cassandra-base,0,1.0,r0_measured_00039,0.0988,18.0901,19.7495,19.8483,675,0.6712,0.5203,0.3663
read,cassandra-base,0,1.0,r0_measured_00032,0.0677,12.3947,14.7372,14.8049,663,0.9286,0.7625,0.5431
read,cassandra-base,0,1.0,r0_measured_00033,0.1646,11.4155,15.8443,16.0089,689,1.8245,1.4738,0.9245
read,cassandra-base,0,1.0,r0_measured_00029,0.1851,22.1106,25.7763,25.9614,663,1.4252,1.2879,0.7684
read,cassandra-base,0,1.0,r0_measured_00026,0.0853,17.3608,18.5025,18.5878,419,0.4825,0.2532,0.3451
read,cassandra-base,0,1.0,r0_measured_00016,0.0664,6.0958,7.6143,7.6807,568,0.5958,0.4864,0.3687
read,cassandra-base,0,1.0,r0_measured_00036,0.1321,19.038,23.3515,23.4836,681,1.5214,1.3096,1.0682
read,cassandra-base,0,1.0,r0_measured_00023,0.1219,9.5915,12.3737,12.4956,629,1.1816,0.9016,0.5843
read,cassandra-base,0,1.0,r0_measured_00013,0.0464,35.8108,37.9493,37.9957,419,0.5,0.556,0.9801
read,cassandra-base,0,1.0,r0_measured_00030,0.1328,9.4613,13.5836,13.7164,681,1.6756,1.4192,0.8458
read,cassandra-base,0,1.0,r0_measured_00025,0.1349,9.9438,11.53,11.6649,680,0.6193,0.5826,0.3193
read,cassandra-base,0,1.0,r0_measured_00018,0.063,15.1313,16.6945,16.7575,681,0.6317,0.5419,0.3222
read,cassandra-base,0,1.0,r0_measured_00002,0.1005,7.4022,9.1314,9.2319,663,0.6854,0.5474,0.4173
read,cassandra-base,0,1.0,r0_measured_00028,0.0577,13.3411,15.9097,15.9674,419,0.9603,0.5255,0.9567
