kind,cell,repetition,update_rate_s,op_id,queue_wait_ms,backend_read_call_ms,worker_read_ms,arrival_to_read_done_ms,candidate_count,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms
read,cassandra-materialized,0,1.0,r0_measured_00032,0.0867,17.075,20.183,20.2697,663,1.105,1.1551,0.7067
read,cassandra-materialized,0,1.0,r0_measured_00028,0.0849,12.472,13.8104,13.8953,419,0.5919,0.291,0.3944
read,cassandra-materialized,0,1.0,r0_measured_00000,0.4162,16.5193,18.8163,19.2325,663,0.8863,0.8556,0.4679
read,cassandra-materialized,0,1.0,r0_measured_00025,0.1569,15.2016,18.822,18.9789,680,1.3715,1.3562,0.7318
read,cassandra-materialized,0,1.0,r0_measured_00030,0.1774,9.3753,12.8178,12.9952,681,1.4756,1.0696,0.7243
read,cassandra-materialized,0,1.0,r0_measured_00026,0.0606,19.7334,21.0067,21.0673,419,0.6115,0.271,0.328
read,cassandra-materialized,0,1.0,r0_measured_00034,0.1208,7.6978,10.0194,10.1402,681,1.0553,0.7255,0.4485
read,cassandra-materialized,0,1.0,r0_measured_00023,0.1032,15.5257,17.7779,17.8811,629,0.8808,0.7936,0.4794
read,cassandra-materialized,0,1.0,r0_measured_00007,0.0995,11.4062,14.02,14.1195,419,0.9463,0.5378,0.9303
read,cassandra-materialized,0,1.0,r0_measured_00011,0.1159,11.8434,15.4498,15.5657,689,1.3114,1.2511,0.8677
read,cassandra-materialized,0,1.0,r0_measured_00036,0.0847,18.337,21.0167,21.1014,681,1.1586,0.878,0.5293
read,cassandra-materialized,0,1.0,r0_measured_00002,0.1117,16.7327,20.0094,20.1211,663,1.2796,1.0859,0.7629
read,cassandra-materialized,0,1.0,r0_measured_00001,0.1155,15.6133,19.5277,19.6432,675,1.4977,1.2032,1.0262
read,cassandra-materialized,0,1.0,r0_measured_00033,0.0706,21.7523,25.6248,25.6954,689,1.751,1.2105,0.7433
read,cassandra-materialized,0,1.0,r0_measured_00022,0.0981,15.3555,16.8945,16.9926,689,0.6005,0.5225,0.3478
read,cassandra-materialized,0,1.0,r0_measured_00020,0.4301,6.3281,7.9441,8.3742,689,0.7352,0.4975,0.3143
read,cassandra-materialized,0,1.0,r0_measured_00010,0.1114,17.8628,21.6774,21.7888,663,1.6755,1.2461,0.7247
read,cassandra-materialized,0,1.0,r0_measured_00006,0.204,19.73,23.9532,24.1572,663,1.7214,1.3197,0.9893
read,cassandra-materialized,0,1.0,r0_measured_00037,0.1429,21.9708,25.8747,26.0176,680,1.6392,1.2235,0.8308
read,cassandra-materialized,0,1.0,r0_measured_00019,0.0969,16.8536,19.3086,19.4055,568,1.0655,0.7517,0.5283
read,cassandra-materialized,0,1.0,r0_measured_00016,0.0648,8.8075,10.4035,10.4683,568,0.6615,0.5422,0.3284
read,cassandra-materialized,0,1.0,r0_measured_00027,0.1181,17.574,19.1048,19.2229,681,0.607,0.5372,0.3207
read,cassandra-materialized,0,1.0,r0_measured_00003,0.1833,12.605,15.529,15.7123,629,1.1995,0.9518,0.6392
read,cassandra-materialized,0,1.0,r0_measured_00029,0.1199,12.5788,15.7618,15.8817,663,1.3183,1.0858,0.6351
read,cassandra-materialized,0,1.0,r0_measured_00017,0.1127,8.4091,11.1647,11.2774,689,1.054,0.9691,0.597
read,cassandra-materialized,0,1.0,r0_measured_00031,0.2529,22.4301,26.1757,26.4286,419,1.4585,0.776,1.3359
read,cassandra-materialized,0,1.0,r0_measured_00012,0.0931,19.8424,21.2807,21.3738,568,0.5962,0.4536,0.3228
read,cassandra-materialized,0,1.0,r0_measured_00014,0.176,20.0076,22.5239,22.6999,680,1.0144,0.8848,0.5133
read,cassandra-materialized,0,1.0,r0_measured_00005,0.1639,21.9682,25.9917,26.1556,663,1.8029,1.2296,0.8149
read,cassandra-materialized,0,1.0,r0_measured_00013,0.1045,23.0923,26.1625,26.267,419,1.2936,0.7124,0.9043
read,cassandra-materialized,0,1.0,r0_measured_00008,0.1037,23.5775,26.4468,26.5505,568,1.0742,1.0462,0.6225
read,cassandra-materialized,0,1.0,r0_measured_00038,0.1527,15.5887,18.0661,18.2188,680,0.9716,0.8497,0.5475
read,cassandra-materialized,0,1.0,r0_measured_00009,0.1233,22.2382,26.1822,26.3055,663,1.5115,1.3681,0.8817
read,cassandra-materialized,0,1.0,r0_measured_00004,0.1695,25.7083,30.2655,30.435,568,1.9158,1.3002,0.9645
read,cassandra-materialized,0,1.0,r0_measured_00039,0.1036,10.3648,13.5695,13.6731,675,1.2573,1.0866,0.712
read,cassandra-materialized,0,1.0,r0_measured_00021,0.1013,18.3487,21.6481,21.7494,568,2.0376,0.7778,0.4107
read,cassandra-materialized,0,1.0,r0_measured_00035,0.0694,20.5242,22.7184,22.7878,675,0.9133,0.73,0.4563
read,cassandra-materialized,0,1.0,r0_measured_00018,0.0754,18.4178,20.2618,20.3372,681,0.6776,0.7021,0.3802
