backend_ms,candidate_count,candidate_fetch_ms,commit_ms,dense_scoring_ms,dense_upsert_ms,fresh_hit_at_10,full_write_ack_call_ms,graph_projection_ok,graph_visible_ms,latency_ms,op_id,op_type,phase,projection_fetch_ms,ranking_ms,relation_candidate_ok,relation_check_ms,sparse_scoring_ms,sparse_upsert_ms,status,zscore_fusion_ms
20.0568,663,,,0.5406,,,,,,21.5999,r0_measured_00000,read,measured,,,,,0.618,,ok,0.3204
10.8274,675,,,0.5009,,,,,,12.3243,r0_measured_00001,read,measured,,,,,0.6013,,ok,0.3303
11.0339,663,,,0.5252,,,,,,12.5399,r0_measured_00002,read,measured,,,,,0.5704,,ok,0.349
13.5935,629,,,0.559,,,,,,15.3121,r0_measured_00003,read,measured,,,,,0.6465,,ok,0.4361
14.9217,568,,,0.6764,,,,,,17.0079,r0_measured_00004,read,measured,,,,,0.8245,,ok,0.4968
13.6933,663,,,0.6981,,,,,,15.7927,r0_measured_00005,read,measured,,,,,0.866,,ok,0.4299
14.4283,663,,,0.6181,,,,,,16.2768,r0_measured_00006,read,measured,,,,,0.755,,ok,0.3935
15.4384,419,,,0.2424,,,,,,16.4962,r0_measured_00007,read,measured,,,,,0.458,,ok,0.3064
10.5281,568,,,0.543,,,,,,12.1076,r0_measured_00008,read,measured,,,,,0.6101,,ok,0.3682
16.1562,663,,,0.5639,,,,,,17.9199,r0_measured_00009,read,measured,,,,,0.757,,ok,0.3695
10.8064,663,,,0.6807,,,,,,12.713,r0_measured_00010,read,measured,,,,,0.7455,,ok,0.4067
19.5024,689,,,0.5097,,,,,,21.0954,r0_measured_00011,read,measured,,,,,0.6595,,ok,0.3519
7.7744,568,,,0.4928,,,,,,9.4353,r0_measured_00012,read,measured,,,,,0.6582,,ok,0.4302
15.7055,419,,,0.2561,,,,,,16.8168,r0_measured_00013,read,measured,,,,,0.4899,,ok,0.3117
12.4993,680,,,0.5355,,,,,,14.0317,r0_measured_00014,read,measured,,,,,0.5994,,ok,0.3351
130.9073,681,13.2292,14.8011,0.5777,2.3391,1,14.7995,1,77.3033,132.5417,r0_measured_00015,update,measured,62.5022,1.6344,1,15.9628,0.6189,22.0729,ok,0.3675
7.3071,568,,,0.6139,,,,,,9.2528,r0_measured_00016,read,measured,,,,,0.7704,,ok,0.4838
15.9429,689,,,0.6908,,,,,,17.8284,r0_measured_00017,read,measured,,,,,0.7184,,ok,0.3929
11.7955,681,,,0.5776,,,,,,13.4753,r0_measured_00018,read,measured,,,,,0.6746,,ok,0.3542
14.5391,568,,,0.5619,,,,,,16.2114,r0_measured_00019,read,measured,,,,,0.6777,,ok,0.3626
20.2504,688,,,0.5975,,,,,,22.1089,r0_measured_00020,read,measured,,,,,0.7737,,ok,0.3842
14.8068,568,,,0.4819,,,,,,16.2479,r0_measured_00021,read,measured,,,,,0.5893,,ok,0.3127
11.0352,689,,,0.5103,,,,,,12.566,r0_measured_00022,read,measured,,,,,0.6401,,ok,0.3178
9.3689,629,,,0.5441,,,,,,10.903,r0_measured_00023,read,measured,,,,,0.5868,,ok,0.3343
121.1254,369,17.1215,11.1132,0.2324,1.8913,0,11.1113,1,74.8054,122.2591,r0_measured_00024,update,measured,63.6922,1.1337,1,15.9982,0.4868,11.309,ok,0.3557
17.9535,680,,,0.5497,,,,,,19.5659,r0_measured_00025,read,measured,,,,,0.6481,,ok,0.3465
11.4447,419,,,0.3272,,,,,,12.8871,r0_measured_00026,read,measured,,,,,0.6512,,ok,0.3984
14.3474,681,,,0.6363,,,,,,16.1998,r0_measured_00027,read,measured,,,,,0.7523,,ok,0.3856
11.8405,419,,,0.2967,,,,,,13.0893,r0_measured_00028,read,measured,,,,,0.5521,,ok,0.3426
14.294,663,,,0.5472,,,,,,15.9471,r0_measured_00029,read,measured,,,,,0.6836,,ok,0.3558
13.7707,681,,,0.5255,,,,,,15.3704,r0_measured_00030,read,measured,,,,,0.629,,ok,0.3799
14.3058,419,,,0.3637,,,,,,15.8393,r0_measured_00031,read,measured,,,,,0.6477,,ok,0.4509
13.7033,663,,,0.6104,,,,,,15.2839,r0_measured_00032,read,measured,,,,,0.5558,,ok,0.3458
16.2682,689,,,0.6265,,,,,,18.0673,r0_measured_00033,read,measured,,,,,0.7527,,ok,0.3454
12.1804,681,,,0.5845,,,,,,13.8362,r0_measured_00034,read,measured,,,,,0.6342,,ok,0.3687
13.1584,675,,,0.55,,,,,,14.926,r0_measured_00035,read,measured,,,,,0.6929,,ok,0.4459
13.6874,681,,,0.5464,,,,,,15.3574,r0_measured_00036,read,measured,,,,,0.6891,,ok,0.3542
13.3119,680,,,0.7354,,,,,,15.0779,r0_measured_00037,read,measured,,,,,0.5952,,ok,0.3648
13.5221,680,,,0.5303,,,,,,15.0182,r0_measured_00038,read,measured,,,,,0.5691,,ok,0.3328
13.5447,675,,,0.4791,,,,,,15.0072,r0_measured_00039,read,measured,,,,,0.5895,,ok,0.3349
13.8936,675,,,0.6052,,,,,,15.5213,r0_measured_00040,read,measured,,,,,0.6303,,ok,0.3219
22.0692,675,,,0.6727,,,,,,24.2292,r0_measured_00041,read,measured,,,,,0.7923,,ok,0.5821
9.0097,509,,,0.5281,,,,,,10.6004,r0_measured_00042,read,measured,,,,,0.6199,,ok,0.3819
9.6595,568,,,0.5698,,,,,,11.4354,r0_measured_00043,read,measured,,,,,0.6615,,ok,0.4668
14.7028,663,,,0.7565,,,,,,17.0719,r0_measured_00044,read,measured,,,,,0.9125,,ok,0.5956
12.7943,675,,,0.8828,,,,,,15.433,r0_measured_00045,read,measured,,,,,1.0861,,ok,0.5659
14.1324,419,,,0.5147,,,,,,16.0431,r0_measured_00046,read,measured,,,,,0.8338,,ok,0.483
12.1165,509,,,0.6719,,,,,,14.2051,r0_measured_00047,read,measured,,,,,0.8334,,ok,0.5064
13.1211,509,,,0.7157,,,,,,15.2713,r0_measured_00048,read,measured,,,,,0.8914,,ok,0.462
13.9444,675,,,0.6727,,,,,,16.0603,r0_measured_00049,read,measured,,,,,0.885,,ok,0.4705
11.795,680,,,0.6734,,,,,,13.6743,r0_measured_00050,read,measured,,,,,0.6773,,ok,0.4431
13.9447,663,,,0.676,,,,,,15.8197,r0_measured_00051,read,measured,,,,,0.7041,,ok,0.4172
12.8935,369,,,0.2711,,,,,,14.2061,r0_measured_00052,read,measured,,,,,0.5403,,ok,0.4432
14.923,663,,,0.6381,,,,,,16.759,r0_measured_00053,read,measured,,,,,0.7211,,ok,0.4006
