backend_ms,candidate_count,candidate_fetch_ms,commit_ms,dense_scoring_ms,dense_upsert_ms,fresh_hit_at_10,full_write_ack_call_ms,graph_projection_ok,graph_visible_ms,latency_ms,op_id,op_type,phase,projection_fetch_ms,ranking_ms,relation_candidate_ok,relation_check_ms,sparse_scoring_ms,sparse_upsert_ms,status,zscore_fusion_ms
9.4893,663,,,0.53,,,,,,11.1226,r0_measured_00000,read,measured,,,,,0.6584,,ok,0.3817
28.0706,675,,,0.7054,,,,,,30.1497,r0_measured_00001,read,measured,,,,,0.7958,,ok,0.4899
27.084,663,,,0.7384,,,,,,29.5437,r0_measured_00002,read,measured,,,,,1.1011,,ok,0.5293
18.4379,629,,,0.5736,,,,,,20.0467,r0_measured_00003,read,measured,,,,,0.6111,,ok,0.3555
11.5164,568,,,0.486,,,,,,12.9259,r0_measured_00004,read,measured,,,,,0.5432,,ok,0.3182
17.715,663,,,0.6015,,,,,,19.4336,r0_measured_00005,read,measured,,,,,0.6388,,ok,0.3998
11.4061,663,,,0.4691,,,,,,12.8176,r0_measured_00006,read,measured,,,,,0.5769,,ok,0.3075
13.6406,419,,,0.3871,,,,,,15.0703,r0_measured_00007,read,measured,,,,,0.5648,,ok,0.4134
18.2358,568,,,0.4477,,,,,,19.6157,r0_measured_00008,read,measured,,,,,0.5662,,ok,0.3086
10.8973,663,,,0.5736,,,,,,12.4706,r0_measured_00009,read,measured,,,,,0.5991,,ok,0.3337
13.8753,663,,,0.6182,,,,,,15.601,r0_measured_00010,read,measured,,,,,0.7011,,ok,0.3393
12.1134,689,,,0.5536,,,,,,13.6752,r0_measured_00011,read,measured,,,,,0.6048,,ok,0.3449
13.7956,568,,,0.5162,,,,,,15.3227,r0_measured_00012,read,measured,,,,,0.6205,,ok,0.3356
14.4596,419,,,0.2654,,,,,,15.5738,r0_measured_00013,read,measured,,,,,0.4821,,ok,0.3181
16.9532,680,,,0.5845,,,,,,18.6968,r0_measured_00014,read,measured,,,,,0.7084,,ok,0.3799
107.208,681,9.6531,11.5097,0.6073,2.5635,1,11.5077,1,57.8574,109.1409,r0_measured_00015,update,measured,46.3477,1.9329,1,14.9779,0.6784,22.1561,ok,0.5773
12.9144,568,,,0.6247,,,,,,14.7976,r0_measured_00016,read,measured,,,,,0.7179,,ok,0.4602
13.817,689,,,0.511,,,,,,15.3974,r0_measured_00017,read,measured,,,,,0.6714,,ok,0.3315
14.1414,681,,,0.6679,,,,,,16.2202,r0_measured_00018,read,measured,,,,,0.8293,,ok,0.4928
13.1321,568,,,0.4501,,,,,,14.599,r0_measured_00019,read,measured,,,,,0.6133,,ok,0.3412
13.207,688,,,0.5235,,,,,,14.6721,r0_measured_00020,read,measured,,,,,0.5825,,ok,0.3021
14.5448,568,,,0.5003,,,,,,16.0337,r0_measured_00021,read,measured,,,,,0.5834,,ok,0.3504
12.2596,689,,,0.519,,,,,,13.76,r0_measured_00022,read,measured,,,,,0.5853,,ok,0.337
16.4331,629,,,0.4971,,,,,,17.9176,r0_measured_00023,read,measured,,,,,0.6021,,ok,0.321
90.4127,369,4.076,11.2928,0.2919,1.6981,0,11.291,1,58.5518,91.7302,r0_measured_00024,update,measured,47.259,1.3175,1,14.9237,0.533,11.1631,ok,0.4344
15.1651,680,,,0.5527,,,,,,16.8538,r0_measured_00025,read,measured,,,,,0.7289,,ok,0.3411
13.8338,419,,,0.2957,,,,,,15.061,r0_measured_00026,read,measured,,,,,0.5508,,ok,0.3263
14.4746,681,,,0.5627,,,,,,16.0209,r0_measured_00027,read,measured,,,,,0.5999,,ok,0.3207
14.1882,419,,,0.3489,,,,,,15.6883,r0_measured_00028,read,measured,,,,,0.5887,,ok,0.4971
15.2818,663,,,0.5416,,,,,,16.9729,r0_measured_00029,read,measured,,,,,0.7306,,ok,0.3517
13.1912,681,,,0.5679,,,,,,14.9251,r0_measured_00030,read,measured,,,,,0.699,,ok,0.383
12.9659,419,,,0.27,,,,,,14.1195,r0_measured_00031,read,measured,,,,,0.4902,,ok,0.3396
14.4427,663,,,0.4646,,,,,,15.7982,r0_measured_00032,read,measured,,,,,0.5155,,ok,0.3179
15.0721,689,,,0.5113,,,,,,16.6331,r0_measured_00033,read,measured,,,,,0.6753,,ok,0.3073
13.4068,681,,,0.5553,,,,,,15.0329,r0_measured_00034,read,measured,,,,,0.6431,,ok,0.3626
14.3072,675,,,0.5223,,,,,,15.8501,r0_measured_00035,read,measured,,,,,0.6054,,ok,0.3523
14.6348,681,,,0.5418,,,,,,16.1878,r0_measured_00036,read,measured,,,,,0.6283,,ok,0.322
14.4245,680,,,0.5356,,,,,,15.9241,r0_measured_00037,read,measured,,,,,0.5872,,ok,0.3139
18.7178,680,,,0.5814,,,,,,20.2754,r0_measured_00038,read,measured,,,,,0.5735,,ok,0.3301
9.0924,675,,,0.4937,,,,,,10.6242,r0_measured_00039,read,measured,,,,,0.6302,,ok,0.329
12.7126,675,,,0.4781,,,,,,14.1444,r0_measured_00040,read,measured,,,,,0.5711,,ok,0.3236
17.2704,675,,,0.7052,,,,,,19.4558,r0_measured_00041,read,measured,,,,,0.8485,,ok,0.5381
10.5886,509,,,0.5558,,,,,,12.1996,r0_measured_00042,read,measured,,,,,0.5944,,ok,0.4001
12.9823,568,,,0.4527,,,,,,14.3985,r0_measured_00043,read,measured,,,,,0.5608,,ok,0.3402
14.9316,663,,,0.6361,,,,,,16.856,r0_measured_00044,read,measured,,,,,0.8269,,ok,0.3932
15.0507,675,,,0.7129,,,,,,17.2103,r0_measured_00045,read,measured,,,,,0.8189,,ok,0.5303
12.6887,419,,,0.3386,,,,,,14.1828,r0_measured_00046,read,measured,,,,,0.7166,,ok,0.3775
15.3537,509,,,0.5196,,,,,,17.0485,r0_measured_00047,read,measured,,,,,0.7271,,ok,0.3831
11.7827,509,,,0.4511,,,,,,13.2857,r0_measured_00048,read,measured,,,,,0.6529,,ok,0.3381
23.5263,675,,,0.6294,,,,,,25.523,r0_measured_00049,read,measured,,,,,0.6928,,ok,0.5914
5.2347,680,,,0.5311,,,,,,8.8498,r0_measured_00050,read,measured,,,,,0.6263,,ok,2.3868
9.6502,663,,,0.4995,,,,,,11.1734,r0_measured_00051,read,measured,,,,,0.5865,,ok,0.3703
14.5706,369,,,0.2406,,,,,,15.6804,r0_measured_00052,read,measured,,,,,0.4621,,ok,0.3559
18.6122,663,,,0.5479,,,,,,20.3396,r0_measured_00053,read,measured,,,,,0.577,,ok,0.5362
9.0774,681,,,0.4881,,,,,,10.5497,r0_measured_00054,read,measured,,,,,0.6022,,ok,0.3168
14.9323,568,,,0.4689,,,,,,16.336,r0_measured_00055,read,measured,,,,,0.5219,,ok,0.3546
12.1968,509,,,0.4506,,,,,,13.6119,r0_measured_00056,read,measured,,,,,0.6015,,ok,0.3063
16.6308,663,,,0.5648,,,,,,18.1699,r0_measured_00057,read,measured,,,,,0.58,,ok,0.3335
13.3364,681,,,0.6257,,,,,,14.9807,r0_measured_00058,read,measured,,,,,0.6134,,ok,0.3372
14.9478,680,,,0.5581,,,,,,16.5478,r0_measured_00059,read,measured,,,,,0.6532,,ok,0.3258
11.4698,680,,,0.4963,,,,,,12.9142,r0_measured_00060,read,measured,,,,,0.5673,,ok,0.3189
15.0264,629,,,0.5561,,,,,,16.6805,r0_measured_00061,read,measured,,,,,0.6721,,ok,0.3577
75.1394,419,,,0.2937,,,,,,76.2888,r0_measured_00062,read,measured,,,,,0.5068,,ok,0.3009
16.8028,419,,,0.3723,,,,,,18.269,r0_measured_00063,read,measured,,,,,0.5842,,ok,0.439
13.5498,681,,,0.6139,,,,,,15.1676,r0_measured_00064,read,measured,,,,,0.6262,,ok,0.3202
13.9906,509,,,0.4919,,,,,,15.4861,r0_measured_00065,read,measured,,,,,0.6001,,ok,0.3413
11.7864,419,,,0.2448,,,,,,12.8557,r0_measured_00066,read,measured,,,,,0.4683,,ok,0.307
14.3722,419,,,0.3469,,,,,,15.9276,r0_measured_00067,read,measured,,,,,0.6863,,ok,0.4263
13.8135,369,,,0.2481,,,,,,15.0756,r0_measured_00068,read,measured,,,,,0.6265,,ok,0.336
14.3606,369,,,0.2561,,,,,,15.5265,r0_measured_00069,read,measured,,,,,0.5104,,ok,0.3489
126.1248,680,21.7595,20.6781,0.6293,3.1745,1,20.6766,1,58.9402,127.8413,r0_measured_00070,update,measured,38.2621,1.7165,1,17.3408,0.649,24.9098,ok,0.3662
11.9821,663,,,0.6005,,,,,,13.791,r0_measured_00071,read,measured,,,,,0.7586,,ok,0.3754
