cell,concurrency,repetition,update_rate_s,read_rate_s,op_id,qa_id,scope_id,target_memory_id,queue_wait_ms,worker_start_to_raw_commit_ms,raw_write_call_ms,raw_ack_to_structured_ms,structured_to_index_ms,index_to_ranking_ms,t_commit_ms,t_structured_view_visible_ms,t_index_visible_ms,pipeline_complete_ms,time_to_top10_ms,final_hit_at_10,structured_projection_ok,relation_candidate_ok,sparse_index_applied,dense_index_applied,sparse_index_visible,dense_index_visible,timeout_5000ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,fresh_hit_at_10_50ms,pipeline_visible_50ms,fresh_hit_at_10_100ms,pipeline_visible_100ms,fresh_hit_at_10_250ms,pipeline_visible_250ms,fresh_hit_at_10_500ms,pipeline_visible_500ms,fresh_hit_at_10_1000ms,pipeline_visible_1000ms,fresh_hit_at_10_2000ms,pipeline_visible_2000ms
cassandra-base,32,0,1.0,19.0,r0_measured_00599,lr000011::conv-43_qa_48,lr000011::conv-43,lr000011::conv-43_session_18_D18:2,0.1732,7.9397,7.933,88.8024,30.4081,5.8033,8.1129,96.9153,127.3234,133.1267,133.1267,1,1,1,1,1,1,1,0,0.4908,0.5428,0.3381,0,0,0,0,1,1,1,1,1,1,1,1
cassandra-base,32,0,1.0,19.0,r0_measured_00708,lr000004::conv-42_qa_7,lr000004::conv-42,lr000004::conv-42_session_2_D2:3,0.1377,9.482,9.4785,106.3618,22.8453,16.2352,9.6197,115.9815,138.8268,155.062,155.062,1,1,1,1,1,1,1,0,0.6744,0.4277,0.3096,0,0,0,0,1,1,1,1,1,1,1,1
cassandra-base,32,0,1.0,19.0,r0_measured_00722,lr000005::conv-41_qa_98,lr000005::conv-41,lr000005::conv-41_session_15_D15:13,0.1627,4.4901,4.4837,94.5629,27.6038,17.9458,4.6528,99.2157,126.8195,144.7653,144.7653,1,1,1,1,1,1,1,0,0.6153,0.5589,0.3313,0,0,0,0,1,1,1,1,1,1,1,1
cassandra-base,32,0,1.0,19.0,r0_measured_00205,lr000011::conv-44_qa_105,lr000011::conv-44,lr000011::conv-44_session_23_D23:14,0.1277,9.7503,9.7451,107.4401,27.6334,23.7919,9.878,117.3181,144.9515,168.7434,168.7434,1,1,1,1,1,1,1,0,1.7293,1.1912,0.2897,0,0,0,0,1,1,1,1,1,1,1,1
cassandra-base,32,0,1.0,19.0,r0_measured_00132,lr000008::conv-26_qa_66,lr000008::conv-26,lr000008::conv-26_session_16_D16:4,0.1913,4.8541,4.8475,109.1953,22.7789,10.0323,5.0454,114.2407,137.0196,147.0519,,0,1,1,1,1,1,1,0,0.4663,0.2787,0.3027,0,0,0,0,0,1,0,1,0,1,0,1
cassandra-base,32,0,1.0,19.0,r0_measured_00558,lr000006::conv-47_qa_121,lr000006::conv-47,lr000006::conv-47_session_23_D23:3,0.1649,21.557,21.5491,95.9714,23.5776,23.9648,21.7219,117.6933,141.2709,165.2357,165.2357,1,1,1,1,1,1,1,0,0.821,0.7139,0.4632,0,0,0,0,1,1,1,1,1,1,1,1
cassandra-base,32,0,1.0,19.0,r0_measured_00508,lr000007::conv-43_qa_56,lr000007::conv-43,lr000007::conv-43_session_21_D21:13,0.128,17.5457,17.5408,86.7242,25.0675,10.7938,17.6737,104.3979,129.4654,140.2592,140.2592,1,1,1,1,1,1,1,0,0.545,0.4761,0.3108,0,0,0,0,1,1,1,1,1,1,1,1
cassandra-base,32,0,1.0,19.0,r0_measured_00241,lr000000::conv-48_qa_133,lr000000::conv-48,lr000000::conv-48_session_13_D13:5,0.3944,6.9869,6.9812,110.0472,23.8074,9.2291,7.3813,117.4285,141.2359,150.465,,0,1,1,1,1,1,1,0,0.5414,0.5193,0.3415,0,0,0,0,0,1,0,1,0,1,0,1
cassandra-base,32,0,1.0,19.0,r0_measured_00097,lr000007::conv-47_qa_94,lr000007::conv-47,lr000007::conv-47_session_13_D13:8,0.0887,9.2034,9.2005,100.7702,37.4149,17.669,9.2921,110.0623,147.4772,165.1462,,0,1,1,1,1,1,1,0,1.1065,1.1211,0.3256,0,0,0,0,0,1,0,1,0,1,0,1
cassandra-base,32,0,1.0,19.0,r0_measured_00549,lr000012::conv-50_qa_103,lr000012::conv-50,lr000012::conv-50_session_16_D16:14,0.1597,14.3065,14.2998,95.4294,21.5683,8.4036,14.4662,109.8956,131.4639,139.8675,,0,1,1,1,1,1,1,0,0.5344,0.4593,0.3331,0,0,0,0,0,1,0,1,0,1,0,1
