kind,cell,repetition,update_rate_s,op_id,queue_wait_ms,backend_read_call_ms,worker_read_ms,arrival_to_read_done_ms,candidate_count,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms
read,cassandra-base,0,1.0,r0_measured_00204,0.1174,9.0458,12.7385,12.8559,663,1.4028,1.1613,0.9548
read,cassandra-base,0,1.0,r0_measured_00456,0.1285,22.0721,25.6368,25.7653,674,1.4618,1.2051,0.7496
read,cassandra-base,0,1.0,r0_measured_00672,0.144,10.6811,13.2422,13.3862,623,1.0799,0.8489,0.5224
read,cassandra-base,0,1.0,r0_measured_00754,0.1444,19.6881,22.0332,22.1776,663,0.8817,0.7985,0.5553
read,cassandra-base,0,1.0,r0_measured_00197,0.1916,24.0342,28.617,28.8086,677,1.8627,1.518,1.018
read,cassandra-base,0,1.0,r0_measured_00328,0.1872,13.1581,18.0922,18.2794,679,1.8412,1.6636,1.2429
read,cassandra-base,0,1.0,r0_measured_00186,0.0767,10.4301,11.9464,12.0231,625,0.613,0.5275,0.3123
read,cassandra-base,0,1.0,r0_measured_00051,0.08,12.5751,14.2251,14.3051,661,0.6408,0.5983,0.3427
read,cassandra-base,0,1.0,r0_measured_00136,0.1398,22.8662,26.1132,26.253,416,1.173,0.8491,1.0696
read,cassandra-base,0,1.0,r0_measured_00427,0.1064,18.8261,21.8714,21.9778,680,0.6668,1.0883,1.1746
read,cassandra-base,0,1.0,r0_measured_00073,0.061,19.7274,21.444,21.505,677,0.648,0.5922,0.3989
read,cassandra-base,0,1.0,r0_measured_00404,0.1164,11.0417,12.6763,12.7927,662,0.6727,0.5716,0.322
read,cassandra-base,0,1.0,r0_measured_00788,0.1022,12.549,14.0008,14.103,678,0.5992,0.466,0.3182
read,cassandra-base,0,1.0,r0_measured_00653,0.1732,8.977,13.2252,13.3984,566,1.6836,1.4721,0.9103
read,cassandra-base,0,1.0,r0_measured_00479,0.0646,14.7078,16.4188,16.4834,508,0.7555,0.5561,0.3281
read,cassandra-base,0,1.0,r0_measured_00409,0.1541,11.9608,15.3473,15.5014,623,1.3465,1.1899,0.711
read,cassandra-base,0,1.0,r0_measured_00617,0.1672,21.5542,26.0187,26.1859,676,1.8557,1.3732,1.0507
read,cassandra-base,0,1.0,r0_measured_00539,0.0889,18.7724,21.1165,21.2054,562,0.8701,0.8174,0.5479
read,cassandra-base,0,1.0,r0_measured_00504,0.1623,15.4675,16.9068,17.0691,567,0.5529,0.4951,0.3278
read,cassandra-base,0,1.0,r0_measured_00263,0.1166,8.6639,11.1792,11.2958,676,0.9894,0.8942,0.5288
read,cassandra-base,0,1.0,r0_measured_00361,0.0738,15.7613,17.5669,17.6407,688,0.7095,0.6268,0.3893
read,cassandra-base,0,1.0,r0_measured_00723,0.1161,89.7615,94.3874,94.5035,677,2.5255,1.7201,0.3068
read,cassandra-base,0,1.0,r0_measured_00465,0.1466,10.4535,12.0836,12.2302,623,0.6315,0.6004,0.3179
read,cassandra-base,0,1.0,r0_measured_00318,0.1981,17.2208,19.8224,20.0205,567,1.0024,0.8331,0.6545
read,cassandra-base,0,1.0,r0_measured_00639,0.0624,9.6146,12.0086,12.071,566,0.8434,1.0247,0.445
read,cassandra-base,0,1.0,r0_measured_00726,0.1482,24.3497,27.7269,27.8751,677,1.292,1.0358,0.8392
read,cassandra-base,0,1.0,r0_measured_00029,0.1625,15.3446,18.4445,18.607,660,1.2325,0.9922,0.732
read,cassandra-base,0,1.0,r0_measured_00503,0.1561,16.9837,18.5159,18.672,675,0.6022,0.5251,0.3228
read,cassandra-base,0,1.0,r0_measured_00474,0.1033,16.4729,17.9104,18.0137,507,0.6094,0.4271,0.3255
read,cassandra-base,0,1.0,r0_measured_00450,0.135,7.9404,8.9621,9.0971,368,0.4461,0.2225,0.3042
read,cassandra-base,0,1.0,r0_measured_00646,0.1556,18.9213,22.0446,22.2002,617,1.2802,1.0148,0.6871
read,cassandra-base,0,1.0,r0_measured_00308,0.1207,10.0562,11.7657,11.8864,686,0.7268,0.5595,0.3482
