status,cell,concurrency,repetition,update_rate_s,read_rate_s,total_arrival_rate_s,duration_s,operations,updates,completed_operations,update_backlog_peak,total_backlog_peak,backlog_drain_ms,pipeline_complete_p50_ms,pipeline_complete_p95_ms,pipeline_complete_p99_ms,queue_wait_p50_ms,queue_wait_p95_ms,raw_write_call_p50_ms,raw_write_call_p95_ms,raw_write_call_p99_ms,read_worker_p95_ms,read_arrival_p95_ms,final_hit_at_10,fresh_hit_at_10_denominator,timeout_rate_5000ms,error_rate,missed_update_rate,duplicate_update_rate,fresh_hit_at_10_50ms,pipeline_visible_50ms,fresh_hit_at_10_100ms,pipeline_visible_100ms,fresh_hit_at_10_250ms,pipeline_visible_250ms,fresh_hit_at_10_500ms,pipeline_visible_500ms,fresh_hit_at_10_1000ms,pipeline_visible_1000ms,fresh_hit_at_10_2000ms,pipeline_visible_2000ms
PASS,cassandra-base,32,0,1.0,19.0,20.0,40.0,800,40,800,1,3,165.02209997270256,146.7647,206.22082499999996,218.117697,0.1446,0.2014549999999994,12.61995,21.002089999999995,21.646456,29.481789999999993,29.65947,0.675,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PASS,cassandra-base,32,0,2.0,38.0,40.0,20.0,800,40,800,1,5,171.89499997766688,125.18764999999999,183.40729499999998,196.046416,0.0927,0.15589999999999965,9.67155,17.707909999999988,22.767505999999997,25.791559999999997,26.182299999999998,0.725,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PASS,cassandra-base,32,0,5.0,95.0,100.0,8.0,800,40,800,1,11,155.8913000044413,111.9945,183.53106,187.258322,0.06685,0.12152499999999983,5.70315,10.203959999999999,12.379795999999999,33.39422499999999,35.642374999999994,0.725,29,0.0,0.0,0.0,0.0,0.0,0.0,0.2413793103448276,0.275,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PASS,cassandra-base,32,0,10.0,190.0,200.0,8.0,1600,80,1600,4,24,137.94260000577196,161.362,318.2800749999999,394.997611,0.2298,5.9136549999999986,7.7593,23.813854999999997,50.20532499999987,70.5913,73.95468499999998,0.6875,55,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.1,0.7272727272727273,0.775,1.0,1.0,1.0,1.0,1.0,1.0
PASS,cassandra-base,32,1,1.0,19.0,20.0,40.0,800,40,800,1,3,169.21899997396395,150.86020000000002,180.45246999999992,215.013332,0.13245,0.20756499999999994,11.681750000000001,20.330755,25.428771999999995,28.760089999999998,28.925169999999998,0.7,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PASS,cassandra-base,32,1,2.0,38.0,40.0,20.0,800,40,800,1,5,180.54519995348528,125.5926,162.99509999999995,187.45638599999998,0.07780000000000001,0.10988499999999998,11.6997,19.18515,19.516028000000002,25.247819999999997,25.361015,0.825,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PASS,cassandra-base,32,1,5.0,95.0,100.0,8.0,800,40,800,2,12,171.49879998760298,110.17564999999999,194.91555,211.09613299999998,0.0796,0.9416799999999986,9.0162,13.335079999999998,13.768287,31.262679999999992,32.34299999999997,0.7,28,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.275,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PASS,cassandra-base,32,1,10.0,190.0,200.0,8.0,1600,80,1600,5,22,226.42959997756407,151.56130000000002,325.57084,424.997596,0.3266,5.821074999999998,9.53755,20.60970999999999,36.1050129999997,61.185545,66.30339,0.7625,61,0.0,0.0,0.0,0.0,0.0,0.0,0.19672131147540983,0.15,0.8360655737704918,0.8,1.0,1.0,1.0,1.0,1.0,1.0
PASS,cassandra-base,32,2,1.0,19.0,20.0,40.0,800,40,800,1,4,185.32390001928434,153.825,215.31299499999997,223.014769,0.12769999999999998,0.20433999999999974,13.806799999999999,19.885714999999998,20.334557999999998,28.037214999999993,28.205904999999998,0.75,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PASS,cassandra-base,32,2,2.0,38.0,40.0,20.0,800,40,800,1,5,171.88969999551773,126.8775,178.97023,192.433184,0.08515,0.1522599999999981,9.8058,16.708325,17.756756,25.25967,25.553829999999998,0.725,29,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PASS,cassandra-base,32,2,5.0,95.0,100.0,8.0,800,40,800,2,13,193.41519998852164,111.75805,193.59319999999994,225.118611,0.0833,0.41715999999999925,6.89855,13.626075,13.811804,34.24019,37.936329999999984,0.775,31,0.0,0.0,0.0,0.0,0.0,0.0,0.2903225806451613,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PASS,cassandra-base,32,2,10.0,190.0,200.0,8.0,1600,80,1600,5,27,126.99439999414608,152.8967,306.8161949999998,406.8291019999997,0.4838,7.368384999999992,8.7971,27.908969999999997,33.13796499999997,68.37682999999998,74.127725,0.7875,63,0.0,0.0,0.0,0.0,0.0,0.0,0.07936507936507936,0.1125,0.746031746031746,0.8,1.0,1.0,1.0,1.0,1.0,1.0
