cell,concurrency,repetition,update_rate_s,read_rate_s,op_id,qa_id,scope_id,target_memory_id,queue_wait_ms,worker_start_to_raw_commit_ms,raw_write_call_ms,raw_ack_to_structured_ms,structured_to_index_ms,index_to_ranking_ms,t_commit_ms,t_structured_view_visible_ms,t_index_visible_ms,pipeline_complete_ms,time_to_top10_ms,final_hit_at_10,structured_projection_ok,relation_candidate_ok,sparse_index_applied,dense_index_applied,sparse_index_visible,dense_index_visible,timeout_5000ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,fresh_hit_at_10_50ms,pipeline_visible_50ms,fresh_hit_at_10_100ms,pipeline_visible_100ms,fresh_hit_at_10_250ms,pipeline_visible_250ms,fresh_hit_at_10_500ms,pipeline_visible_500ms,fresh_hit_at_10_1000ms,pipeline_visible_1000ms,fresh_hit_at_10_2000ms,pipeline_visible_2000ms
cassandra-materialized,32,0,1.0,19.0,r0_measured_00558,lr000006::conv-47_qa_121,lr000006::conv-47,lr000006::conv-47_session_23_D23:3,0.0628,11.6742,11.6716,78.1899,23.4089,12.5722,11.737,89.9269,113.3358,125.908,125.908,1,1,1,1,1,1,1,0,0.5859,0.6105,0.3229,0,0,0,0,1,1,1,1,1,1,1,1
cassandra-materialized,32,0,1.0,19.0,r0_measured_00241,lr000000::conv-48_qa_133,lr000000::conv-48,lr000000::conv-48_session_13_D13:5,0.2007,4.3319,4.3235,76.6566,22.208,15.842,4.5326,81.1892,103.3972,119.2392,,0,1,1,1,1,1,1,0,0.5508,0.7639,0.3198,0,0,0,0,0,1,0,1,0,1,0,1
cassandra-materialized,32,0,1.0,19.0,r0_measured_00657,lr000011::conv-47_qa_93,lr000011::conv-47,lr000011::conv-47_session_12_D12:5,0.1055,13.7934,13.7898,59.3569,21.8558,15.6006,13.8989,73.2558,95.1116,110.7122,110.7122,1,1,1,1,1,1,1,0,1.8913,0.677,0.3329,0,0,0,0,1,1,1,1,1,1,1,1
cassandra-materialized,32,0,1.0,19.0,r0_measured_00379,lr000007::conv-43_qa_121,lr000007::conv-43,lr000007::conv-43_session_14_D14:7,0.0596,9.1373,9.1353,72.2308,22.6661,21.4556,9.1969,81.4277,104.0938,125.5494,125.5494,1,1,1,1,1,1,1,0,1.0008,1.1787,0.3037,0,0,0,0,1,1,1,1,1,1,1,1
cassandra-materialized,32,0,1.0,19.0,r0_measured_00015,lr000007::conv-48_qa_116,lr000007::conv-48,lr000007::conv-48_session_7_D7:20,0.1928,14.6115,14.6023,69.033,24.3163,14.0079,14.8043,83.8373,108.1536,122.1615,122.1615,1,1,1,1,1,1,1,0,0.9866,0.7982,0.4583,0,0,0,0,1,1,1,1,1,1,1,1
cassandra-materialized,32,0,1.0,19.0,r0_measured_00701,lr000011::conv-47_qa_39,lr000011::conv-47,lr000011::conv-47_session_18_D18:1,0.071,1.7691,1.7645,92.6972,29.9106,7.8636,1.8401,94.5373,124.4479,132.3115,132.3115,1,1,1,1,1,1,1,0,0.636,0.4808,0.308,0,0,0,0,1,1,1,1,1,1,1,1
cassandra-materialized,32,0,1.0,19.0,r0_measured_00094,lr000016::conv-49_qa_116,lr000016::conv-49,lr000016::conv-49_session_11_D11:8,0.0609,14.349,14.3464,61.9984,20.7618,18.7577,14.4099,76.4083,97.1701,115.9278,115.9278,1,1,1,1,1,1,1,0,0.4364,0.4028,0.2917,0,0,0,0,1,1,1,1,1,1,1,1
cassandra-materialized,32,0,1.0,19.0,r0_measured_00024,lr000010::conv-30_qa_60,lr000010::conv-30,lr000010::conv-30_session_9_D9:5,0.2012,11.303,11.2946,75.6119,16.0503,17.669,11.5042,87.1161,103.1664,120.8354,,0,1,1,1,1,1,1,0,0.7041,0.2903,0.503,0,0,0,0,0,1,0,1,0,1,0,1
cassandra-materialized,32,0,1.0,19.0,r0_measured_00209,lr000011::conv-44_qa_18,lr000011::conv-44,lr000011::conv-44_session_11_D11:4,0.0633,15.025,15.0227,73.7583,21.718,14.4648,15.0883,88.8466,110.5646,125.0294,,0,1,1,1,1,1,1,0,1.0696,0.6069,0.3363,0,0,0,0,0,1,0,1,0,1,0,1
cassandra-materialized,32,0,1.0,19.0,r0_measured_00254,lr000013::conv-44_qa_58,lr000013::conv-44,lr000013::conv-44_session_25_D25:14,0.1597,7.6268,7.6209,77.1377,25.2657,10.9209,7.7865,84.9242,110.1899,121.1108,121.1108,1,1,1,1,1,1,1,0,0.4662,0.5026,0.3192,0,0,0,0,1,1,1,1,1,1,1,1
