kind,cell,repetition,update_rate_s,op_id,queue_wait_ms,backend_read_call_ms,worker_read_ms,arrival_to_read_done_ms,candidate_count,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms
read,cassandra-materialized,0,1.0,r0_measured_00747,0.1199,10.3379,11.8032,11.9231,676,0.578,0.5207,0.3017
read,cassandra-materialized,0,1.0,r0_measured_00569,0.1274,21.694,25.5178,25.6452,663,1.5768,1.2917,0.7919
read,cassandra-materialized,0,1.0,r0_measured_00776,0.0712,5.3252,7.0663,7.1375,675,0.7373,0.5613,0.3656
read,cassandra-materialized,0,1.0,r0_measured_00020,0.3953,5.7491,7.8153,8.2106,686,0.9756,0.5853,0.4037
read,cassandra-materialized,0,1.0,r0_measured_00494,0.0991,12.8552,14.7583,14.8574,625,0.7653,0.6681,0.3923
read,cassandra-materialized,0,1.0,r0_measured_00727,0.1551,7.711,8.7312,8.8863,365,0.4712,0.2095,0.2899
read,cassandra-materialized,0,1.0,r0_measured_00650,0.0965,18.9701,21.0629,21.1594,670,0.8762,0.6445,0.4756
read,cassandra-materialized,0,1.0,r0_measured_00584,0.1567,9.5451,11.1206,11.2773,414,0.671,0.3404,0.4839
read,cassandra-materialized,0,1.0,r0_measured_00353,0.1387,16.1094,17.9061,18.0448,672,0.6729,0.6871,0.3608
read,cassandra-materialized,0,1.0,r0_measured_00133,0.084,7.9175,10.0062,10.0902,562,0.8502,0.6782,0.4686
read,cassandra-materialized,0,1.0,r0_measured_00082,0.1423,23.9317,26.518,26.6603,678,1.0408,0.8792,0.5495
read,cassandra-materialized,0,1.0,r0_measured_00166,0.1285,14.1488,17.8153,17.9438,675,1.5236,1.2062,0.7801
read,cassandra-materialized,0,1.0,r0_measured_00323,0.0899,7.0153,9.418,9.5079,506,0.9121,0.8511,0.5476
read,cassandra-materialized,0,1.0,r0_measured_00184,0.1926,20.5703,23.5518,23.7444,367,1.2021,0.6657,0.9707
read,cassandra-materialized,0,1.0,r0_measured_00590,0.058,16.9871,18.6203,18.6783,687,0.6481,0.592,0.3294
read,cassandra-materialized,0,1.0,r0_measured_00162,0.1048,18.9969,21.9294,22.0342,676,1.5258,0.9128,0.4045
read,cassandra-materialized,0,1.0,r0_measured_00342,0.0944,15.2275,16.6628,16.7572,368,0.6218,0.2833,0.4644
read,cassandra-materialized,0,1.0,r0_measured_00319,0.0815,9.8667,11.3935,11.475,625,0.5983,0.5586,0.3095
read,cassandra-materialized,0,1.0,r0_measured_00578,0.1279,18.1817,21.2605,21.3884,562,1.2233,0.958,0.7547
read,cassandra-materialized,0,1.0,r0_measured_00146,0.175,22.3513,25.0524,25.2274,684,1.2109,0.8288,0.5185
read,cassandra-materialized,0,1.0,r0_measured_00167,0.1858,12.648,16.6054,16.7912,685,1.6639,1.3414,0.7919
read,cassandra-materialized,0,1.0,r0_measured_00103,0.1109,12.1679,13.3002,13.4111,367,0.5028,0.2472,0.3313
read,cassandra-materialized,0,1.0,r0_measured_00207,0.1546,21.5612,24.8631,25.0177,504,1.326,1.0227,0.8
read,cassandra-materialized,0,1.0,r0_measured_00777,0.0554,19.0674,20.5872,20.6426,678,0.618,0.5034,0.3292
read,cassandra-materialized,0,1.0,r0_measured_00746,0.0588,12.5889,14.1762,14.235,627,0.673,0.5161,0.326
read,cassandra-materialized,0,1.0,r0_measured_00423,0.0926,21.3728,23.5916,23.6842,627,0.8511,0.7537,0.5086
read,cassandra-materialized,0,1.0,r0_measured_00056,0.1011,13.7815,15.5335,15.6346,506,0.7184,0.5585,0.3925
read,cassandra-materialized,0,1.0,r0_measured_00717,0.0724,10.7415,12.2805,12.3529,562,0.6397,0.4956,0.3422
read,cassandra-materialized,0,1.0,r0_measured_00576,0.2027,15.1351,19.4308,19.6335,676,1.7855,1.4651,0.8537
read,cassandra-materialized,0,1.0,r0_measured_00182,0.068,8.8801,10.7459,10.8139,626,0.789,0.5962,0.3938
read,cassandra-materialized,0,1.0,r0_measured_00023,0.1146,11.2894,14.0705,14.1851,627,1.0327,0.9081,0.6615
read,cassandra-materialized,0,1.0,r0_measured_00768,0.1444,15.7134,17.1814,17.3258,565,0.5564,0.5631,0.2918
read,cassandra-materialized,0,1.0,r0_measured_00568,0.1038,19.0935,21.7291,21.8329,679,1.0466,0.8786,0.6112
read,cassandra-materialized,0,1.0,r0_measured_00441,0.0942,9.5428,11.6247,11.7189,626,0.7938,0.6941,0.4752
read,cassandra-materialized,0,1.0,r0_measured_00304,0.1271,16.9821,19.2363,19.3634,504,0.8113,0.729,0.6139
read,cassandra-materialized,0,1.0,r0_measured_00041,0.0565,21.442,23.1076,23.1641,671,0.587,0.6117,0.3965
read,cassandra-materialized,0,1.0,r0_measured_00698,0.0797,7.1075,9.9162,9.9959,676,1.0178,0.9708,0.6991
read,cassandra-materialized,0,1.0,r0_measured_00755,0.1537,14.7286,17.1248,17.2785,568,0.8601,0.853,0.588
read,cassandra-materialized,0,1.0,r0_measured_00678,0.0665,18.4881,19.9821,20.0486,627,0.5594,0.5551,0.3153
read,cassandra-materialized,0,1.0,r0_measured_00646,0.1112,18.3142,20.9616,21.0728,617,1.0202,0.9833,0.5406
read,cassandra-materialized,0,1.0,r0_measured_00485,0.1558,13.1988,14.8005,14.9563,675,0.6294,0.5634,0.3315
read,cassandra-materialized,0,1.0,r0_measured_00733,0.0624,7.5464,9.2622,9.3246,683,0.6429,0.6617,0.3404
read,cassandra-materialized,0,1.0,r0_measured_00744,0.1656,5.3098,6.9643,7.1299,660,0.736,0.513,0.3433
read,cassandra-materialized,0,1.0,r0_measured_00320,0.1282,8.8684,10.3503,10.4785,669,0.597,0.5045,0.3128
read,cassandra-materialized,0,1.0,r0_measured_00265,0.1233,17.6759,21.2812,21.4045,565,1.3504,1.2468,0.8603
read,cassandra-materialized,0,1.0,r0_measured_00736,0.1044,16.0958,17.7322,17.8366,626,0.6417,0.5542,0.3765
read,cassandra-materialized,0,1.0,r0_measured_00464,0.1234,21.4453,22.5485,22.6719,413,0.4951,0.2533,0.3045
read,cassandra-materialized,0,1.0,r0_measured_00440,0.1008,13.258,16.2634,16.3642,679,1.3061,1.1883,0.4315
read,cassandra-materialized,0,1.0,r0_measured_00120,0.0723,3.3777,5.0321,5.1044,623,0.6898,0.5859,0.3182
read,cassandra-materialized,0,1.0,r0_measured_00785,0.0877,16.5325,17.6601,17.7478,415,0.4888,0.2682,0.3134
read,cassandra-materialized,0,1.0,r0_measured_00544,0.1684,13.5011,15.6567,15.8251,504,0.843,0.713,0.5031
read,cassandra-materialized,0,1.0,r0_measured_00719,0.0905,5.5849,6.7438,6.8343,414,0.5194,0.2698,0.3065
read,cassandra-materialized,0,1.0,r0_measured_00692,0.1249,15.0921,16.7153,16.8402,673,0.6389,0.5674,0.3493
read,cassandra-materialized,0,1.0,r0_measured_00318,0.15,17.8512,20.0661,20.2161,567,0.8929,0.7437,0.481
read,cassandra-materialized,0,1.0,r0_measured_00344,0.115,14.8731,18.172,18.287,508,1.4082,1.0228,0.7281
read,cassandra-materialized,0,1.0,r0_measured_00720,0.1187,19.0604,21.0986,21.2173,369,0.8844,0.4541,0.603
read,cassandra-materialized,0,1.0,r0_measured_00691,0.0708,19.085,22.0489,22.1197,413,1.2123,0.6464,0.983
read,cassandra-materialized,0,1.0,r0_measured_00504,0.0819,23.2552,25.878,25.9599,567,1.183,0.7572,0.5329
read,cassandra-materialized,0,1.0,r0_measured_00408,0.1776,21.9679,23.767,23.9446,656,0.7485,0.5915,0.3722
read,cassandra-materialized,0,1.0,r0_measured_00398,0.0725,12.0196,13.2336,13.3061,367,0.5742,0.2631,0.32
read,cassandra-materialized,0,1.0,r0_measured_00008,0.1344,19.6453,21.3054,21.4398,561,0.6918,0.53,0.3443
read,cassandra-materialized,0,1.0,r0_measured_00397,0.0777,14.9721,16.5552,16.6329,669,0.6696,0.5064,0.3424
read,cassandra-materialized,0,1.0,r0_measured_00225,0.0608,13.1271,14.5303,14.5911,508,0.5588,0.4532,0.3302
read,cassandra-materialized,0,1.0,r0_measured_00799,0.0942,15.625,17.2034,17.2976,564,0.6474,0.5579,0.3143
read,cassandra-materialized,0,1.0,r0_measured_00677,0.0747,7.3829,9.0236,9.0983,676,0.6764,0.5603,0.3226
read,cassandra-materialized,0,1.0,r0_measured_00790,0.1231,20.1885,21.7677,21.8908,659,0.5748,0.5877,0.3544
read,cassandra-materialized,0,1.0,r0_measured_00567,0.1157,10.4376,12.6943,12.81,617,0.9547,0.7631,0.4432
read,cassandra-materialized,0,1.0,r0_measured_00592,0.0562,13.1583,15.5551,15.6113,624,0.6221,0.7221,0.9251
read,cassandra-materialized,0,1.0,r0_measured_00400,0.0951,4.5516,5.8743,5.9694,617,0.5065,0.4724,0.2907
read,cassandra-materialized,0,1.0,r0_measured_00099,0.1681,21.3296,22.8284,22.9965,656,0.6186,0.5075,0.3079
read,cassandra-materialized,0,1.0,r0_measured_00696,0.0627,15.6935,18.3206,18.3833,504,0.9491,0.8332,0.7392
read,cassandra-materialized,0,1.0,r0_measured_00454,0.1149,13.4747,16.3142,16.4291,565,1.0645,0.9502,0.698
read,cassandra-materialized,0,1.0,r0_measured_00052,0.0547,9.9139,11.219,11.2737,367,0.494,0.2945,0.4567
read,cassandra-materialized,0,1.0,r0_measured_00434,0.0669,6.5562,7.6747,7.7416,415,0.4934,0.2643,0.31
read,cassandra-materialized,0,1.0,r0_measured_00233,0.0874,13.9702,15.5334,15.6208,656,0.6547,0.5175,0.3262
read,cassandra-materialized,0,1.0,r0_measured_00136,0.1622,11.8182,14.2403,14.4025,416,0.9502,0.5399,0.8145
read,cassandra-materialized,0,1.0,r0_measured_00562,0.1326,17.7463,19.1458,19.2784,419,0.6652,0.3495,0.3317
read,cassandra-materialized,0,1.0,r0_measured_00518,0.0491,14.7983,16.3211,16.3702,508,0.655,0.488,0.3209
