status,cell,concurrency,repetition,update_rate_s,read_rate_s,total_arrival_rate_s,duration_s,operations,updates,completed_operations,update_backlog_peak,total_backlog_peak,backlog_drain_ms,pipeline_complete_p50_ms,pipeline_complete_p95_ms,pipeline_complete_p99_ms,queue_wait_p50_ms,queue_wait_p95_ms,raw_write_call_p50_ms,raw_write_call_p95_ms,raw_write_call_p99_ms,read_worker_p95_ms,read_arrival_p95_ms,final_hit_at_10,fresh_hit_at_10_denominator,timeout_rate_5000ms,error_rate,missed_update_rate,duplicate_update_rate,fresh_hit_at_10_50ms,pipeline_visible_50ms,fresh_hit_at_10_100ms,pipeline_visible_100ms,fresh_hit_at_10_250ms,pipeline_visible_250ms,fresh_hit_at_10_500ms,pipeline_visible_500ms,fresh_hit_at_10_1000ms,pipeline_visible_1000ms,fresh_hit_at_10_2000ms,pipeline_visible_2000ms
PASS,cassandra-materialized,32,0,1.0,19.0,20.0,40.0,800,40,800,1,3,125.83299999823794,122.03945,134.44428499999992,175.05748499999999,0.1157,0.20152499999999998,11.74445,18.352484999999998,18.924481,28.259839999999993,28.405799999999992,0.675,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PASS,cassandra-materialized,32,0,2.0,38.0,40.0,20.0,800,40,800,1,4,136.82060001883656,108.00055,160.42025999999998,181.24224199999998,0.0763,0.12651,10.6217,16.927574999999997,17.584811,22.231624999999998,22.853269999999995,0.725,29,0.0,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,0.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PASS,cassandra-materialized,32,0,5.0,95.0,100.0,8.0,800,40,800,2,13,98.1004000059329,97.54135,170.33593999999997,199.78889999999998,0.07385,0.6694849999999986,4.6467,11.345789999999996,12.633402,35.50784999999994,37.959864999999986,0.725,29,0.0,0.0,0.0,0.0,0.0,0.0,0.4827586206896552,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PASS,cassandra-materialized,32,0,10.0,190.0,200.0,8.0,1600,80,1600,4,27,109.48699997970834,137.34924999999998,322.39933999999994,400.50833599999976,0.30645,6.388599999999998,5.8469999999999995,28.31175999999999,49.398668999999714,72.98374999999999,76.43899999999998,0.6875,55,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2125,0.8363636363636363,0.8375,1.0,1.0,1.0,1.0,1.0,1.0
PASS,cassandra-materialized,32,1,1.0,19.0,20.0,40.0,800,40,800,1,3,136.03590003913268,122.48005,164.616875,174.43614699999998,0.10189999999999999,0.24323499999999978,11.4952,17.649885,18.253564,22.777995,23.07317,0.7,28,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PASS,cassandra-materialized,32,1,2.0,38.0,40.0,20.0,800,40,800,1,5,144.50009999563918,110.2689,173.92660999999998,183.411313,0.0849,0.2632299999999957,9.6218,17.454079999999998,19.458606,23.182204999999996,23.607394999999997,0.825,33,0.0,0.0,0.0,0.0,0.0,0.0,0.15151515151515152,0.225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PASS,cassandra-materialized,32,1,5.0,95.0,100.0,8.0,800,40,800,1,12,144.78789997519925,104.0584,166.95331499999995,186.046719,0.0508,0.1265049999999991,5.58615,13.069824999999996,14.299516,36.60689499999999,40.15613499999998,0.7,28,0.0,0.0,0.0,0.0,0.0,0.0,0.5357142857142857,0.425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PASS,cassandra-materialized,32,1,10.0,190.0,200.0,8.0,1600,80,1600,6,24,123.41929995454848,186.34425,422.4900449999999,611.9566979999995,0.2435,7.571019999999997,8.110949999999999,28.599059999999994,41.41147999999998,70.53072999999999,72.00685,0.7625,61,0.0,0.0,0.0,0.0,0.0,0.0,0.16393442622950818,0.1375,0.6557377049180327,0.65,0.9672131147540983,0.975,1.0,1.0,1.0,1.0
PASS,cassandra-materialized,32,2,1.0,19.0,20.0,40.0,800,40,800,1,3,136.26409997232258,123.6711,137.26726999999997,169.05844299999995,0.10575,0.21330999999999978,9.085999999999999,16.65445,17.715277,23.880364999999998,23.966685000000002,0.75,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PASS,cassandra-materialized,32,2,2.0,38.0,40.0,20.0,800,40,800,1,4,205.8594999834895,100.10245,119.13080999999994,179.69576099999995,0.0789,0.1260949999999999,10.4296,18.229765,26.706483999999996,26.512199999999996,26.601554999999998,0.725,29,0.0,0.0,0.0,0.0,0.0,0.0,0.5517241379310345,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PASS,cassandra-materialized,32,2,5.0,95.0,100.0,8.0,800,40,800,2,12,138.813300000038,95.5601,185.27348499999997,207.381934,0.05095,0.16634999999999794,8.0903,12.420804999999998,15.136712999999997,35.726124999999996,36.08766999999999,0.775,31,0.0,0.0,0.0,0.0,0.0,0.0,0.4838709677419355,0.525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PASS,cassandra-materialized,32,2,10.0,190.0,200.0,8.0,1600,80,1600,5,24,113.42310003237799,157.83865,337.15254,428.7919949999998,0.5297499999999999,7.309769999999997,8.39905,28.297084999999985,66.41030599999999,73.98008499999999,75.99357999999998,0.7875,63,0.0,0.0,0.0,0.0,0.0,0.0,0.1746031746031746,0.1875,0.7619047619047619,0.7875,1.0,1.0,1.0,1.0,1.0,1.0
