cell,concurrency,repetition,update_rate_s,read_rate_s,op_id,qa_id,scope_id,target_memory_id,queue_wait_ms,worker_start_to_raw_commit_ms,raw_write_call_ms,raw_ack_to_structured_ms,structured_to_index_ms,index_to_ranking_ms,t_commit_ms,t_structured_view_visible_ms,t_index_visible_ms,pipeline_complete_ms,time_to_top10_ms,final_hit_at_10,structured_projection_ok,relation_candidate_ok,sparse_index_applied,dense_index_applied,sparse_index_visible,dense_index_visible,timeout_5000ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,fresh_hit_at_10_50ms,pipeline_visible_50ms,fresh_hit_at_10_100ms,pipeline_visible_100ms,fresh_hit_at_10_250ms,pipeline_visible_250ms,fresh_hit_at_10_500ms,pipeline_visible_500ms,fresh_hit_at_10_1000ms,pipeline_visible_1000ms,fresh_hit_at_10_2000ms,pipeline_visible_2000ms
neo4j-materialized,32,0,1.0,19.0,r0_measured_00729,lr000011::conv-50_qa_48,lr000011::conv-50,lr000011::conv-50_session_22_D22:1,0.1307,9.9034,9.8981,53.4418,28.2392,30.2419,10.0341,63.4759,91.7151,121.957,,0,1,1,1,1,1,1,0,0.9543,0.4917,0.3395,0,0,0,0,0,1,0,1,0,1,0,1
neo4j-materialized,32,0,1.0,19.0,r0_measured_00281,lr000000::conv-48_qa_80,lr000000::conv-48,lr000000::conv-48_session_10_D10:20,0.1641,18.9809,18.9744,54.2316,21.4181,30.6327,19.145,73.3766,94.7947,125.4274,125.4274,1,1,1,1,1,1,1,0,1.1427,0.9323,0.3285,0,0,0,0,1,1,1,1,1,1,1,1
neo4j-materialized,32,0,1.0,19.0,r0_measured_00468,lr000008::conv-48_qa_70,lr000008::conv-48,lr000008::conv-48_session_23_D23:22,0.087,6.3006,6.2974,34.7359,36.8835,14.9944,6.3876,41.1235,78.007,93.0014,93.0014,1,1,1,1,1,1,1,0,0.6955,0.5287,0.3543,0,0,1,1,1,1,1,1,1,1,1,1
neo4j-materialized,32,0,1.0,19.0,r0_measured_00657,lr000011::conv-47_qa_93,lr000011::conv-47,lr000011::conv-47_session_12_D12:5,0.1667,11.2324,11.2255,52.6479,75.4726,14.2875,11.3991,64.047,139.5196,153.8071,153.8071,1,1,1,1,1,1,1,0,0.6556,0.5389,0.3197,0,0,0,0,1,1,1,1,1,1,1,1
neo4j-materialized,32,0,1.0,19.0,r0_measured_00467,lr000001::conv-49_qa_141,lr000001::conv-49,lr000001::conv-49_session_21_D21:10,0.0776,5.9977,5.995,22.9594,16.5164,27.1833,6.0753,29.0347,45.5511,72.7344,72.7344,1,1,1,1,1,1,1,0,0.5537,0.5981,0.3343,0,0,1,1,1,1,1,1,1,1,1,1
neo4j-materialized,32,0,1.0,19.0,r0_measured_00094,lr000016::conv-49_qa_116,lr000016::conv-49,lr000016::conv-49_session_11_D11:8,0.2019,8.8304,8.8211,51.7968,27.4939,27.297,9.0323,60.8291,88.323,115.62,115.62,1,1,1,1,1,1,1,0,0.6289,0.5464,0.3805,0,0,0,0,1,1,1,1,1,1,1,1
neo4j-materialized,32,0,1.0,19.0,r0_measured_00708,lr000004::conv-42_qa_7,lr000004::conv-42,lr000004::conv-42_session_2_D2:3,0.0804,3.3584,3.3552,33.7355,31.0387,22.8336,3.4388,37.1743,68.213,91.0466,91.0466,1,1,1,1,1,1,1,0,0.6278,0.6271,0.3747,0,0,1,1,1,1,1,1,1,1,1,1
neo4j-materialized,32,0,1.0,19.0,r0_measured_00097,lr000007::conv-47_qa_94,lr000007::conv-47,lr000007::conv-47_session_13_D13:8,0.1301,8.8159,8.8109,62.2901,32.4414,39.7872,8.946,71.2361,103.6775,143.4647,,0,1,1,1,1,1,1,0,1.4412,0.6918,0.3564,0,0,0,0,0,1,0,1,0,1,0,1
neo4j-materialized,32,0,1.0,19.0,r0_measured_00190,lr000014::conv-50_qa_25,lr000014::conv-50,lr000014::conv-50_session_15_D15:1,0.1505,4.6555,4.6487,35.0908,28.9677,26.961,4.806,39.8968,68.8645,95.8255,95.8255,1,1,1,1,1,1,1,0,0.6614,0.7402,0.3267,0,0,1,1,1,1,1,1,1,1,1,1
neo4j-materialized,32,0,1.0,19.0,r0_measured_00070,lr000007::conv-43_qa_115,lr000007::conv-43,lr000007::conv-43_session_13_D13:4,0.1492,13.8988,13.8964,80.6575,34.6293,23.1488,14.048,94.7055,129.3348,152.4836,152.4836,1,1,1,1,1,1,1,0,1.3467,0.655,0.3152,0,0,0,0,1,1,1,1,1,1,1,1
