kind,cell,repetition,update_rate_s,op_id,queue_wait_ms,backend_read_call_ms,worker_read_ms,arrival_to_read_done_ms,candidate_count,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms
read,neo4j-materialized,0,1.0,r0_measured_00621,0.0405,14.1247,15.7305,15.771,660,0.5525,0.6633,0.3286
read,neo4j-materialized,0,1.0,r0_measured_00738,0.1473,26.6004,28.9346,29.0819,565,0.91,0.8373,0.4946
read,neo4j-materialized,0,1.0,r0_measured_00525,0.1537,26.318,29.6945,29.8482,685,1.2015,1.3503,0.6905
read,neo4j-materialized,0,1.0,r0_measured_00637,0.1296,18.8744,20.6147,20.7443,662,0.6968,0.6184,0.3538
read,neo4j-materialized,0,1.0,r0_measured_00494,0.1051,37.6584,40.8738,40.9789,625,1.249,1.1345,0.6962
read,neo4j-materialized,0,1.0,r0_measured_00251,0.1717,27.4603,29.3439,29.5156,675,0.6874,0.8102,0.3091
read,neo4j-materialized,0,1.0,r0_measured_00105,0.2148,21.3834,23.0555,23.2703,678,0.6759,0.5665,0.3598
read,neo4j-materialized,0,1.0,r0_measured_00358,0.2191,34.1756,37.9861,38.2052,675,1.6067,1.2799,0.7607
read,neo4j-materialized,0,1.0,r0_measured_00421,0.1477,19.5996,21.3178,21.4655,671,0.6612,0.617,0.3634
read,neo4j-materialized,0,1.0,r0_measured_00092,0.1384,29.4585,31.6211,31.7595,684,0.8034,0.8461,0.4237
read,neo4j-materialized,0,1.0,r0_measured_00769,0.0897,25.1891,27.353,27.4427,677,0.7967,0.9586,0.3337
read,neo4j-materialized,0,1.0,r0_measured_00538,0.031,10.8444,12.3716,12.4026,661,0.5937,0.5343,0.3126
read,neo4j-materialized,0,1.0,r0_measured_00509,0.2355,30.4089,32.5606,32.7961,659,0.8886,0.7495,0.4207
read,neo4j-materialized,0,1.0,r0_measured_00747,0.1009,19.8839,21.5139,21.6148,676,0.6584,0.5539,0.343
read,neo4j-materialized,0,1.0,r0_measured_00653,0.1457,25.3311,28.3565,28.5022,566,1.2174,0.9854,0.6852
read,neo4j-materialized,0,1.0,r0_measured_00433,0.2733,29.9716,31.8928,32.1661,673,0.7701,0.6731,0.389
read,neo4j-materialized,0,1.0,r0_measured_00197,0.0718,11.7237,13.3694,13.4412,677,0.6639,0.5713,0.3343
read,neo4j-materialized,0,1.0,r0_measured_00541,0.1429,20.3198,22.1878,22.3307,685,0.6108,0.8448,0.3399
read,neo4j-materialized,0,1.0,r0_measured_00434,0.1824,15.4266,17.7778,17.9602,415,1.0177,0.5426,0.6775
read,neo4j-materialized,0,1.0,r0_measured_00107,0.1807,25.8033,27.9423,28.123,622,0.8625,0.7376,0.4497
read,neo4j-materialized,0,1.0,r0_measured_00011,0.0997,30.6512,35.0708,35.1705,684,1.776,1.5127,0.8176
read,neo4j-materialized,0,1.0,r0_measured_00733,0.0663,21.7499,23.6276,23.6939,683,0.772,0.6507,0.3685
read,neo4j-materialized,0,1.0,r0_measured_00655,0.1261,25.8665,28.3126,28.4387,566,0.9319,0.8284,0.574
read,neo4j-materialized,0,1.0,r0_measured_00624,0.255,29.1727,31.8945,32.1495,566,1.01,0.9653,0.6407
read,neo4j-materialized,0,1.0,r0_measured_00177,0.3111,44.8579,47.146,47.4571,684,0.9513,0.7679,0.4611
read,neo4j-materialized,0,1.0,r0_measured_00401,0.1104,18.638,20.5288,20.6392,663,0.6941,0.6903,0.417
read,neo4j-materialized,0,1.0,r0_measured_00183,0.08,16.7341,19.2619,19.3419,676,0.9239,0.9062,0.5898
read,neo4j-materialized,0,1.0,r0_measured_00333,0.0746,8.9346,10.171,10.2456,417,0.5564,0.2729,0.3494
read,neo4j-materialized,0,1.0,r0_measured_00167,0.0982,23.4745,25.2487,25.3469,685,0.7066,0.6438,0.3447
read,neo4j-materialized,0,1.0,r0_measured_00103,0.0963,17.2137,20.1114,20.2077,367,1.1862,0.6055,0.9749
read,neo4j-materialized,0,1.0,r0_measured_00007,0.1919,20.0936,21.9355,22.1274,416,0.7865,0.4237,0.5334
read,neo4j-materialized,0,1.0,r0_measured_00526,0.2461,28.0022,29.5983,29.8444,660,0.5777,0.6205,0.3314
read,neo4j-materialized,0,1.0,r0_measured_00214,0.1446,27.0627,30.3382,30.4828,565,1.1929,1.2135,0.7432
read,neo4j-materialized,0,1.0,r0_measured_00127,0.185,17.2733,18.8054,18.9904,416,0.674,0.3584,0.4304
read,neo4j-materialized,0,1.0,r0_measured_00784,0.1521,24.5684,25.961,26.1131,507,0.5553,0.4665,0.3105
read,neo4j-materialized,0,1.0,r0_measured_00638,0.0599,17.747,19.7414,19.8013,563,0.7512,0.6914,0.4729
read,neo4j-materialized,0,1.0,r0_measured_00375,0.12,10.1018,11.654,11.774,500,0.5995,0.5285,0.3549
read,neo4j-materialized,0,1.0,r0_measured_00172,0.2091,31.9482,34.5685,34.7776,507,1.0086,0.8651,0.6321
read,neo4j-materialized,0,1.0,r0_measured_00746,0.0612,12.9168,14.5993,14.6605,627,0.6415,0.6041,0.3627
read,neo4j-materialized,0,1.0,r0_measured_00650,0.135,31.0025,33.0547,33.1897,670,0.7871,0.7843,0.3934
read,neo4j-materialized,0,1.0,r0_measured_00176,0.1745,15.2688,17.0529,17.2274,413,0.7821,0.4033,0.5213
read,neo4j-materialized,0,1.0,r0_measured_00114,0.189,24.1514,26.9241,27.1131,415,1.1333,0.7497,0.7661
read,neo4j-materialized,0,1.0,r0_measured_00422,0.2091,32.7474,35.8667,36.0758,660,1.354,1.1322,0.524
read,neo4j-materialized,0,1.0,r0_measured_00353,0.1891,28.3981,31.6989,31.888,672,1.4438,1.1324,0.6076
read,neo4j-materialized,0,1.0,r0_measured_00322,0.1353,25.6895,27.0669,27.2022,626,0.5405,0.4804,0.2973
read,neo4j-materialized,0,1.0,r0_measured_00652,0.1365,21.7084,24.4844,24.6209,671,1.0106,1.0299,0.6202
read,neo4j-materialized,0,1.0,r0_measured_00288,0.0852,11.9337,13.0785,13.1637,413,0.4902,0.2785,0.3185
read,neo4j-materialized,0,1.0,r0_measured_00180,0.0755,21.2937,22.9754,23.0509,687,0.592,0.5969,0.4147
read,neo4j-materialized,0,1.0,r0_measured_00462,0.1102,8.2382,9.3666,9.4768,368,0.5007,0.2405,0.331
read,neo4j-materialized,0,1.0,r0_measured_00253,0.1686,28.0208,30.8119,30.9805,504,1.0748,0.9269,0.6731
