status,cell,concurrency,repetition,update_rate_s,read_rate_s,total_arrival_rate_s,duration_s,operations,updates,completed_operations,update_backlog_peak,total_backlog_peak,backlog_drain_ms,pipeline_complete_p50_ms,pipeline_complete_p95_ms,pipeline_complete_p99_ms,queue_wait_p50_ms,queue_wait_p95_ms,raw_write_call_p50_ms,raw_write_call_p95_ms,raw_write_call_p99_ms,read_worker_p95_ms,read_arrival_p95_ms,final_hit_at_10,fresh_hit_at_10_denominator,timeout_rate_5000ms,error_rate,missed_update_rate,duplicate_update_rate,fresh_hit_at_10_50ms,pipeline_visible_50ms,fresh_hit_at_10_100ms,pipeline_visible_100ms,fresh_hit_at_10_250ms,pipeline_visible_250ms,fresh_hit_at_10_500ms,pipeline_visible_500ms,fresh_hit_at_10_1000ms,pipeline_visible_1000ms,fresh_hit_at_10_2000ms,pipeline_visible_2000ms
PASS,neo4j-materialized,32,0,1.0,19.0,20.0,40.0,800,40,800,1,3,94.07270001247525,99.13749999999999,155.3156699999999,211.90131099999996,0.15245,0.24102499999999935,8.68595,19.923139999999947,39.070746,38.609165,38.73681499999999,0.675,27,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PASS,neo4j-materialized,32,0,2.0,38.0,40.0,20.0,800,40,800,8,128,3499.085900024511,2133.8031499999997,3973.62058,3977.862078,1123.62545,2785.7714799999994,7.1363,16.66482999999998,34.71433299999999,1113.95345,3643.0075699999998,0.725,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.05,0.13793103448275862,0.125,0.4482758620689655,0.425
PASS,neo4j-materialized,32,0,5.0,95.0,100.0,8.0,800,40,800,31,592,20318.52530001197,11757.80155,19998.736195,20411.619665000002,10101.39725,18824.521115,6.83495,12.871919999999948,33.510039,1468.2319799999998,19791.716265,0.725,29,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.075
PASS,neo4j-materialized,32,0,10.0,190.0,200.0,8.0,1600,80,1600,71,1401,43095.18240002217,23694.13515,41482.53649,43110.966197,22205.21715,40550.975954999994,6.1926000000000005,10.681384999999997,27.373121999999732,1279.9579899999997,41579.10202,0.6875,55,0.9125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0125
PASS,neo4j-materialized,32,1,1.0,19.0,20.0,40.0,800,40,800,1,3,117.14320001192391,107.1794,168.18530999999993,195.161106,0.14595,0.2761899999999998,9.1109,11.796325,13.085345,39.25414499999999,39.41074999999998,0.7,28,0.0,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PASS,neo4j-materialized,32,1,2.0,38.0,40.0,20.0,800,40,800,8,130,3617.4347000196576,2232.80935,4079.8987700000002,4226.652599999999,800.3718,2899.85585,5.72645,13.883634999999996,14.914228,1148.093825,3771.197245,0.825,33,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.025,0.09090909090909091,0.125,0.12121212121212122,0.15,0.18181818181818182,0.2,0.45454545454545453,0.45
PASS,neo4j-materialized,32,1,5.0,95.0,100.0,8.0,800,40,800,29,553,16794.23830000451,9306.1225,16455.365954999997,16902.288422,8030.2854,15394.711824999998,6.1724,10.484499999999995,12.943038,1163.696105,16298.884639999998,0.7,28,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.05
PASS,neo4j-materialized,32,1,10.0,190.0,200.0,8.0,1600,80,1600,69,1358,40059.62670000736,21278.04265,39011.84893,39989.725992,19916.97845,37559.709845,6.21305,10.39793,10.856948999999997,1136.145945,38527.28979,0.7625,61,0.9125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03278688524590164,0.025
PASS,neo4j-materialized,32,2,1.0,19.0,20.0,40.0,800,40,800,1,4,90.04410001216456,107.5975,169.375545,191.05306099999999,0.14395000000000002,0.2254249999999998,8.1199,12.50687,13.180797,38.793305,39.005285,0.75,30,0.0,0.0,0.0,0.0,0.0,0.0,0.36666666666666664,0.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PASS,neo4j-materialized,32,2,2.0,38.0,40.0,20.0,800,40,800,7,115,2879.492499982007,1605.45505,3370.4112199999995,3548.673565,512.03095,2203.5014249999995,5.61825,12.381309999999992,18.306762999999997,1103.2610349999998,3152.868285,0.725,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27586206896551724,0.2,0.27586206896551724,0.225,0.4482758620689655,0.375,0.5862068965517241,0.575
