cell,concurrency,repetition,update_rate_s,read_rate_s,op_id,qa_id,scope_id,target_memory_id,queue_wait_ms,worker_start_to_raw_commit_ms,raw_write_call_ms,raw_ack_to_structured_ms,structured_to_index_ms,index_to_ranking_ms,t_commit_ms,t_structured_view_visible_ms,t_index_visible_ms,pipeline_complete_ms,time_to_top10_ms,final_hit_at_10,structured_projection_ok,relation_candidate_ok,sparse_index_applied,dense_index_applied,sparse_index_visible,dense_index_visible,timeout_5000ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,fresh_hit_at_10_50ms,pipeline_visible_50ms,fresh_hit_at_10_100ms,pipeline_visible_100ms,fresh_hit_at_10_250ms,pipeline_visible_250ms,fresh_hit_at_10_500ms,pipeline_visible_500ms,fresh_hit_at_10_1000ms,pipeline_visible_1000ms,fresh_hit_at_10_2000ms,pipeline_visible_2000ms
neo4j-native,32,0,1.0,19.0,r0_measured_00196,lr000001::conv-47_qa_4,lr000001::conv-47,lr000001::conv-47_session_3_D3:5,0.1133,6.7394,6.7355,46.6399,31.7024,14.245,6.8527,53.4926,85.195,99.44,,0,1,1,1,1,1,1,0,0.5935,0.5651,0.3592,0,0,0,1,0,1,0,1,0,1,0,1
neo4j-native,32,0,1.0,19.0,r0_measured_00417,lr000010::conv-41_qa_0,lr000010::conv-41,lr000010::conv-41_session_13_D13:16,0.101,7.0045,7.0004,35.5388,30.3704,27.9918,7.1055,42.6443,73.0147,101.0065,101.0065,1,1,1,1,1,1,1,0,0.7932,0.6767,0.4633,0,0,0,0,1,1,1,1,1,1,1,1
neo4j-native,32,0,1.0,19.0,r0_measured_00024,lr000010::conv-30_qa_60,lr000010::conv-30,lr000010::conv-30_session_9_D9:5,0.1568,26.8751,26.8689,31.8665,22.44,7.995,27.0319,58.8984,81.3384,89.3334,,0,1,1,1,1,1,1,0,0.4207,0.2281,0.3008,0,0,0,1,0,1,0,1,0,1,0,1
neo4j-native,32,0,1.0,19.0,r0_measured_00379,lr000007::conv-43_qa_121,lr000007::conv-43,lr000007::conv-43_session_14_D14:7,0.1452,6.8574,6.8512,46.814,42.2024,32.5173,7.0026,53.8166,96.019,128.5363,128.5363,1,1,1,1,1,1,1,0,0.9255,0.6389,0.3403,0,0,0,0,1,1,1,1,1,1,1,1
neo4j-native,32,0,1.0,19.0,r0_measured_00729,lr000011::conv-50_qa_48,lr000011::conv-50,lr000011::conv-50_session_22_D22:1,0.148,6.4452,6.4383,44.4429,29.1554,28.3992,6.5932,51.0361,80.1915,108.5907,,0,1,1,1,1,1,1,0,0.5473,0.4842,0.3113,0,0,0,0,0,1,0,1,0,1,0,1
neo4j-native,32,0,1.0,19.0,r0_measured_00296,lr000015::conv-41_qa_61,lr000015::conv-41,lr000015::conv-41_session_31_D31:2,0.1451,7.1335,7.1285,43.6693,32.0345,22.7072,7.2786,50.9479,82.9824,105.6896,105.6896,1,1,1,1,1,1,1,0,0.5629,0.4947,0.314,0,0,0,0,1,1,1,1,1,1,1,1
neo4j-native,32,0,1.0,19.0,r0_measured_00549,lr000012::conv-50_qa_103,lr000012::conv-50,lr000012::conv-50_session_16_D16:14,0.1711,8.4814,8.4755,62.5168,21.8134,19.8875,8.6525,71.1693,92.9827,112.8702,,0,1,1,1,1,1,1,0,0.6713,0.4388,0.333,0,0,0,0,0,1,0,1,0,1,0,1
neo4j-native,32,0,1.0,19.0,r0_measured_00070,lr000007::conv-43_qa_115,lr000007::conv-43,lr000007::conv-43_session_13_D13:4,0.1117,8.5104,8.5067,62.3838,39.4409,32.9497,8.6221,71.0059,110.4468,143.3965,143.3965,1,1,1,1,1,1,1,0,0.5838,0.5467,0.2992,0,0,0,0,1,1,1,1,1,1,1,1
neo4j-native,32,0,1.0,19.0,r0_measured_00708,lr000004::conv-42_qa_7,lr000004::conv-42,lr000004::conv-42_session_2_D2:3,0.1119,7.9503,7.946,49.7475,26.1126,27.3355,8.0622,57.8097,83.9223,111.2578,111.2578,1,1,1,1,1,1,1,0,0.8025,0.4855,0.3264,0,0,0,0,1,1,1,1,1,1,1,1
neo4j-native,32,0,1.0,19.0,r0_measured_00015,lr000007::conv-48_qa_116,lr000007::conv-48,lr000007::conv-48_session_7_D7:20,0.1312,43.4397,43.4348,225.5013,19.8138,15.8815,43.5709,269.0722,288.886,304.7675,304.7675,1,1,1,1,1,1,1,0,0.9113,0.608,0.3278,0,0,0,0,0,0,1,1,1,1,1,1
neo4j-native,32,0,1.0,19.0,r0_measured_00097,lr000007::conv-47_qa_94,lr000007::conv-47,lr000007::conv-47_session_13_D13:8,0.0968,6.635,6.6316,38.5561,30.7342,16.2514,6.7318,45.2879,76.0221,92.2735,,0,1,1,1,1,1,1,0,1.0518,0.8193,0.4651,0,0,0,1,0,1,0,1,0,1,0,1
neo4j-native,32,0,1.0,19.0,r0_measured_00722,lr000005::conv-41_qa_98,lr000005::conv-41,lr000005::conv-41_session_15_D15:13,0.0666,2.761,2.758,33.6519,29.9837,15.7462,2.8276,36.4795,66.4632,82.2094,82.2094,1,1,1,1,1,1,1,0,0.6098,0.514,0.3505,0,0,1,1,1,1,1,1,1,1,1,1
neo4j-native,32,0,1.0,19.0,r0_measured_00157,lr000013::conv-50_qa_59,lr000013::conv-50,lr000013::conv-50_session_2_D2:1,0.628,9.7616,9.7537,79.3399,22.0295,27.7755,10.3896,89.7295,111.759,139.5345,139.5345,1,1,1,1,1,1,1,0,0.4438,0.439,0.3171,0,0,0,0,1,1,1,1,1,1,1,1
neo4j-native,32,0,1.0,19.0,r0_measured_00657,lr000011::conv-47_qa_93,lr000011::conv-47,lr000011::conv-47_session_12_D12:5,0.1211,8.2622,8.2568,30.7435,21.4548,34.1607,8.3833,39.1268,60.5816,94.7423,94.7423,1,1,1,1,1,1,1,0,0.8062,0.5441,0.3657,0,0,1,1,1,1,1,1,1,1,1,1
neo4j-native,32,0,1.0,19.0,r0_measured_00468,lr000008::conv-48_qa_70,lr000008::conv-48,lr000008::conv-48_session_23_D23:22,0.1711,7.4983,7.4925,45.0328,25.7257,29.0915,7.6694,52.7022,78.4279,107.5194,107.5194,1,1,1,1,1,1,1,0,1.3645,0.4629,0.2985,0,0,0,0,1,1,1,1,1,1,1,1
neo4j-native,32,0,1.0,19.0,r0_measured_00094,lr000016::conv-49_qa_116,lr000016::conv-49,lr000016::conv-49_session_11_D11:8,0.1196,6.3961,6.391,34.7045,21.5373,24.0482,6.5157,41.2202,62.7575,86.8057,86.8057,1,1,1,1,1,1,1,0,0.4598,0.4039,0.2931,0,0,1,1,1,1,1,1,1,1,1,1
neo4j-native,32,0,1.0,19.0,r0_measured_00115,lr000009::conv-26_qa_8,lr000009::conv-26,lr000009::conv-26_session_3_D3:1,0.2387,10.3856,10.3784,57.6774,14.2424,9.6192,10.6243,68.3017,82.5441,92.1633,92.1633,1,1,1,1,1,1,1,0,0.4639,0.309,0.3813,0,0,1,1,1,1,1,1,1,1,1,1
neo4j-native,32,0,1.0,19.0,r0_measured_00681,lr000015::conv-47_qa_1,lr000015::conv-47,lr000015::conv-47_session_1_D1:26,0.0716,8.4828,8.4798,22.1123,21.4026,25.7527,8.5544,30.6667,52.0693,77.822,,0,1,1,1,1,1,1,0,0.5077,0.6292,0.3236,0,0,0,1,0,1,0,1,0,1,0,1
neo4j-native,32,0,1.0,19.0,r0_measured_00209,lr000011::conv-44_qa_18,lr000011::conv-44,lr000011::conv-44_session_11_D11:4,0.3939,7.7968,7.7869,65.5347,27.4109,35.7601,8.1907,73.7254,101.1363,136.8964,,0,1,1,1,1,1,1,0,0.5515,0.5756,0.326,0,0,0,0,0,1,0,1,0,1,0,1
neo4j-native,32,0,1.0,19.0,r0_measured_00703,lr000012::conv-44_qa_121,lr000012::conv-44,lr000012::conv-44_session_28_D28:10,0.0997,10.3613,10.3581,39.2943,26.8734,30.5639,10.461,49.7553,76.6287,107.1926,107.1926,1,1,1,1,1,1,1,0,0.7806,0.4795,0.2977,0,0,0,0,1,1,1,1,1,1,1,1
neo4j-native,32,0,1.0,19.0,r0_measured_00205,lr000011::conv-44_qa_105,lr000011::conv-44,lr000011::conv-44_session_23_D23:14,0.1473,9.6271,9.6211,45.2676,29.2553,21.8051,9.7744,55.042,84.2973,106.1024,106.1024,1,1,1,1,1,1,1,0,2.5302,0.7734,0.7663,0,0,0,0,1,1,1,1,1,1,1,1
neo4j-native,32,0,1.0,19.0,r0_measured_00143,lr000010::conv-48_qa_112,lr000010::conv-48,lr000010::conv-48_session_6_D6:4,0.0988,8.3773,8.3739,48.4903,30.5588,17.5051,8.4761,56.9664,87.5252,105.0303,105.0303,1,1,1,1,1,1,1,0,0.5838,0.4796,0.3295,0,0,0,0,1,1,1,1,1,1,1,1
neo4j-native,32,0,1.0,19.0,r0_measured_00281,lr000000::conv-48_qa_80,lr000000::conv-48,lr000000::conv-48_session_10_D10:20,0.0602,6.9052,6.9024,24.0325,35.6491,21.3587,6.9654,30.9979,66.647,88.0057,88.0057,1,1,1,1,1,1,1,0,0.5612,0.647,0.345,0,0,1,1,1,1,1,1,1,1,1,1
