kind,cell,repetition,update_rate_s,op_id,queue_wait_ms,backend_read_call_ms,worker_read_ms,arrival_to_read_done_ms,candidate_count,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms
read,neo4j-native,0,1.0,r0_measured_00550,0.1296,19.3896,21.4841,21.6137,504,0.7634,0.7794,0.4567
read,neo4j-native,0,1.0,r0_measured_00170,0.0639,12.5098,14.6766,14.7405,625,0.8606,0.7271,0.4799
read,neo4j-native,0,1.0,r0_measured_00767,0.1345,29.0328,31.0906,31.2251,562,0.8333,0.6352,0.4945
read,neo4j-native,0,1.0,r0_measured_00366,0.0668,27.2204,29.8778,29.9446,674,0.63,1.1794,0.7323
read,neo4j-native,0,1.0,r0_measured_00764,0.1098,19.7135,21.7923,21.9021,677,0.8509,0.6837,0.4311
read,neo4j-native,0,1.0,r0_measured_00052,0.1155,17.1745,19.302,19.4175,367,0.848,0.4649,0.7021
read,neo4j-native,0,1.0,r0_measured_00636,0.0684,15.4196,16.9513,17.0197,626,0.6078,0.5295,0.3173
read,neo4j-native,0,1.0,r0_measured_00405,0.1048,15.7704,18.0084,18.1132,628,1.2141,0.6097,0.3027
read,neo4j-native,0,1.0,r0_measured_00375,0.1516,26.9904,30.4948,30.6464,500,1.5041,1.106,0.7421
read,neo4j-native,0,1.0,r0_measured_00643,0.0954,13.7796,15.3452,15.4406,672,0.6083,0.5658,0.3126
read,neo4j-native,0,1.0,r0_measured_00639,0.1093,31.7698,33.9018,34.0111,566,0.722,0.5773,0.75
read,neo4j-native,0,1.0,r0_measured_00800,0.1547,22.714,24.9003,25.055,567,0.745,0.8508,0.4942
read,neo4j-native,0,1.0,r0_measured_00361,0.0918,12.0037,13.9773,14.0691,688,0.7077,0.8149,0.369
read,neo4j-native,0,1.0,r0_measured_00751,0.1183,21.3352,22.9721,23.0904,687,0.6104,0.6249,0.3217
read,neo4j-native,0,1.0,r0_measured_00567,0.1657,31.4782,34.4859,34.6516,617,1.0994,0.9516,0.8176
read,neo4j-native,0,1.0,r0_measured_00534,0.0734,13.0463,14.875,14.9484,688,0.7134,0.6856,0.34
read,neo4j-native,0,1.0,r0_measured_00404,0.1619,13.3961,16.1926,16.3545,662,0.721,1.0574,0.871
read,neo4j-native,0,1.0,r0_measured_00586,0.2182,19.0236,21.1115,21.3297,416,0.9111,0.4775,0.5923
read,neo4j-native,0,1.0,r0_measured_00359,0.1105,57.5351,61.0381,61.1486,678,2.3102,0.7108,0.367
read,neo4j-native,0,1.0,r0_measured_00077,0.0656,12.6405,14.4859,14.5515,674,0.7941,0.6109,0.36
read,neo4j-native,0,1.0,r0_measured_00026,0.065,10.5815,11.6535,11.7185,415,0.4722,0.2316,0.3135
read,neo4j-native,0,1.0,r0_measured_00663,0.198,22.6165,24.7037,24.9017,683,0.7147,0.7286,0.5549
read,neo4j-native,0,1.0,r0_measured_00520,0.1006,17.6296,19.6217,19.7223,675,0.7456,0.7318,0.4173
