status,cell,concurrency,repetition,update_rate_s,read_rate_s,total_arrival_rate_s,duration_s,operations,updates,completed_operations,update_backlog_peak,total_backlog_peak,backlog_drain_ms,pipeline_complete_p50_ms,pipeline_complete_p95_ms,pipeline_complete_p99_ms,queue_wait_p50_ms,queue_wait_p95_ms,raw_write_call_p50_ms,raw_write_call_p95_ms,raw_write_call_p99_ms,read_worker_p95_ms,read_arrival_p95_ms,final_hit_at_10,fresh_hit_at_10_denominator,timeout_rate_5000ms,error_rate,missed_update_rate,duplicate_update_rate,fresh_hit_at_10_50ms,pipeline_visible_50ms,fresh_hit_at_10_100ms,pipeline_visible_100ms,fresh_hit_at_10_250ms,pipeline_visible_250ms,fresh_hit_at_10_500ms,pipeline_visible_500ms,fresh_hit_at_10_1000ms,pipeline_visible_1000ms,fresh_hit_at_10_2000ms,pipeline_visible_2000ms
PASS,neo4j-native,32,0,1.0,19.0,20.0,40.0,800,40,800,1,3,75.00350003829226,102.23875000000001,143.63905,243.7246999999999,0.1211,0.4056049999999993,7.8629,15.525329999999967,36.974098999999995,38.47872,38.641115,0.675,27,0.0,0.0,0.0,0.0,0.0,0.0,0.4074074074074074,0.475,0.9629629629629629,0.975,1.0,1.0,1.0,1.0,1.0,1.0
PASS,neo4j-native,32,0,2.0,38.0,40.0,20.0,800,40,800,11,187,5658.114199992269,3305.0299999999997,5999.008510000001,6095.7811440000005,2193.7781000000004,4758.241499999999,6.081099999999999,9.999484999999995,13.090186,1223.663805,5740.0865300000005,0.725,29,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.025,0.034482758620689655,0.05,0.06896551724137931,0.075,0.27586206896551724,0.25
PASS,neo4j-native,32,0,5.0,95.0,100.0,8.0,800,40,800,30,572,18092.76739996858,10064.740399999999,17814.902995,18191.066383,8564.67655,16665.288895,6.93905,12.10501,12.179606,1219.76041,17711.5033,0.725,29,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.075
PASS,neo4j-native,32,0,10.0,190.0,200.0,8.0,1600,80,1600,70,1373,44460.03760001622,23690.262,42700.215175,44475.080341,22146.9825,41831.8728,6.2971,11.420439999999997,15.120835999999986,1236.7869699999999,42821.530905,0.6875,55,0.9125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0125
PASS,neo4j-native,32,1,1.0,19.0,20.0,40.0,800,40,800,1,4,107.80580004211515,99.86865,137.17496999999997,178.99377199999998,0.1285,0.2490949999999999,6.764799999999999,10.007059999999994,12.571303,39.392075,39.61381,0.7,28,0.0,0.0,0.0,0.0,0.0,0.0,0.5357142857142857,0.525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PASS,neo4j-native,32,1,2.0,38.0,40.0,20.0,800,40,800,10,167,5091.726999962702,2838.025,5519.657869999999,5683.46117,1378.0848999999998,4206.818364999999,6.0445,8.827285,9.583682,1230.614195,5178.968065,0.825,33,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.12121212121212122,0.15,0.15151515151515152,0.175,0.18181818181818182,0.2,0.36363636363636365,0.375
PASS,neo4j-native,32,1,5.0,95.0,100.0,8.0,800,40,800,30,581,18812.543600040954,10468.892,18468.103085,18915.475494,9090.1725,17483.11963,6.66455,13.459259999999997,14.674398,1271.726385,18361.716129999997,0.7,28,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.05
PASS,neo4j-native,32,1,10.0,190.0,200.0,8.0,1600,80,1600,70,1372,46660.69119999884,23748.80545,45298.358335,46542.287937,22299.62825,43795.26775499999,6.5164,11.275154999999998,15.70485399999997,1319.908175,44842.183975,0.7625,61,0.9125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03278688524590164,0.025
PASS,neo4j-native,32,2,1.0,19.0,20.0,40.0,800,40,800,1,5,125.14329998521134,120.78635,176.07362499999994,240.07111799999996,0.14105,0.262935,7.0875,11.014014999999999,12.364813999999999,40.62628999999999,40.94658999999999,0.75,30,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.275,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0
PASS,neo4j-native,32,2,2.0,38.0,40.0,20.0,800,40,800,10,187,5758.743699989282,3057.0801,6252.880254999999,6401.717256999999,1770.4308999999998,4811.290209999999,6.5672,10.463349999999995,18.678164999999993,1263.59091,5862.151679999999,0.725,29,0.25,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.025,0.1724137931034483,0.125,0.20689655172413793,0.15,0.2413793103448276,0.175,0.4482758620689655,0.375
PASS,neo4j-native,32,2,5.0,95.0,100.0,8.0,800,40,800,30,569,18139.63429996511,10212.7725,17676.638659999997,18228.418528000002,8772.6004,16727.514409999996,6.325749999999999,11.406649999999987,15.688815,1237.175145,17798.271754999998,0.775,31,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.025,0.0967741935483871,0.075
PASS,neo4j-native,32,2,10.0,190.0,200.0,8.0,1600,80,1600,70,1379,45787.88259997964,23771.362549999998,44450.29999,45737.175482,22252.1181,42945.176009999996,6.74345,13.095749999999999,15.51084199999997,1280.62935,43949.71628,0.7875,63,0.9125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125
