cell,concurrency,repetitions,measured_operations_per_rep,reads_per_rep,updates_per_rep,throughput_ops_s_median,throughput_ops_s_min,throughput_ops_s_max,latency_p50_ms_median,latency_p50_ms_min,latency_p50_ms_max,latency_p95_ms_median,latency_p95_ms_min,latency_p95_ms_max,latency_p99_ms_median,latency_p99_ms_min,latency_p99_ms_max,read_p50_ms_median,read_p50_ms_min,read_p50_ms_max,read_p95_ms_median,read_p95_ms_min,read_p95_ms_max,read_p99_ms_median,read_p99_ms_min,read_p99_ms_max,update_p50_ms_median,update_p50_ms_min,update_p50_ms_max,update_p95_ms_median,update_p95_ms_min,update_p95_ms_max,update_p99_ms_median,update_p99_ms_min,update_p99_ms_max,fresh_hit_at_10_median,fresh_hit_at_10_min,fresh_hit_at_10_max,error_rate_median,error_rate_min,error_rate_max,status
cassandra-base,1,3,5000,4750,250,46.466002744367074,46.45697203563899,46.51504613544085,15.578050000000001,15.568,15.60415,85.56485000000319,83.66968500000337,88.69622000000193,138.673976,138.24955700000004,139.38658200000003,15.4671,15.450050000000001,15.46955,19.847355,19.56091,20.20224,27.374814000000008,26.769117000000005,28.178116000000035,124.4719,124.33275,124.4837,154.52125499999997,154.164855,156.94253999999998,191.79065199999994,188.246521,197.65128699999997,0.764,0.7,0.772,0.0,0.0,0.0,PASS
cassandra-base,8,3,5000,4750,250,223.89332418066246,221.45128239662262,224.32753111632604,20.74695,20.7289,21.298099999999998,116.6237150000002,109.19005000000008,117.01380500000008,251.68056800000016,247.92655700000003,255.3631870000006,20.13675,19.987099999999998,20.5927,77.14942500000002,75.81599500000006,77.7146,107.57521200000001,101.62943100000003,110.0121,190.98395,180.33265,193.64729999999997,316.1826349999999,310.50737499999997,320.76471499999997,352.32313999999997,345.05003999999997,373.20748199999997,0.764,0.7,0.772,0.0,0.0,0.0,PASS
cassandra-base,16,3,5000,4750,250,221.59372725943967,219.9392131125222,224.36557459056368,40.6161,39.20715,41.00435,319.9281350000008,315.37031000000064,323.37383500000044,592.8862100000001,585.0852490000013,595.9875690000003,39.00235,37.5002,39.2686,118.65583500000001,113.53025500000001,121.0952,188.2370990000004,171.49334400000023,194.6316460000007,502.1243,498.8166,521.8642,668.662745,654.6432149999998,704.1642499999999,787.5084069999998,721.7484999999997,961.0499819999992,0.764,0.7,0.772,0.0,0.0,0.0,PASS
cassandra-base,32,3,5000,4750,250,227.28495726957107,226.26828839988144,227.78240905011305,85.29454999999999,84.0746,85.92055,585.71364,574.4185250000012,598.5158450000023,1017.2487690000003,996.9924690000004,1056.207627,82.70425,82.0272,83.1772,223.88908000000004,212.55032,227.15625500000002,389.07884600000074,366.70867900000053,397.606224,881.0925,879.2281,898.03685,1202.7030899999997,1127.1638449999998,1212.8122549999998,1396.8891059999992,1227.8945379999998,1528.7661859999998,0.764,0.7,0.772,0.0,0.0,0.0,PASS
cassandra-base,64,3,5000,4750,250,233.81228361181786,232.65706748417932,235.55522479374554,185.61235,182.52065,189.7629,755.36539000002,727.0116850000052,791.4647750000097,1783.083425000003,1782.8772820000008,1798.6959840000006,180.2249,178.4758,184.83325000000002,362.279065,358.5720750000001,391.61584500000004,544.175871,530.1118910000001,558.8518080000003,1568.18535,1561.12545,1582.01375,1983.1753949999998,1978.8182449999997,1984.663855,2172.6529719999994,2115.155105,2194.5103719999993,0.764,0.7,0.772,0.0,0.0,0.0,PASS
cassandra-materialized,1,3,5000,4750,250,48.00762559269382,48.00269853507175,48.092694289871204,15.59555,15.56905,15.597349999999999,86.87002000000011,84.34592500000046,87.88083500000005,123.99575900000002,123.68882700000003,124.34230600000002,15.463899999999999,15.44575,15.465,20.30811,20.094995,20.895485,28.205210000000005,27.52091000000002,29.490665000000053,109.18809999999999,108.98400000000001,109.33095,144.20060999999998,136.71902999999995,144.857595,187.14076699999998,173.612318,188.39090399999998,0.764,0.7,0.772,0.0,0.0,0.0,PASS
cassandra-materialized,8,3,5000,4750,250,225.7425855397857,222.60125775042826,226.48623631596442,20.8289,20.6236,21.23975,114.57216000000001,109.45799500000001,114.72753000000002,243.07994700000003,238.77819500000024,245.35583100000062,20.23735,19.8687,20.61075,80.04555500000001,78.46896000000002,80.83766000000006,111.92325700000006,107.83681900000006,112.98631200000003,174.7584,174.49115,179.38425,302.501335,291.82701499999996,304.74711499999995,339.363367,327.523353,346.39581999999996,0.764,0.7,0.772,0.0,0.0,0.0,PASS
cassandra-materialized,16,3,5000,4750,250,223.6643603144143,223.53981756942184,224.18174001179477,40.6517,40.612700000000004,40.71405,293.63973000000107,271.4868550000007,307.98437500000057,570.3357470000003,568.871898,573.021675,39.1031,38.8116,39.315,119.86385,116.97420500000004,123.06203000000002,181.95600100000038,180.75774100000004,182.1005420000005,486.0238,479.75424999999996,491.0914,648.6721749999999,623.9786149999999,672.0104549999999,785.7337239999998,708.3798969999999,803.9538679999995,0.764,0.7,0.772,0.0,0.0,0.0,PASS
cassandra-materialized,32,3,5000,4750,250,226.64831220238275,224.14558259207274,229.3863430852847,87.39394999999999,87.09915000000001,90.10455,551.7993250000004,550.0264300000016,592.7351100000001,978.5095220000001,970.3848550000006,999.7390280000003,84.97900000000001,84.51925,86.7836,219.29969,218.30043500000005,229.13845500000002,398.8702070000015,372.90549800000014,405.999672000002,851.73945,848.8111,866.4731,1135.00256,1120.0381399999999,1167.211625,1437.801939,1170.399371,1535.9915159999998,0.764,0.7,0.772,0.0,0.0,0.0,PASS
cassandra-materialized,64,3,5000,4750,250,230.3440797399473,229.5422901486582,231.74266404691443,194.4726,191.3389,195.84584999999998,763.9296600000133,758.1154250000133,792.308835000001,1703.533879,1667.3422330000005,1707.626559,190.1755,186.21955000000003,190.97840000000002,378.9835100000001,377.864515,386.6145850000001,574.177222,569.857523,625.9346530000022,1497.0864499999998,1457.47445,1497.8168500000002,1915.0984649999998,1912.565235,1959.065915,2124.856548999999,2078.873537,2159.765048999999,0.764,0.7,0.772,0.0,0.0,0.0,PASS
