backend_ms,candidate_count,candidate_fetch_ms,commit_ms,dense_scoring_ms,dense_upsert_ms,fresh_hit_at_10,full_write_ack_call_ms,graph_projection_ok,graph_visible_ms,latency_ms,op_id,op_type,phase,projection_fetch_ms,ranking_ms,relation_candidate_ok,relation_check_ms,sparse_scoring_ms,sparse_upsert_ms,status,zscore_fusion_ms
112.5698,418,,,1.1694,,,,,,126.4902,r2_measured_00000,read,measured,,,,,11.8178,,ok,0.8076
111.819,628,,,7.5061,,,,,,141.4968,r2_measured_00001,read,measured,,,,,21.3945,,ok,0.6879
112.1947,369,,,0.5437,,,,,,116.5975,r2_measured_00002,read,measured,,,,,3.4998,,ok,0.313
113.8236,681,,,1.1624,,,,,,169.0256,r2_measured_00003,read,measured,,,,,53.5833,,ok,0.3911
109.8202,628,,,4.4821,,,,,,169.6604,r2_measured_00004,read,measured,,,,,54.9052,,ok,0.3856
109.8133,659,,,2.0691,,,,,,175.3516,r2_measured_00005,read,measured,,,,,63.0266,,ok,0.3768
109.8067,679,,,0.6482,,,,,,174.214,r2_measured_00006,read,measured,,,,,63.3147,,ok,0.3743
108.9099,568,,,0.8081,,,,,,171.7754,r2_measured_00007,read,measured,,,,,61.6027,,ok,0.3897
109.6088,689,,,1.086,,,,,,152.4401,r2_measured_00008,read,measured,,,,,41.1132,,ok,0.5463
109.8089,677,,,3.5745,,,,,,165.4157,r2_measured_00009,read,measured,,,,,51.0592,,ok,0.885
109.3628,679,,,6.6879,,,,,,144.5652,r2_measured_00010,read,measured,,,,,27.7578,,ok,0.5778
110.7897,567,,,2.6261,,,,,,162.4726,r2_measured_00011,read,measured,,,,,48.5713,,ok,0.4217
109.5251,418,,,3.7588,,,,,,120.3694,r2_measured_00012,read,measured,,,,,5.9836,,ok,1.0022
110.8514,674,,,3.5837,,,,,,157.0341,r2_measured_00013,read,measured,,,,,42.0248,,ok,0.4889
132.6347,506,,,0.4897,,,,,,174.7999,r2_measured_00014,read,measured,,,,,41.157,,ok,0.43
