backend_ms,candidate_count,candidate_fetch_ms,commit_ms,dense_scoring_ms,dense_upsert_ms,fresh_hit_at_10,full_write_ack_call_ms,graph_projection_ok,graph_visible_ms,latency_ms,op_id,op_type,phase,projection_fetch_ms,ranking_ms,relation_candidate_ok,relation_check_ms,sparse_scoring_ms,sparse_upsert_ms,status,zscore_fusion_ms
41.27,660,,,1.6532,,,,,,49.5016,r0_measured_00000,read,measured,,,,,6.1348,,ok,0.3733
39.8545,674,,,1.7125,,,,,,112.9449,r0_measured_00001,read,measured,,,,,70.9734,,ok,0.3303
40.4089,663,,,1.0546,,,,,,45.3319,r0_measured_00002,read,measured,,,,,3.3968,,ok,0.3981
39.0049,626,,,1.3957,,,,,,52.1719,r0_measured_00003,read,measured,,,,,11.2464,,ok,0.4499
38.4253,565,,,1.4997,,,,,,45.7261,r0_measured_00004,read,measured,,,,,5.3489,,ok,0.3788
39.4029,663,,,1.4675,,,,,,50.6932,r0_measured_00005,read,measured,,,,,9.387,,ok,0.3646
38.8777,663,,,1.4115,,,,,,115.7274,r0_measured_00006,read,measured,,,,,75.0302,,ok,0.3133
32.2009,418,,,0.3996,,,,,,33.9668,r0_measured_00007,read,measured,,,,,0.8704,,ok,0.4262
14.1159,565,,,0.9364,,,,,,80.0937,r0_measured_00008,read,measured,,,,,64.6595,,ok,0.3228
66.3974,661,,,0.505,,,,,,80.9615,r0_measured_00009,read,measured,,,,,13.6756,,ok,0.3164
66.6682,662,,,0.4972,,,,,,77.634,r0_measured_00010,read,measured,,,,,10.0132,,ok,0.3942
64.2093,685,,,2.7258,,,,,,75.661,r0_measured_00011,read,measured,,,,,8.327,,ok,0.3337
66.0531,565,,,1.1045,,,,,,76.7797,r0_measured_00012,read,measured,,,,,9.1953,,ok,0.3564
65.9734,418,,,0.2889,,,,,,68.4275,r0_measured_00013,read,measured,,,,,1.7759,,ok,0.3325
6.5681,678,,,0.8235,,,,,,19.0278,r0_measured_00014,read,measured,,,,,11.1735,,ok,0.3776
274.7796,681,9.2761,4.0545,1.1207,184.9509,1,4.0521,1,30.4773,278.7137,r0_measured_00015,update,measured,26.4228,3.9341,1,4.8346,2.3534,45.2407,ok,0.3791
5.3508,567,,,1.4997,,,,,,12.6563,r0_measured_00016,read,measured,,,,,5.4222,,ok,0.3268
8.6746,685,,,1.3552,,,,,,11.8236,r0_measured_00017,read,measured,,,,,1.3686,,ok,0.3575
13.2735,680,,,0.6187,,,,,,19.2506,r0_measured_00018,read,measured,,,,,4.8857,,ok,0.3757
9.619,564,,,0.9474,,,,,,20.2566,r0_measured_00019,read,measured,,,,,9.2775,,ok,0.3467
13.3989,687,,,1.5252,,,,,,22.8518,r0_measured_00020,read,measured,,,,,7.5185,,ok,0.3396
8.5617,565,,,1.4418,,,,,,22.0173,r0_measured_00021,read,measured,,,,,11.5672,,ok,0.372
10.6875,688,,,1.2647,,,,,,16.3696,r0_measured_00022,read,measured,,,,,3.9998,,ok,0.3493
8.8029,628,,,0.786,,,,,,16.2346,r0_measured_00023,read,measured,,,,,6.236,,ok,0.3352
174.1425,367,10.3964,7.6386,0.3167,85.8618,0,7.637,1,49.9636,177.4647,r0_measured_00024,update,measured,42.325,3.3222,1,4.5821,2.5558,23.3386,ok,0.3905
34.7826,678,,,4.3038,,,,,,58.7837,r0_measured_00025,read,measured,,,,,19.0765,,ok,0.4827
12.6363,418,,,0.4919,,,,,,23.4662,r0_measured_00026,read,measured,,,,,9.7682,,ok,0.4681
32.4336,680,,,5.1658,,,,,,57.4641,r0_measured_00027,read,measured,,,,,19.3248,,ok,0.4562
30.4609,415,,,0.4267,,,,,,33.9962,r0_measured_00028,read,measured,,,,,2.6631,,ok,0.3796
29.5056,662,,,1.0891,,,,,,59.6206,r0_measured_00029,read,measured,,,,,28.5521,,ok,0.396
28.7817,680,,,1.067,,,,,,35.648,r0_measured_00030,read,measured,,,,,5.3301,,ok,0.3863
15.3962,419,,,1.33,,,,,,18.4257,r0_measured_00031,read,measured,,,,,1.2621,,ok,0.3744
22.2969,663,,,1.4674,,,,,,27.8303,r0_measured_00032,read,measured,,,,,3.5647,,ok,0.4208
26.7343,689,,,0.7498,,,,,,35.9997,r0_measured_00033,read,measured,,,,,8.043,,ok,0.4003
26.4368,680,,,2.3896,,,,,,35.9627,r0_measured_00034,read,measured,,,,,6.6874,,ok,0.3758
11.0344,675,,,0.9283,,,,,,15.4109,r0_measured_00035,read,measured,,,,,2.9642,,ok,0.3969
10.2795,681,,,1.4471,,,,,,15.0417,r0_measured_00036,read,measured,,,,,2.8501,,ok,0.39
11.3124,678,,,2.1782,,,,,,18.4944,r0_measured_00037,read,measured,,,,,4.5391,,ok,0.3895
11.0262,680,,,1.2567,,,,,,16.4759,r0_measured_00038,read,measured,,,,,3.1981,,ok,0.9002
10.7505,675,,,0.7341,,,,,,23.4676,r0_measured_00039,read,measured,,,,,11.5441,,ok,0.3666
12.6309,674,,,1.1349,,,,,,16.3291,r0_measured_00040,read,measured,,,,,2.0718,,ok,0.4038
9.5956,675,,,1.6782,,,,,,13.7059,r0_measured_00041,read,measured,,,,,1.9564,,ok,0.3969
7.7741,506,,,1.5588,,,,,,15.3908,r0_measured_00042,read,measured,,,,,5.6339,,ok,0.3505
12.0385,563,,,0.5272,,,,,,15.9174,r0_measured_00043,read,measured,,,,,2.9196,,ok,0.3678
11.4272,657,,,0.4929,,,,,,16.3951,r0_measured_00044,read,measured,,,,,4.0533,,ok,0.3544
11.2679,675,,,2.2061,,,,,,23.575,r0_measured_00045,read,measured,,,,,9.68,,ok,0.3522
9.6468,418,,,0.2892,,,,,,11.7491,r0_measured_00046,read,measured,,,,,1.4065,,ok,0.3481
7.4185,509,,,0.4727,,,,,,13.871,r0_measured_00047,read,measured,,,,,5.5489,,ok,0.3692
7.8803,508,,,2.8405,,,,,,21.1976,r0_measured_00048,read,measured,,,,,10.058,,ok,0.3582
8.1576,675,,,1.4507,,,,,,24.4777,r0_measured_00049,read,measured,,,,,14.3649,,ok,0.4301
9.7283,676,,,1.538,,,,,,17.5486,r0_measured_00050,read,measured,,,,,5.8496,,ok,0.3652
6.3249,661,,,0.8386,,,,,,9.0415,r0_measured_00051,read,measured,,,,,1.4341,,ok,0.3701
5.0147,368,,,0.3168,,,,,,8.2565,r0_measured_00052,read,measured,,,,,2.4682,,ok,0.3958
6.412,663,,,1.0716,,,,,,9.2342,r0_measured_00053,read,measured,,,,,1.2654,,ok,0.4108
11.5601,680,,,0.7315,,,,,,20.7761,r0_measured_00054,read,measured,,,,,7.9882,,ok,0.4161
9.1931,565,,,2.5687,,,,,,14.8619,r0_measured_00055,read,measured,,,,,2.6075,,ok,0.4231
7.6484,508,,,1.2272,,,,,,20.6278,r0_measured_00056,read,measured,,,,,11.1633,,ok,0.5068
7.2329,657,,,2.0707,,,,,,12.2413,r0_measured_00057,read,measured,,,,,2.4502,,ok,0.4018
9.7957,680,,,1.8821,,,,,,17.4258,r0_measured_00058,read,measured,,,,,5.1943,,ok,0.463
10.1544,680,,,0.9976,,,,,,24.2253,r0_measured_00059,read,measured,,,,,12.5294,,ok,0.4571
11.3571,680,,,4.3815,,,,,,19.4804,r0_measured_00060,read,measured,,,,,3.2147,,ok,0.4385
10.0688,626,,,1.6249,,,,,,23.8664,r0_measured_00061,read,measured,,,,,11.6804,,ok,0.4161
7.1349,417,,,0.3304,,,,,,13.6999,r0_measured_00062,read,measured,,,,,5.7352,,ok,0.4343
5.249,418,,,2.6978,,,,,,12.8938,r0_measured_00063,read,measured,,,,,4.4032,,ok,0.4721
6.5817,680,,,1.268,,,,,,14.8933,r0_measured_00064,read,measured,,,,,6.4061,,ok,0.546
10.3328,507,,,1.0886,,,,,,23.4936,r0_measured_00065,read,measured,,,,,11.5784,,ok,0.4188
9.1724,415,,,1.0583,,,,,,13.5397,r0_measured_00066,read,measured,,,,,2.8369,,ok,0.4072
7.1865,419,,,0.3269,,,,,,14.2677,r0_measured_00067,read,measured,,,,,6.2979,,ok,0.3933
6.7857,367,,,0.3072,,,,,,9.3294,r0_measured_00068,read,measured,,,,,1.7583,,ok,0.4035
10.8776,369,,,0.2735,,,,,,13.7034,r0_measured_00069,read,measured,,,,,2.0859,,ok,0.4092
203.4701,677,5.6458,7.4089,0.5364,119.0318,1,7.407,1,25.3051,207.6392,r0_measured_00070,update,measured,17.8962,4.1691,1,7.2343,3.2286,46.2531,ok,0.3392
10.4961,663,,,2.2846,,,,,,14.4338,r0_measured_00071,read,measured,,,,,1.1458,,ok,0.4251
12.919,677,,,2.1115,,,,,,24.4923,r0_measured_00072,read,measured,,,,,8.9839,,ok,0.4026
10.737,680,,,0.8269,,,,,,15.3793,r0_measured_00073,read,measured,,,,,3.3214,,ok,0.4123
9.421,509,,,1.7714,,,,,,19.4855,r0_measured_00074,read,measured,,,,,7.7988,,ok,0.4221
10.5832,629,,,1.1011,,,,,,14.7633,r0_measured_00075,read,measured,,,,,2.598,,ok,0.4067
6.9996,689,,,7.4679,,,,,,35.6872,r0_measured_00076,read,measured,,,,,20.7199,,ok,0.4198
8.3185,674,,,5.9099,,,,,,39.5814,r0_measured_00077,read,measured,,,,,24.8017,,ok,0.4475
7.4894,508,,,0.5909,,,,,,45.4638,r0_measured_00078,read,measured,,,,,36.903,,ok,0.4059
29.95,629,,,1.2345,,,,,,54.1854,r0_measured_00079,read,measured,,,,,22.5638,,ok,0.3668
33.4199,418,,,0.3583,,,,,,35.2575,r0_measured_00080,read,measured,,,,,1.0043,,ok,0.4104
31.9587,663,,,2.566,,,,,,45.4862,r0_measured_00081,read,measured,,,,,10.4947,,ok,0.387
16.3287,680,,,1.414,,,,,,27.0934,r0_measured_00082,read,measured,,,,,8.8878,,ok,0.384
8.6745,688,,,1.1674,,,,,,16.3554,r0_measured_00083,read,measured,,,,,5.6407,,ok,0.7923
6.2047,680,,,3.0145,,,,,,22.6127,r0_measured_00084,read,measured,,,,,12.7231,,ok,0.5921
10.2955,681,,,1.189,,,,,,15.9461,r0_measured_00085,read,measured,,,,,3.9022,,ok,0.4929
7.7349,509,,,4.2443,,,,,,27.8358,r0_measured_00086,read,measured,,,,,15.3531,,ok,0.4362
13.8925,662,,,1.9856,,,,,,29.7023,r0_measured_00087,read,measured,,,,,13.3919,,ok,0.3655
10.4915,680,,,0.7217,,,,,,23.2254,r0_measured_00088,read,measured,,,,,10.8589,,ok,1.0477
7.2469,418,,,0.2776,,,,,,9.1459,r0_measured_00089,read,measured,,,,,1.1697,,ok,0.3745
7.1719,568,,,1.2511,,,,,,19.9,r0_measured_00090,read,measured,,,,,11.0384,,ok,0.3735
7.1324,368,,,0.7278,,,,,,9.5492,r0_measured_00091,read,measured,,,,,1.2719,,ok,0.3556
6.2241,685,,,2.9273,,,,,,11.574,r0_measured_00092,read,measured,,,,,1.9448,,ok,0.3933
10.5279,565,,,0.6541,,,,,,13.7273,r0_measured_00093,read,measured,,,,,2.1117,,ok,0.3672
168.1684,509,7.1451,9.4571,1.535,77.4228,1,9.4553,1,24.902,178.0592,r0_measured_00094,update,measured,15.4449,9.8908,1,0.005,7.9702,58.6935,ok,0.3315
12.8546,679,,,0.9131,,,,,,21.4205,r0_measured_00095,read,measured,,,,,7.2348,,ok,0.3497
7.7714,418,,,0.3314,,,,,,9.1155,r0_measured_00096,read,measured,,,,,0.5889,,ok,0.3658
171.0692,688,13.3866,6.1046,1.1433,77.5223,0,6.1024,1,32.3105,176.6,r0_measured_00097,update,measured,26.2059,5.5308,1,8.1571,3.9994,39.6927,ok,0.3223
8.2437,680,,,1.1839,,,,,,66.2715,r0_measured_00098,read,measured,,,,,56.3599,,ok,0.3948
7.9928,657,,,1.5922,,,,,,14.1891,r0_measured_00099,read,measured,,,,,4.0652,,ok,0.4635
6.6806,509,,,0.9968,,,,,,9.2476,r0_measured_00100,read,measured,,,,,1.1338,,ok,0.3711
8.1339,629,,,7.2252,,,,,,57.9687,r0_measured_00101,read,measured,,,,,42.0603,,ok,0.4584
31.6736,673,,,3.9575,,,,,,62.4017,r0_measured_00102,read,measured,,,,,26.2398,,ok,0.4541
29.2791,367,,,0.2464,,,,,,46.6604,r0_measured_00103,read,measured,,,,,16.699,,ok,0.3755
47.7747,689,,,1.1491,,,,,,56.8589,r0_measured_00104,read,measured,,,,,7.3673,,ok,0.493
10.9382,680,,,1.6198,,,,,,19.6564,r0_measured_00105,read,measured,,,,,6.6889,,ok,0.3457
8.6286,662,,,0.4902,,,,,,13.558,r0_measured_00106,read,measured,,,,,4.0151,,ok,0.3585
6.4271,627,,,1.5133,,,,,,14.2703,r0_measured_00107,read,measured,,,,,5.7982,,ok,0.4682
5.189,565,,,1.0605,,,,,,11.5648,r0_measured_00108,read,measured,,,,,4.8444,,ok,0.4097
7.3591,663,,,0.752,,,,,,9.7062,r0_measured_00109,read,measured,,,,,1.1956,,ok,0.3366
10.1606,507,,,1.1659,,,,,,19.4191,r0_measured_00110,read,measured,,,,,7.6789,,ok,0.3543
6.5251,675,,,0.7394,,,,,,15.4543,r0_measured_00111,read,measured,,,,,7.7698,,ok,0.3542
5.5887,674,,,0.6498,,,,,,8.5957,r0_measured_00112,read,measured,,,,,1.8039,,ok,0.4827
7.4494,678,,,0.5752,,,,,,14.9111,r0_measured_00113,read,measured,,,,,6.3714,,ok,0.4048
6.868,418,,,0.4389,,,,,,8.7035,r0_measured_00114,read,measured,,,,,1.0026,,ok,0.3402
73.505,416,9.1551,3.1792,0.9407,8.5485,1,3.1768,1,20.9648,76.6223,r0_measured_00115,update,measured,17.7856,3.1173,1,13.4052,1.7481,21.4314,ok,0.3671
10.9652,674,,,1.044,,,,,,15.9893,r0_measured_00116,read,measured,,,,,3.5694,,ok,0.3466
8.85,662,,,0.696,,,,,,17.5453,r0_measured_00117,read,measured,,,,,7.0363,,ok,0.8791
5.8456,628,,,0.5624,,,,,,11.048,r0_measured_00118,read,measured,,,,,4.232,,ok,0.3428
6.4019,660,,,0.9181,,,,,,19.5242,r0_measured_00119,read,measured,,,,,11.6869,,ok,0.4503
8.5023,626,,,1.2304,,,,,,13.8904,r0_measured_00120,read,measured,,,,,3.7012,,ok,0.3882
9.0176,672,,,1.2521,,,,,,14.9222,r0_measured_00121,read,measured,,,,,4.1696,,ok,0.4096
