backend_ms,candidate_count,candidate_fetch_ms,commit_ms,dense_scoring_ms,dense_upsert_ms,fresh_hit_at_10,full_write_ack_call_ms,graph_projection_ok,graph_visible_ms,latency_ms,op_id,op_type,phase,projection_fetch_ms,ranking_ms,relation_candidate_ok,relation_check_ms,sparse_scoring_ms,sparse_upsert_ms,status,zscore_fusion_ms
101.6762,660,,,0.6904,,,,,,103.5792,r0_measured_00000,read,measured,,,,,0.7268,,ok,0.4123
17.4985,674,,,0.5913,,,,,,19.1485,r0_measured_00001,read,measured,,,,,0.6438,,ok,0.344
12.3804,663,,,0.6221,,,,,,14.0742,r0_measured_00002,read,measured,,,,,0.6687,,ok,0.3386
12.8119,626,,,0.7658,,,,,,14.9028,r0_measured_00003,read,measured,,,,,0.7655,,ok,0.4679
19.0918,565,,,1.0281,,,,,,22.0913,r0_measured_00004,read,measured,,,,,1.1345,,ok,0.7133
23.4258,663,,,0.6756,,,,,,25.4044,r0_measured_00005,read,measured,,,,,0.808,,ok,0.4047
11.7046,663,,,0.6788,,,,,,13.416,r0_measured_00006,read,measured,,,,,0.6421,,ok,0.3175
18.6743,418,,,0.4826,,,,,,20.7704,r0_measured_00007,read,measured,,,,,0.8549,,ok,0.6517
17.7416,565,,,0.7465,,,,,,19.8967,r0_measured_00008,read,measured,,,,,0.773,,ok,0.549
15.1202,661,,,0.5127,,,,,,16.6312,r0_measured_00009,read,measured,,,,,0.6239,,ok,0.3071
12.1638,662,,,0.5276,,,,,,13.6837,r0_measured_00010,read,measured,,,,,0.6176,,ok,0.3053
11.5177,685,,,0.5344,,,,,,13.1123,r0_measured_00011,read,measured,,,,,0.6532,,ok,0.3404
10.0788,565,,,0.5546,,,,,,11.7045,r0_measured_00012,read,measured,,,,,0.591,,ok,0.4002
9.2234,418,,,0.4416,,,,,,10.6674,r0_measured_00013,read,measured,,,,,0.5463,,ok,0.395
11.6675,678,,,0.8204,,,,,,13.4867,r0_measured_00014,read,measured,,,,,0.5972,,ok,0.339
69.912,681,15.7982,4.327,0.5717,2.2076,1,4.3252,1,19.72,71.6917,r0_measured_00015,update,measured,15.393,1.7797,1,10.4843,0.7896,21.7019,ok,0.3452
10.694,567,,,0.4616,,,,,,12.1368,r0_measured_00016,read,measured,,,,,0.5633,,ok,0.3541
11.593,685,,,0.5468,,,,,,13.0873,r0_measured_00017,read,measured,,,,,0.5725,,ok,0.3155
13.8672,680,,,0.564,,,,,,15.6684,r0_measured_00018,read,measured,,,,,0.7942,,ok,0.3621
10.6704,564,,,0.49,,,,,,12.1437,r0_measured_00019,read,measured,,,,,0.6128,,ok,0.3127
12.1145,687,,,0.5786,,,,,,13.6896,r0_measured_00020,read,measured,,,,,0.5793,,ok,0.3552
13.44,565,,,0.6772,,,,,,15.5376,r0_measured_00021,read,measured,,,,,0.7932,,ok,0.5437
17.903,688,,,0.6638,,,,,,19.7183,r0_measured_00022,read,measured,,,,,0.6878,,ok,0.3865
12.7963,628,,,0.554,,,,,,14.4832,r0_measured_00023,read,measured,,,,,0.665,,ok,0.3913
56.6668,367,7.864,6.5347,0.2954,1.4116,0,6.5331,1,23.1211,57.926,r0_measured_00024,update,measured,16.5864,1.2592,1,11.5058,0.4766,12.7643,ok,0.3127
11.4541,678,,,0.5091,,,,,,12.9067,r0_measured_00025,read,measured,,,,,0.5729,,ok,0.3054
7.4682,418,,,0.2504,,,,,,8.5344,r0_measured_00026,read,measured,,,,,0.4685,,ok,0.3005
11.7896,680,,,0.6752,,,,,,13.5219,r0_measured_00027,read,measured,,,,,0.63,,ok,0.3372
7.701,415,,,0.2743,,,,,,8.9076,r0_measured_00028,read,measured,,,,,0.5132,,ok,0.3671
13.2978,662,,,0.5931,,,,,,15.3387,r0_measured_00029,read,measured,,,,,0.9831,,ok,0.3912
15.7677,680,,,0.5494,,,,,,17.349,r0_measured_00030,read,measured,,,,,0.6539,,ok,0.3153
8.0335,419,,,0.2412,,,,,,9.0515,r0_measured_00031,read,measured,,,,,0.4132,,ok,0.3186
14.609,663,,,0.6022,,,,,,16.4991,r0_measured_00032,read,measured,,,,,0.7432,,ok,0.4595
15.4619,689,,,0.814,,,,,,17.8542,r0_measured_00033,read,measured,,,,,0.9841,,ok,0.5035
19.823,680,,,0.7332,,,,,,21.9731,r0_measured_00034,read,measured,,,,,0.8363,,ok,0.4898
22.9201,675,,,0.8812,,,,,,25.2965,r0_measured_00035,read,measured,,,,,0.8961,,ok,0.5129
17.6239,681,,,0.5737,,,,,,19.261,r0_measured_00036,read,measured,,,,,0.662,,ok,0.3284
18.0305,678,,,0.6082,,,,,,20.7874,r0_measured_00037,read,measured,,,,,0.7025,,ok,1.3639
13.6755,680,,,0.5529,,,,,,15.1418,r0_measured_00038,read,measured,,,,,0.5484,,ok,0.302
14.995,675,,,0.5268,,,,,,16.581,r0_measured_00039,read,measured,,,,,0.6093,,ok,0.3777
13.967,674,,,0.5834,,,,,,15.5534,r0_measured_00040,read,measured,,,,,0.6378,,ok,0.3088
17.0159,675,,,0.5087,,,,,,18.5017,r0_measured_00041,read,measured,,,,,0.6029,,ok,0.307
9.3495,506,,,0.4543,,,,,,10.7115,r0_measured_00042,read,measured,,,,,0.5305,,ok,0.3259
10.2326,563,,,0.6575,,,,,,11.8344,r0_measured_00043,read,measured,,,,,0.5476,,ok,0.3383
13.6748,657,,,0.5528,,,,,,15.3185,r0_measured_00044,read,measured,,,,,0.7155,,ok,0.313
13.1115,675,,,0.8746,,,,,,15.699,r0_measured_00045,read,measured,,,,,0.7733,,ok,0.8339
13.2762,418,,,0.2573,,,,,,14.512,r0_measured_00046,read,measured,,,,,0.5186,,ok,0.4011
10.9984,509,,,0.4745,,,,,,12.526,r0_measured_00047,read,measured,,,,,0.604,,ok,0.3877
12.4781,508,,,0.6351,,,,,,14.3806,r0_measured_00048,read,measured,,,,,0.7454,,ok,0.444
14.7322,675,,,0.7247,,,,,,16.7221,r0_measured_00049,read,measured,,,,,0.7526,,ok,0.4357
13.8573,676,,,0.7042,,,,,,15.8333,r0_measured_00050,read,measured,,,,,0.8288,,ok,0.3665
