backend_ms,candidate_count,candidate_fetch_ms,commit_ms,dense_scoring_ms,dense_upsert_ms,fresh_hit_at_10,full_write_ack_call_ms,graph_projection_ok,graph_visible_ms,latency_ms,op_id,op_type,phase,projection_fetch_ms,ranking_ms,relation_candidate_ok,relation_check_ms,sparse_scoring_ms,sparse_upsert_ms,status,zscore_fusion_ms
2103.8691,660,,,6.2353,,,,,,2129.7731,r0_measured_00000,read,measured,,,,,19.26,,ok,0.3311
2032.5734,674,,,3.1444,,,,,,2064.1823,r0_measured_00001,read,measured,,,,,28.0194,,ok,0.3518
2246.395,663,,,2.0067,,,,,,2281.8525,r0_measured_00002,read,measured,,,,,32.9846,,ok,0.3817
1950.7171,626,,,1.9176,,,,,,1975.0128,r0_measured_00003,read,measured,,,,,21.962,,ok,0.3402
1799.4991,565,,,1.0695,,,,,,1834.9374,r0_measured_00004,read,measured,,,,,33.9082,,ok,0.378
2144.7426,663,,,7.4938,,,,,,2188.8655,r0_measured_00005,read,measured,,,,,36.123,,ok,0.4284
2060.4371,663,,,2.9569,,,,,,2103.4799,r0_measured_00006,read,measured,,,,,39.6711,,ok,0.3351
1295.8328,418,,,0.337,,,,,,1300.8188,r0_measured_00007,read,measured,,,,,4.236,,ok,0.3456
1782.3171,565,,,2.1871,,,,,,1810.524,r0_measured_00008,read,measured,,,,,25.5466,,ok,0.3846
2071.2606,661,,,3.4605,,,,,,2121.7124,r0_measured_00009,read,measured,,,,,46.5772,,ok,0.3337
2114.6733,662,,,3.5147,,,,,,2166.6744,r0_measured_00010,read,measured,,,,,48.0044,,ok,0.4038
2105.5304,685,,,2.8453,,,,,,2153.4391,r0_measured_00011,read,measured,,,,,44.6251,,ok,0.3612
1796.8136,565,,,4.5213,,,,,,1836.1938,r0_measured_00012,read,measured,,,,,34.401,,ok,0.3655
1331.4843,418,,,0.3431,,,,,,1337.9233,r0_measured_00013,read,measured,,,,,5.6776,,ok,0.3572
2071.2306,678,,,4.6992,,,,,,2116.3788,r0_measured_00014,read,measured,,,,,39.9866,,ok,0.3677
